,Name,Mileage,Price
0,2009 INFINITI FX35 Base,"99,759 mi.","$11,995"
1,2012 INFINITI FX35 Base,"95,991 mi.","$15,471"
2,2006 INFINITI FX35,"194,635 mi.","$6,888"
3,2011 INFINITI FX35 Base,"85,308 mi.","$15,999"
4,2012 INFINITI FX35 Base,"113,326 mi.","$16,799"
5,2010 INFINITI FX35 Base,"122,289 mi.","$11,888"
6,2008 INFINITI FX35 Base,"134,787 mi.","$8,495"
7,2009 INFINITI FX35,"79,441 mi.","$15,160"
8,2005 INFINITI FX35 Base,"147,260 mi.","$5,975"
9,2005 INFINITI FX35 Base,"63,357 mi.","$12,800"
10,2011 INFINITI FX35 Base,"94,128 mi.","$14,900"
11,2009 INFINITI FX35 Base,"97,989 mi.","$12,985"
12,2012 INFINITI FX35,"91,500 mi.","$16,299"
13,2009 INFINITI FX35 Base,"68,941 mi.","$15,888"
14,2006 INFINITI FX35,"149,514 mi.","$7,488"
15,2006 INFINITI FX35 Base,"157,723 mi.","$7,995"
16,2009 INFINITI FX35,"80,032 mi.","$15,355"
17,2011 INFINITI FX35 Base,"84,649 mi.","$17,999"
18,2008 INFINITI FX35,"219,332 mi.","$7,995"
19,2011 INFINITI FX35 Base,"96,851 mi.","$13,555"
20,2009 INFINITI FX35,"91,585 mi.","$13,555"
21,2011 INFINITI FX35 Base,"108,948 mi.","$12,981"
22,2010 INFINITI FX35 Base,"118,521 mi.","$13,781"
23,2006 INFINITI FX35,"122,183 mi.","$8,322"
24,2008 INFINITI FX35 Base,"125,447 mi.","$9,323"
25,2012 INFINITI FX35,"83,724 mi.","$16,500"
26,2011 INFINITI FX35 Base,"109,896 mi.","$14,995"
27,2011 INFINITI FX35 Base,"86,139 mi.","$14,981"
28,2011 INFINITI FX35,"74,536 mi.","$17,515"
29,2005 INFINITI FX35,"153,833 mi.","$5,200"
30,2010 INFINITI FX35 Base,"102,605 mi.","$14,997"
31,2008 INFINITI FX35,"109,998 mi.","$8,945"
32,2012 INFINITI FX35,"87,222 mi.","$17,450"
33,2009 INFINITI FX35,"103,213 mi.","$12,777"
34,2012 INFINITI FX35 Base,"58,118 mi.","$19,988"
35,2009 INFINITI FX35 Base,"88,388 mi.","$12,995"
36,2012 INFINITI FX35 Base,"135,919 mi.","$13,849"
37,2010 INFINITI FX35 Base,"86,124 mi.","$13,999"
38,2007 INFINITI FX35 Base,"139,014 mi.","$9,499"
39,2012 INFINITI FX35 Limited Edition,"74,011 mi.","$18,498"
40,2011 INFINITI FX35 Base,"109,860 mi.","$14,597"
41,2008 INFINITI FX35 Base,"115,889 mi.","$8,995"
42,2011 INFINITI FX35 Base,"109,512 mi.","$11,985"
43,2009 INFINITI FX35,"98,897 mi.","$14,495"
44,2012 INFINITI FX35 Limited Edition,"91,323 mi.","$19,999"
45,2012 INFINITI FX35 Limited Edition,"86,766 mi.","$16,995"
46,2011 INFINITI FX35 Base,"119,191 mi.","$12,950"
47,2005 INFINITI FX35 Base,"54,888 mi.","$11,995"
48,2012 INFINITI FX35,"109,299 mi.","$12,685"
49,2011 INFINITI FX35 Base,"88,946 mi.","$17,995"
50,2012 INFINITI FX35 Base,"93,056 mi.","$16,511"
51,2008 INFINITI FX35 Base,"129,692 mi.","$10,666"
52,2007 INFINITI FX35 Base,"113,696 mi.","$10,795"
53,2007 INFINITI FX35,"200,000 mi.","$5,300"
54,2008 INFINITI FX35 Base,"141,583 mi.","$8,300"
55,2008 INFINITI FX35 Base,"75,112 mi.","$11,385"
56,2009 INFINITI FX35,"75,218 mi.","$14,988"
57,2005 INFINITI FX35 Base,"168,882 mi.","$5,499"
58,2007 INFINITI FX35 Base,"106,447 mi.","$9,995"
59,2010 INFINITI FX35 Base,"115,320 mi.","$13,494"
60,2008 INFINITI FX35,"62,038 mi.","$13,559"
61,2010 INFINITI FX35 Base,"107,673 mi.","$11,987"
62,2010 INFINITI FX35,"93,398 mi.","$14,995"
63,2005 INFINITI FX35 Base,"158,102 mi.","$7,542"
64,2010 INFINITI FX35 Base,"105,422 mi.","$13,988"
65,2012 INFINITI FX35 Base,"93,973 mi.","$15,936"
66,2010 INFINITI FX35 AWD,"132,838 mi.","$12,956"
67,2008 INFINITI FX35,"99,614 mi.","$11,500"
68,2010 INFINITI FX35 Base,"85,528 mi.","$17,990"
69,2007 INFINITI FX35 Base,"153,981 mi.","$7,900"
