,Name,Mileage,Price
0,2004 INFINITI G35 Base,"111,266 mi.","$6,997"
1,2008 INFINITI G35 Journey,"90,688 mi.","$12,599"
2,2003 INFINITI G35,"95,035 mi.","$4,995"
3,2007 INFINITI G35 Journey,"126,737 mi.","$8,995"
4,2003 INFINITI G35 Sports Coupe,"146,533 mi.","$8,995"
5,2007 INFINITI G35 Base,"149,667 mi.","$9,995"
6,2004 INFINITI G35 Base,"137,279 mi.","$6,495"
7,2007 INFINITI G35 Journey,"49,136 mi.","$13,599"
8,2003 INFINITI G35,"147,614 mi.","$3,500"
9,2005 INFINITI G35 Base,"101,888 mi.","$7,450"
10,2005 INFINITI G35 Base,"75,931 mi.","$6,988"
11,2008 INFINITI G35 Journey,"50,330 mi.","$13,998"
12,2007 INFINITI G35 Sport,"135,656 mi.","$7,450"
13,2006 INFINITI G35 Base,"111,266 mi.","$8,000"
14,2007 INFINITI G35 Sport,"140,229 mi.","$6,995"
15,2008 INFINITI G35 Journey,"90,197 mi.","$9,996"
16,2007 INFINITI G35 Journey,"134,863 mi.","$7,991"
17,2007 INFINITI G35 Journey,"78,725 mi.","$13,998"
18,2008 INFINITI G35 Journey,"76,617 mi.","$11,995"
19,2008 INFINITI G35 Journey,"75,892 mi.","$9,910"
20,2008 INFINITI G35 Journey,"93,951 mi.","$11,599"
21,2007 INFINITI G35 Sport,"91,345 mi.","$12,998"
22,2007 INFINITI G35 Journey,"122,351 mi.","$7,559"
23,2008 INFINITI G35 Journey,"108,664 mi.","$7,733"
24,2006 INFINITI G35 Base,"119,836 mi.","$6,999"
25,2004 INFINITI G35 Base,"94,532 mi.","$7,999"
26,2007 INFINITI G35 Sport,"56,619 mi.","$14,599"
27,2005 INFINITI G35 Base,"142,551 mi.","$5,995"
28,2007 INFINITI G35 Journey,"117,542 mi.","$9,998"
29,2005 INFINITI G35 Base,"143,055 mi.","$6,999"
30,2005 INFINITI G35 Base,"90,304 mi.","$9,490"
31,2004 INFINITI G35 Sports Coupe,"88,623 mi.","$10,990"
32,2004 INFINITI G35 Base,"120,217 mi.","$5,000"
33,2006 INFINITI G35 Base,"141,453 mi.","$8,803"
34,2004 INFINITI G35 Base,"129,759 mi.","$7,644"
35,2006 INFINITI G35 Base,"173,887 mi.","$6,995"
36,2008 INFINITI G35 Journey,"102,344 mi.","$11,998"
37,2006 INFINITI G35 Base,"109,657 mi.","$7,500"
38,"2004 INFINITI G35 Moonroof, Alloy Wheels, Premium Pkg, Aero Pkg","80,166 mi.","$6,998"
39,2007 INFINITI G35 Journey,"66,273 mi.","$10,517"
40,2007 INFINITI G35 Base,"90,377 mi.","$9,990"
41,2003 INFINITI G35 Sports Coupe,"68,704 mi.","$9,995"
42,2006 INFINITI G35 Base,"94,072 mi.","$6,794"
43,2006 INFINITI G35 Base,"153,085 mi.","$4,991"
44,2004 INFINITI G35 Base,"106,962 mi.","$6,995"
45,2004 INFINITI G35 Base,"93,000 mi.","$5,950"
46,2005 INFINITI G35 Base,"168,053 mi.","$5,490"
47,2003 INFINITI G35 Base,"56,039 mi.","$10,500"
48,2006 INFINITI G35 Base,"86,544 mi.","$8,499"
49,2005 INFINITI G35 Base,"64,321 mi.","$7,500"
50,2006 INFINITI G35 Base,"59,581 mi.","$9,800"
51,2005 INFINITI G35 Base,"115,854 mi.","$6,995"
52,2008 INFINITI G35 x,"90,782 mi.","$8,757"
53,2004 INFINITI G35 Sports Coupe,"69,455 mi.","$8,997"
54,2004 INFINITI G35 Base,"115,480 mi.","$7,495"
55,2007 INFINITI G35 Sport,"110,679 mi.","$7,800"
56,2005 INFINITI G35 Base,"101,568 mi.","$6,999"
57,2008 INFINITI G35 Journey,"134,437 mi.","$7,995"
58,2007 INFINITI G35 Base,"105,861 mi.","$8,500"
59,2004 INFINITI G35 Base,"123,831 mi.","$8,499"
60,2004 INFINITI G35 Base,"89,884 mi.","$7,995"
61,2005 INFINITI G35,"162,868 mi.","$4,499"
62,2006 INFINITI G35,"123,734 mi.","$5,999"
63,2008 INFINITI G35 Journey,"141,539 mi.","$6,800"
64,2005 INFINITI G35 Base,"133,297 mi.","$8,900"
65,2008 INFINITI G35 Journey,"108,191 mi.","$8,500"
66,2007 INFINITI G35 Journey,"195,984 mi.","$5,995"
67,2007 INFINITI G35 Journey,"182,919 mi.","$4,450"
68,2003 INFINITI G35,"163,636 mi.","$3,400"
69,2004 INFINITI G35 Base,"127,698 mi.","$3,999"
70,2005 INFINITI G35 Base,"104,644 mi.","$5,995"
71,2005 INFINITI G35 Base,"112,724 mi.","$7,990"
72,2004 INFINITI G35 w/Leather,"84,260 mi.","$5,987"
73,2007 INFINITI G35 Sport,"61,796 mi.","$9,588"
74,2006 INFINITI G35 Base,"102,000 mi.","$5,995"
75,2006 INFINITI G35 Base,"99,078 mi.","$7,900"
76,2007 INFINITI G35 Journey,"174,750 mi.","$5,900"
77,2008 INFINITI G35,"141,213 mi.","$5,900"
78,2006 INFINITI G35 Base,"115,094 mi.","$7,500"
79,2006 INFINITI G35 Base,"186,499 mi.","$4,999"
80,2005 INFINITI G35 Base,"165,634 mi.","$5,998"
81,2007 INFINITI G35 Sport,"171,380 mi.","$5,495"
82,2005 INFINITI G35,"50,898 mi.","$7,898"
83,2008 INFINITI G35 Journey,"103,434 mi.","$9,900"
84,2008 INFINITI G35 Journey,"35,234 mi.","$11,990"
85,2005 INFINITI G35 Base,"83,503 mi.","$5,500"
86,2005 INFINITI G35 Base,"88,151 mi.","$7,995"
87,2007 INFINITI G35 Sport,"99,700 mi.","$11,998"
88,2008 INFINITI G35 x,"74,024 mi.","$8,895"
89,2004 INFINITI G35 Base,"111,681 mi.","$7,295"
90,2006 INFINITI G35 Base,"104,340 mi.","$6,995"
91,2006 INFINITI G35 Base,"81,575 mi.","$5,995"
92,2008 INFINITI G35 x,"113,924 mi.","$7,498"
93,2004 INFINITI G35 Base,"81,966 mi.","$6,995"
94,2008 INFINITI G35 x,"141,500 mi.","$6,900"
95,2007 INFINITI G35 Base,"79,854 mi.","$12,599"
96,2008 INFINITI G35 Journey,"153,047 mi.","$5,895"
97,2007 INFINITI G35 Journey,"73,385 mi.","$12,998"
98,2005 INFINITI G35 Base,"81,319 mi.","$7,395"
99,2004 INFINITI G35 Base,"80,789 mi.","$8,371"
100,2007 INFINITI G35,"140,844 mi.","$8,999"
101,2008 INFINITI G35 Journey,"110,021 mi.","$8,495"
102,2004 INFINITI G35 Base,"98,908 mi.","$5,777"
103,2007 INFINITI G35 Base,"153,879 mi.","$10,488"
104,2008 INFINITI G35 Journey,"78,920 mi.","$12,998"
105,2007 INFINITI G35 Journey,"103,682 mi.","$11,995"
106,2008 INFINITI G35 Journey,"50,705 mi.","$14,599"
107,2003 INFINITI G35,"181,881 mi.","$3,400"
108,2005 INFINITI G35 Base,"67,079 mi.","$9,500"
109,2008 INFINITI G35 Journey,"158,741 mi.","$6,495"
110,2008 INFINITI G35 Journey,"117,302 mi.","$10,998"
111,2005 INFINITI G35 Base,"75,040 mi.","$9,995"
112,2007 INFINITI G35 Sport,"155,635 mi.","$9,999"
113,2005 INFINITI G35 Base,"161,459 mi.","$3,991"
114,2003 INFINITI G35,"121,518 mi.","$4,595"
115,2008 INFINITI G35 Journey,"181,990 mi.","$5,498"
116,2007 INFINITI G35 Sport,"95,739 mi.","$8,467"
117,2005 INFINITI G35 Base,"114,129 mi.","$6,250"
118,2003 INFINITI G35,"88,417 mi.","$5,499"
119,2006 INFINITI G35 4DR SDN AT,"115,836 mi.","$4,550"
120,2006 INFINITI G35 Base,"140,000 mi.","$5,200"
121,2008 INFINITI G35,"200,000 mi.","$4,500"
122,2003 INFINITI G35 Base,"29,728 mi.","$9,998"
123,2006 INFINITI G35 Base,"91,388 mi.","$7,850"
124,2004 INFINITI G35 Base,"108,617 mi.","$7,900"
125,2007 INFINITI G35 Base,"63,400 mi.","$13,995"
126,2005 INFINITI G35,"168,691 mi.","$3,450"
127,2007 INFINITI G35 G35x,"107,542 mi.","$7,450"
128,2008 INFINITI G35 Journey,"156,800 mi.","$6,995"
129,2006 INFINITI G35 Base,"144,875 mi.","$6,995"
130,2004 INFINITI G35 Base,"147,902 mi.","$5,499"
131,2007 INFINITI G35 Journey,"97,227 mi.","$8,510"
132,2006 INFINITI G35 Base,"150,925 mi.","$3,399"
133,2004 INFINITI G35 Base,"133,652 mi.","$9,900"
134,2006 INFINITI G35,"100,273 mi.","$9,999"
135,2008 INFINITI G35 Sport,"169,601 mi.","$7,999"
136,2003 INFINITI G35 Sports Coupe,"129,410 mi.","$6,995"
137,2005 INFINITI G35 Base,"143,422 mi.","$7,995"
138,2006 INFINITI G35 Base,"199,210 mi.","$6,000"
139,2003 INFINITI G35 w/Leather,"162,546 mi.","$7,500"
140,2006 INFINITI G35 Base,"221,998 mi.","$4,490"
141,2006 INFINITI G35 Base,"133,564 mi.","$8,500"
142,2007 INFINITI G35 Journey,"93,058 mi.","$11,998"
143,2005 INFINITI G35 Sport,"99,000 mi.","$9,900"
144,2006 INFINITI G35 Base,"123,259 mi.","$9,499"
145,2003 INFINITI G35 Base,"119,548 mi.","$7,499"
146,2004 INFINITI G35 Base,"158,246 mi.","$3,785"
147,2008 INFINITI G35,"89,675 mi.","$12,495"
148,2007 INFINITI G35 Base,"90,655 mi.","$9,480"
149,2005 INFINITI G35 Base,"149,764 mi.","$6,999"
