,Name,Mileage,Price
0,2006 INFINITI M35 Base,"244,461 mi.","$4,900"
1,2010 INFINITI M35 Base,"78,374 mi.","$12,998"
2,2007 INFINITI M35 Sport,"99,367 mi.","$11,998"
3,2007 INFINITI M35 Base,"100,282 mi.","$7,900"
4,2010 INFINITI M35 Base,"112,755 mi.","$9,295"
5,2009 INFINITI M35 Base,"96,386 mi.","$9,950"
6,2007 INFINITI M35,"119,549 mi.","$6,998"
7,2008 INFINITI M35,"103,938 mi.","$8,974"
8,2006 INFINITI M35,"142,000 mi.","$6,995"
9,2009 INFINITI M35 Base,"123,299 mi.","$9,695"
10,2007 INFINITI M35 Sport,"132,616 mi.","$7,481"
11,2006 INFINITI M35 Base,"98,768 mi.","$9,488"
12,2010 INFINITI M35 Base,"109,959 mi.","$11,500"
13,2007 INFINITI M35 Base,"73,010 mi.","$12,500"
14,2007 INFINITI M35 Base,"108,307 mi.","$8,500"
15,2008 INFINITI M35 Base,"113,947 mi.","$8,995"
16,2009 INFINITI M35 Base,"143,677 mi.","$7,944"
17,2009 INFINITI M35 Base,"94,335 mi.","$9,890"
18,2007 INFINITI M35 Sport,"120,407 mi.","$6,794"
19,2008 INFINITI M35 Base,"135,021 mi.","$8,000"
20,2009 INFINITI M35 Base,"60,026 mi.","$11,977"
21,2009 INFINITI M35 Base,"136,626 mi.","$7,900"
22,2008 INFINITI M35 Base,"133,822 mi.","$7,981"
23,2008 INFINITI M35 Base,"114,137 mi.","$10,599"
24,2007 INFINITI M35,"141,164 mi.","$5,999"
25,2008 INFINITI M35 Base,"151,992 mi.","$6,950"
26,2007 INFINITI M35,"123,083 mi.","$7,850"
27,2007 INFINITI M35 x,"88,166 mi.","$10,000"
28,2006 INFINITI M35 Base,"106,729 mi.","$7,498"
29,2008 INFINITI M35 Base,"61,402 mi.","$12,630"
30,2008 INFINITI M35 Base,"99,486 mi.","$6,999"
31,2006 INFINITI M35 Sport,"147,906 mi.","$6,999"
32,2008 INFINITI M35 Base,"119,000 mi.","$9,978"
33,2009 INFINITI M35 Base,"115,645 mi.","$8,995"
34,2010 INFINITI M35 Base,"190,612 mi.","$6,695"
35,2006 INFINITI M35 Sport,"156,300 mi.","$6,499"
36,2007 INFINITI M35 Base,"128,965 mi.","$8,200"
37,2009 INFINITI M35 Base,"78,495 mi.","$10,430"
38,2007 INFINITI M35 Sport,"144,370 mi.","$10,999"
39,2007 INFINITI M35 Sport,"88,100 mi.","$7,995"
40,2008 INFINITI M35 Base,"13,920 mi.","$18,998"
41,2006 INFINITI M35 Base,"144,735 mi.","$6,590"
42,2007 INFINITI M35,"62,996 mi.","$9,990"
43,2007 INFINITI M35 x,"71,067 mi.","$9,995"
44,2008 INFINITI M35 Base,"127,509 mi.","$6,988"
45,2006 INFINITI M35 Base,"84,364 mi.","$8,000"
46,2006 INFINITI M35 Sport,"68,138 mi.","$8,900"
47,2008 INFINITI M35 Base,"82,275 mi.","$9,990"
48,2006 INFINITI M35 Sport,"102,765 mi.","$7,887"
49,2006 INFINITI M35 Sport,"68,506 mi.","$12,499"
50,2006 INFINITI M35 Base,"110,808 mi.","$6,999"
51,2009 INFINITI M35 Base,"102,400 mi.","$7,995"
52,2006 INFINITI M35 Base,"219,196 mi.","$3,499"
53,2006 INFINITI M35 Base,"143,499 mi.","$5,995"
54,2007 INFINITI M35 Base,"138,059 mi.","$8,981"
55,2009 INFINITI M35 Base,"140,069 mi.","$8,488"
56,2009 INFINITI M35 Base,"147,154 mi.","$9,999"
57,2007 INFINITI M35,"157,740 mi.","$6,988"
58,2006 INFINITI M35,"96,108 mi.","$9,888"
59,2006 INFINITI M35 Base,"136,198 mi.","$6,999"
60,2006 INFINITI M35 Base,"138,090 mi.","$7,595"
61,2008 INFINITI M35 Base,"167,571 mi.","$6,488"
62,2008 INFINITI M35 Base,"151,097 mi.","$6,995"
63,2007 INFINITI M35,"87,342 mi.","$13,995"
64,2006 INFINITI M35,"118,061 mi.","$5,600"
65,2006 INFINITI M35 Base,"110,550 mi.","$6,990"
66,2007 INFINITI M35,"112,576 mi.","$7,950"
67,2007 INFINITI M35 Base,"91,477 mi.","$9,500"
68,2007 INFINITI M35 Base,"102,943 mi.","$7,799"
69,2006 INFINITI M35 Sport,"176,021 mi.","$6,946"
70,2006 INFINITI M35 Base,"170,710 mi.","$5,495"
71,2008 INFINITI M35 Base,"120,221 mi.","$10,995"
72,2006 INFINITI M35 Base,"206,234 mi.","$5,995"
73,2007 INFINITI M35 Base,"113,757 mi.","$8,495"
74,2006 INFINITI M35 Base,"114,362 mi.","$6,995"
75,2007 INFINITI M35,"133,587 mi.","$4,991"
76,2006 INFINITI M35 Base,"135,249 mi.","$7,499"
77,2006 INFINITI M35 Base,"125,351 mi.","$7,990"
78,2009 INFINITI M35 Base,"82,000 mi.","$7,999"
79,2007 INFINITI M35,"171,000 mi.","$5,450"
80,2010 INFINITI M35 Base,"104,949 mi.","$11,990"
81,2008 INFINITI M35 Base,"102,922 mi.","$9,995"
82,2006 INFINITI M35 Base,"102,078 mi.","$6,990"
83,2006 INFINITI M35 Base,"140,421 mi.","$8,900"
84,2010 INFINITI M35 Base,"87,259 mi.","$8,998"
85,2008 INFINITI M35 Base,"90,705 mi.","$11,495"
86,2009 INFINITI M35 Base,"77,791 mi.","$11,000"
87,2006 INFINITI M35 Sport,"120,398 mi.","$7,495"
88,2006 INFINITI M35 Base,"140,847 mi.","$8,995"
89,2010 INFINITI M35,"80,777 mi.","$15,998"
90,2007 INFINITI M35 Sport,"158,000 mi.","$7,995"
91,2006 INFINITI M35 Sport,"115,150 mi.","$8,995"
92,2008 INFINITI M35 Base,"97,626 mi.","$10,988"
93,2006 INFINITI M35 Base,"87,563 mi.","$8,995"
94,2007 INFINITI M35 Base,"141,250 mi.","$5,995"
95,2008 INFINITI M35 Base,"160,411 mi.","$7,998"
96,2006 INFINITI M35,"110,611 mi.","$7,995"
97,2007 INFINITI M35 Base,"72,740 mi.","$8,999"
98,2008 INFINITI M35 Base,"117,083 mi.","$10,588"
99,2009 INFINITI M35 Base,"104,300 mi.","$7,999"
100,2007 INFINITI M35 Base,"134,436 mi.","$7,499"
101,2006 INFINITI M35 Base,"84,501 mi.","$9,995"
102,2007 INFINITI M35,"85,341 mi.","$9,495"
103,2006 INFINITI M35 Base,"129,000 mi.","$6,988"
104,2007 INFINITI M35 Sport,"95,184 mi.","$8,990"
105,2006 INFINITI M35 Sport,"210,450 mi.","$8,495"
106,2009 INFINITI M35 Base,"96,000 mi.","$9,777"
107,2009 INFINITI M35 Base,"27,524 mi.","$12,790"
108,2010 INFINITI M35,"114,494 mi.","$7,354"
109,2008 INFINITI M35 Base,"133,860 mi.","$7,500"
110,2007 INFINITI M35 Sport,"107,753 mi.","$7,663"
111,2006 INFINITI M35 X,"155,390 mi.","$6,555"
112,2007 INFINITI M35,"120,418 mi.","$7,995"
113,2007 INFINITI M35,"180,639 mi.","$3,988"
114,2007 INFINITI M35 x,"118,659 mi.","$8,500"
115,2007 INFINITI M35 Sport,"168,438 mi.","$6,000"
116,2008 INFINITI M35 Base,"103,000 mi.","$9,500"
117,2007 INFINITI M35,"196,300 mi.","$4,900"
118,2006 INFINITI M35 Sport,"162,600 mi.","$5,500"
119,2006 INFINITI M35 Sport,"98,000 mi.","$7,500"
120,2007 INFINITI M35 Sport,"148,100 mi.","$5,900"
121,2006 INFINITI M35 x,"167,000 mi.","$5,000"
122,2009 INFINITI M35 x,"141,113 mi.","$6,950"
123,2008 INFINITI M35 Base,"138,000 mi.","$7,300"
124,2010 INFINITI M35 Base,"110,000 mi.","$10,000"
125,2007 INFINITI M35 Sport,"124,404 mi.","$8,587"
126,2007 INFINITI M35 Sport,"124,404 mi.","$8,587"
127,2010 INFINITI M35 Base,"34,317 mi.","$14,985"
128,2008 INFINITI M35 Base,"102,861 mi.",Not Priced
129,2007 INFINITI M35,"152,655 mi.","$4,999"
130,2007 INFINITI M35,0 mi.,Not Priced
131,2007 INFINITI M35,0 mi.,Not Priced
132,2006 INFINITI M35,,"$3,100"
133,2006 INFINITI M35 Sport,"140,503 mi.","$5,995"
134,2009 INFINITI M35 Base,"76,166 mi.",Not Priced
135,2006 INFINITI M35 Sport,"148,689 mi.","$5,599"
136,2009 INFINITI M35 Base,"63,739 mi.","$11,995"
137,2008 INFINITI M35 Base,"188,880 mi.",Not Priced
138,2008 INFINITI M35,,"$11,900"
139,2006 INFINITI M35,0 mi.,Not Priced
140,2009 INFINITI M35 Base,"75,252 mi.","$9,200"
141,2009 INFINITI M35 Base,"98,666 mi.",Not Priced
142,2006 INFINITI M35,"69,000 mi.","$10,990"
143,2007 INFINITI M35 Base,"144,372 mi.","$6,020"
144,2009 INFINITI M35 Base,"110,887 mi.",Not Priced
145,2007 INFINITI M35 x,"117,477 mi.",Not Priced
146,2007 INFINITI M35 Base,"143,467 mi.",Not Priced
147,2008 INFINITI M35 Base,"204,000 mi.",Not Priced
148,2009 INFINITI M35 Base,"104,635 mi.",Not Priced
149,2006 INFINITI M35,"145,971 mi.","$5,995"
150,2007 INFINITI M35,"82,048 mi.","$8,475"
151,2008 INFINITI M35 Base,"147,248 mi.","$7,888"
152,2008 INFINITI M35 x,"111,500 mi.","$6,750"
153,2008 INFINITI M35 Base,"107,380 mi.","$11,998"
154,2006 INFINITI M35 Base,"144,843 mi.",Not Priced
155,2006 INFINITI M35 Base,0 mi.,Not Priced
156,2007 INFINITI M35 x,"158,739 mi.","$8,985"
157,2006 INFINITI M35 Base,"173,959 mi.",Not Priced
158,2007 INFINITI M35,"31,511 mi.","$11,995"
