,Name,Mileage,Price
0,2005 INFINITI Q45 4dr Sdn,"66,004 mi.","$7,995"
1,2003 INFINITI Q45 Premium,"104,187 mi.","$6,500"
2,2002 INFINITI Q45 Luxury Performance Sdn,"193,431 mi.","$3,500"
3,2002 INFINITI Q45,"91,537 mi.","$3,999"
4,1999 INFINITI Q45 Luxury Performance Sdn,"160,975 mi.","$1,999"
5,2002 INFINITI Q45 Luxury Performance Sdn,"136,000 mi.","$5,995"
6,2005 INFINITI Q45 Base,"249,299 mi.","$3,754"
7,2003 INFINITI Q45 Luxury,"163,131 mi.","$3,690"
8,2005 INFINITI Q45 4dr Sdn,"125,818 mi.","$5,988"
9,2003 INFINITI Q45 Premium,"159,431 mi.","$6,998"
10,1997 INFINITI Q45 Base 4dr Sedan,"124,085 mi.","$3,995"
11,2005 INFINITI Q45 4dr Sdn,"106,460 mi.","$6,995"
12,2001 INFINITI Q45 Touring,"142,354 mi.","$3,997"
13,2002 INFINITI Q45 Luxury Performance Sdn,"152,181 mi.","$3,500"
14,1999 INFINITI Q45,"113,462 mi.","$3,690"
15,1998 INFINITI Q45,"146,566 mi.","$1,295"
16,2002 INFINITI Q45,"193,382 mi.","$2,495"
17,2005 INFINITI Q45,"105,400 mi.","$6,000"
18,2000 INFINITI Q45,"128,000 mi.","$1,499"
19,1998 INFINITI Q45 Touring,"92,920 mi.","$3,500"
20,1999 INFINITI Q45 Touring,"99,039 mi.","$5,750"
21,2003 INFINITI Q45 Premium,"139,000 mi.","$5,495"
22,2001 INFINITI Q45 Touring,"61,000 mi.","$6,500"
23,1998 INFINITI Q45,"73,000 mi.","$5,500"
24,2005 INFINITI Q45 4dr Sdn,"74,000 mi.","$7,995"
25,2002 INFINITI Q45,"78,441 mi.","$6,995"
26,2005 INFINITI Q45,"113,025 mi.","$7,962"
27,2003 INFINITI Q45 Luxury,"136,034 mi.","$6,888"
28,2003 INFINITI Q45 Luxury Sdn,"153,739 mi.","$4,495"
29,2003 INFINITI Q45 Luxury,"144,392 mi.","$4,990"
30,2005 INFINITI Q45 4dr Sdn,0 mi.,"$2,999"
31,2000 INFINITI Q45 Anniversary Edition,"144,811 mi.","$3,995"
