,Name,Mileage,Price
0,2015 INFINITI Q70L,"42,533 mi.","$31,700"
1,2015 INFINITI Q70L 4dr Sdn V8 RWD,"21,238 mi.","$33,693"
2,2015 INFINITI Q70L 3.7,"23,575 mi.","$18,499"
3,2015 INFINITI Q70L 3.7,"14,814 mi.","$19,299"
4,2015 INFINITI Q70L 5.6,"58,270 mi.","$31,569"
5,2015 INFINITI Q70L 3.7,"65,899 mi.","$20,000"
6,2016 INFINITI Q70L 3.7,"36,149 mi.","$28,600"
7,2018 INFINITI Q70L 3.7 LUXE,"21,226 mi.","$38,900"
8,2017 INFINITI Q70L 3.7,"15,105 mi.","$39,900"
9,2016 INFINITI Q70L 5.6X,"3,944 mi.","$28,299"
10,2017 INFINITI Q70L 3.7,"27,822 mi.","$30,700"
11,2017 INFINITI Q70L 3.7,"10,000 mi.","$26,750"
12,2017 INFINITI Q70L 3.7X,"13,819 mi.","$38,987"
13,2016 INFINITI Q70L 3.7X,"27,173 mi.","$31,987"
14,2015 INFINITI Q70L 3.7X,"36,063 mi.","$28,987"
15,2016 INFINITI Q70L,"14,397 mi.","$34,342"
16,2016 INFINITI Q70L 3.7,"20,649 mi.","$31,580"
17,2015 INFINITI Q70L 3.7,"48,570 mi.","$25,080"
18,2015 INFINITI Q70L 4DR SDN V6 RWD,"32,636 mi.","$27,977"
19,2015 INFINITI Q70L 3.7,"32,795 mi.","$24,398"
20,2017 INFINITI Q70L 3.7,"27,402 mi.","$35,293"
21,2015 INFINITI Q70L 4DR SDN V6 AWD,"42,198 mi.","$27,250"
22,2015 INFINITI Q70L 4dr Sdn V6 AWD,"22,967 mi.","$25,000"
23,2015 INFINITI Q70L 3.7,"54,671 mi.","$25,500"
24,2015 INFINITI Q70L 4dr Sdn V6 AWD,"38,873 mi.","$30,382"
25,2015 INFINITI Q70L 4dr Sdn V6 AWD,"70,423 mi.","$19,426"
26,2015 INFINITI Q70L 3.7,"32,132 mi.","$28,343"
27,2018 INFINITI Q70L 3.7 LUXE,"10,545 mi.","$44,777"
28,2015 INFINITI Q70L 3.7X,"11,409 mi.","$33,577"
29,2016 INFINITI Q70L 3.7X,"10,211 mi.","$33,377"
30,2017 INFINITI Q70L 3.7X,"25,529 mi.","$34,358"
31,2016 INFINITI Q70L 3.7X,"25,015 mi.","$33,705"
32,2017 INFINITI Q70L 3.7X,"15,772 mi.","$37,052"
33,2016 INFINITI Q70L 3.7X,"13,732 mi.","$29,998"
34,2015 INFINITI Q70L 3.7X,"45,562 mi.","$25,928"
35,2018 INFINITI Q70L 3.7X LUXE,"11,208 mi.","$39,418"
36,2015 INFINITI Q70L 3.7,"33,746 mi.","$26,200"
37,2018 INFINITI Q70L 3.7 LUXE,"27,094 mi.","$33,495"
38,2016 INFINITI Q70L 3.7,"36,149 mi.","$28,600"
39,2018 INFINITI Q70L 3.7 LUXE,"9,864 mi.","$48,970"
40,2018 INFINITI Q70L 3.7 LUXE,"5,966 mi.","$44,999"
41,2018 INFINITI Q70L 3.7 LUXE,"5,236 mi.","$44,999"
42,2017 INFINITI Q70L 3.7,"27,822 mi.","$30,700"
43,2018 INFINITI Q70L 3.7X,"8,461 mi.","$39,715"
44,2016 INFINITI Q70L 3.7X,"14,432 mi.","$32,489"
45,2016 INFINITI Q70L 3.7,"36,149 mi.","$28,600"
46,2015 INFINITI Q70L 3.7X,"35,057 mi.","$24,599"
47,2018 INFINITI Q70L 3.7 LUXE,"5,135 mi.","$42,010"
48,2018 INFINITI Q70L 3.7 LUXE,"8,032 mi.","$42,010"
49,2018 INFINITI Q70L 3.7 LUXE,"5,491 mi.","$40,224"
50,2016 INFINITI Q70L 3.7,"23,540 mi.","$34,588"
51,2018 INFINITI Q70L 3.7 LUXE,"6,188 mi.","$39,588"
52,2015 INFINITI Q70L 3.7,"39,865 mi.","$28,588"
53,2015 INFINITI Q70L 3.7,"34,983 mi.","$29,998"
54,2015 INFINITI Q70L 3.7X,"68,556 mi.","$24,739"
55,2018 INFINITI Q70L 3.7 LUXE,"17,993 mi.","$39,213"
56,2015 INFINITI Q70L 3.7,"35,157 mi.","$27,921"
57,2015 INFINITI Q70L 3.7,"9,028 mi.","$32,390"
58,2018 INFINITI Q70L 3.7 LUXE,"11,449 mi.","$38,500"
59,2015 INFINITI Q70L 3.7X,"35,836 mi.","$27,988"
60,2016 INFINITI Q70L 3.7X,"23,959 mi.","$33,900"
61,2018 INFINITI Q70L 3.7 LUXE,"10,419 mi.","$40,000"
62,2016 INFINITI Q70L 3.7,"24,085 mi.","$33,989"
63,2016 INFINITI Q70L 3.7,"34,014 mi.","$29,916"
64,2015 INFINITI Q70L 3.7X,"31,707 mi.","$26,999"
65,2015 INFINITI Q70L 3.7X,"40,289 mi.","$26,994"
66,2015 INFINITI Q70L 4dr Sdn V6 AWD,"53,849 mi.","$23,750"
67,2015 INFINITI Q70L 3.7,"35,207 mi.","$29,984"
68,2017 INFINITI Q70L 3.7,"6,539 mi.","$37,994"
69,2016 INFINITI Q70L 3.7,"22,174 mi.","$29,500"
70,2017 INFINITI Q70L 3.7,"27,822 mi.","$30,700"
71,2015 INFINITI Q70L 4dr Sdn V6 RWD,"53,571 mi.","$24,000"
72,2018 INFINITI Q70L 3.7 LUXE,"10,390 mi.","$35,965"
73,2015 INFINITI Q70L 3.7,"48,650 mi.","$24,495"
74,2015 INFINITI Q70L 4dr Sdn V6 RWD,"39,555 mi.","$25,653"
75,2017 INFINITI Q70L 3.7,"27,822 mi.","$30,700"
76,2015 INFINITI Q70L 4dr Sdn V6 AWD,"47,094 mi.","$26,953"
77,2015 INFINITI Q70L 3.7X,"47,157 mi.","$25,949"
78,2015 INFINITI Q70L 4dr Sdn V6 AWD,"35,844 mi.","$26,600"
79,2015 INFINITI Q70L 3.7,"40,312 mi.","$22,999"
80,2015 INFINITI Q70L 3.7X,"30,035 mi.","$27,327"
