,Name,Mileage,Price
0,2018 INFINITI QX30 Premium,"5,682 mi.","$28,888"
1,2017 INFINITI QX30,"32,412 mi.","$20,300"
2,2018 INFINITI QX30 Luxury,"21,166 mi.","$23,000"
3,2018 INFINITI QX30 Base,"7,819 mi.","$22,995"
4,2018 INFINITI QX30 Base,"5,531 mi.","$23,995"
5,2018 INFINITI QX30 Luxury,"7,793 mi.","$22,898"
6,2018 INFINITI QX30 Luxury,"2,401 mi.","$22,798"
7,2018 INFINITI QX30 Premium,"3,532 mi.","$27,798"
8,2018 INFINITI QX30 Luxury,"27,758 mi.","$22,489"
9,2017 INFINITI QX30 Sport,"29,771 mi.","$19,998"
10,2018 INFINITI QX30 Premium,"2,093 mi.","$29,500"
11,2018 INFINITI QX30 Premium,"2,379 mi.","$34,525"
12,2017 INFINITI QX30 Luxury,"36,545 mi.","$20,289"
13,2017 INFINITI QX30 Luxury,"26,713 mi.","$22,339"
14,2017 INFINITI QX30 Luxury,"29,362 mi.","$19,975"
15,2017 INFINITI QX30 Luxury,"24,477 mi.","$23,488"
16,2018 INFINITI QX30 Luxury,"24,749 mi.","$22,995"
17,2018 INFINITI QX30 Luxury,"19,952 mi.","$24,226"
18,2018 INFINITI QX30 Luxury,"19,838 mi.","$26,991"
19,2017 INFINITI QX30 Premium,"8,301 mi.","$28,991"
20,2018 INFINITI QX30 Luxury,"17,048 mi.","$21,977"
21,2017 INFINITI QX30 Luxury,"16,113 mi.","$31,488"
22,2018 INFINITI QX30 Luxury,"7,208 mi.","$22,347"
23,2017 INFINITI QX30 Premium,"18,309 mi.","$21,989"
24,2018 INFINITI QX30 Luxury,"22,802 mi.","$21,880"
25,2017 INFINITI QX30 Sport,"47,818 mi.","$22,402"
26,2018 INFINITI QX30 Luxury,"26,809 mi.","$21,752"
27,2018 INFINITI QX30 Luxury,"2,164 mi.","$27,000"
28,2018 INFINITI QX30 Premium,"2,644 mi.","$29,000"
29,2018 INFINITI QX30 Luxury,"2,065 mi.","$26,500"
30,2018 INFINITI QX30 Premium,"25,691 mi.","$19,975"
31,2017 INFINITI QX30 Luxury,"39,573 mi.","$20,495"
32,2017 INFINITI QX30 Premium,"26,396 mi.","$22,500"
33,2018 INFINITI QX30 Base,"11,333 mi.","$21,597"
34,2018 INFINITI QX30 Premium,"8,425 mi.","$27,489"
35,2018 INFINITI QX30 Sport,"25,767 mi.","$19,861"
36,2017 INFINITI QX30 Premium,"27,075 mi.","$23,400"
37,2018 INFINITI QX30 Premium,"9,690 mi.","$29,400"
38,2017 INFINITI QX30 Premium,"13,055 mi.","$25,977"
39,2017 INFINITI QX30 Premium,"12,581 mi.","$27,777"
40,2017 INFINITI QX30 Premium,"8,495 mi.","$31,777"
41,2017 INFINITI QX30 Sport,"7,027 mi.","$30,500"
