,Name,Mileage,Price
0,2015 INFINITI QX60 Hybrid Base,"58,286 mi.","$28,999"
1,2015 INFINITI QX60 Hybrid Base,"32,576 mi.","$28,900"
2,2014 INFINITI QX60 Hybrid Base,"43,724 mi.","$21,600"
3,2017 INFINITI QX60 Hybrid Base,"35,071 mi.","$38,999"
4,2015 INFINITI QX60 Hybrid Base,"32,127 mi.","$22,999"
5,2014 INFINITI QX60 Hybrid Base,"77,110 mi.","$21,430"
6,2014 INFINITI QX60 Hybrid Base,"45,384 mi.","$25,461"
7,2014 INFINITI QX60 Hybrid Base,"28,909 mi.","$25,988"
8,2014 INFINITI QX60 Hybrid Base,"57,375 mi.","$25,000"
9,2014 INFINITI QX60 Hybrid Base,"60,404 mi.","$22,700"
10,2015 INFINITI QX60 Hybrid Base,"53,156 mi.","$26,227"
11,2014 INFINITI QX60 Hybrid Base,"53,731 mi.","$20,751"
12,2014 INFINITI QX60 Hybrid Base,"71,886 mi.","$24,998"
13,2014 INFINITI QX60 Hybrid Base,"31,891 mi.","$26,998"
14,2014 INFINITI QX60 Hybrid Base,"55,276 mi.","$24,377"
15,2014 INFINITI QX60 Hybrid Base,"46,644 mi.","$26,998"
16,2014 INFINITI QX60 Hybrid Base,"50,764 mi.","$25,998"
17,2014 INFINITI QX60 Hybrid Base,"58,316 mi.","$25,998"
18,2015 INFINITI QX60 Hybrid Base,"59,973 mi.","$20,995"
19,2015 INFINITI QX60 Hybrid Base,"43,336 mi.","$26,980"
20,2015 INFINITI QX60 Hybrid Base,"41,295 mi.","$25,995"
21,2014 INFINITI QX60 Hybrid Base,"39,284 mi.","$24,985"
22,2014 INFINITI QX60 Hybrid Base,"64,251 mi.","$23,404"
23,2014 INFINITI QX60 Hybrid Base,"48,697 mi.","$23,590"
24,2014 INFINITI QX60 Hybrid Base,"62,570 mi.","$21,900"
25,2014 INFINITI QX60 Hybrid Base,"52,447 mi.","$22,500"
26,2014 INFINITI QX60 Hybrid Base,"65,565 mi.","$25,000"
27,2014 INFINITI QX60 Hybrid Base,"48,999 mi.","$26,575"
28,2015 INFINITI QX60 Hybrid Base,"43,398 mi.","$28,998"
29,2014 INFINITI QX60 Hybrid Base,"67,674 mi.","$20,500"
30,2015 INFINITI QX60 Hybrid Base,"32,959 mi.","$28,988"
31,2015 INFINITI QX60 Hybrid Base,"58,061 mi.","$28,998"
32,2014 INFINITI QX60 Hybrid Base,"66,441 mi.","$21,895"
33,2014 INFINITI QX60 Hybrid Base,"94,653 mi.","$16,777"
34,2014 INFINITI QX60 Hybrid Base,"66,402 mi.","$22,900"
35,2014 INFINITI QX60 Hybrid Base,"97,000 mi.","$20,998"
36,2014 INFINITI QX60 Hybrid Base,"34,554 mi.","$29,997"
37,2016 INFINITI QX60 Hybrid Base,"42,163 mi.","$32,995"
38,2014 INFINITI QX60 Hybrid Base,"49,218 mi.","$21,995"
39,2014 INFINITI QX60 Hybrid Base,"91,035 mi.","$16,999"
40,2014 INFINITI QX60 Hybrid Base,"99,723 mi.","$20,000"
41,2014 INFINITI QX60 Hybrid Base,"84,839 mi.","$18,995"
42,2014 INFINITI QX60 Hybrid Base,"47,780 mi.","$30,231"
43,2014 INFINITI QX60 Hybrid Base,"124,220 mi.","$13,595"
44,2014 INFINITI QX60 Hybrid Base,"75,645 mi.","$19,790"
45,2014 INFINITI QX60 Hybrid Base,"91,857 mi.","$17,559"
46,2014 INFINITI QX60 Hybrid Base,"82,445 mi.","$20,690"
47,2014 INFINITI QX60 Hybrid Base,"96,051 mi.","$16,659"
48,2015 INFINITI QX60 Hybrid Base,"60,090 mi.","$25,991"
49,2014 INFINITI QX60 Hybrid Base,"102,165 mi.","$14,995"
