,Name,Mileage,Price
0,2019 Jaguar E-PACE SE,"3,575 mi.","$47,990"
1,2018 Jaguar E-PACE First Edition,"8,267 mi.","$49,990"
2,2018 Jaguar E-PACE S,"4,621 mi.","$38,488"
3,2018 Jaguar E-PACE S,"3,459 mi.","$42,888"
4,2018 Jaguar E-PACE S,11 mi.,"$42,988"
5,2018 Jaguar E-PACE S,"1,058 mi.","$42,988"
6,2018 Jaguar E-PACE SE,"6,652 mi.","$42,835"
7,2018 Jaguar E-PACE SE,"7,135 mi.","$41,915"
8,2018 Jaguar E-PACE SE,"6,239 mi.","$42,755"
9,2018 Jaguar E-PACE S,"7,181 mi.","$45,997"
10,2018 Jaguar E-PACE First Edition,"6,412 mi.","$52,995"
11,2018 Jaguar E-PACE S,"4,207 mi.","$46,976"
12,2018 Jaguar E-PACE S,"2,914 mi.","$42,913"
13,2018 Jaguar E-PACE S,"6,050 mi.","$43,989"
14,2018 Jaguar E-PACE Base,"4,218 mi.","$35,579"
15,2018 Jaguar E-PACE S,"5,451 mi.","$46,685"
16,2018 Jaguar E-PACE SE,"4,832 mi.","$47,636"
17,2018 Jaguar E-PACE S,"9,028 mi.","$38,880"
18,2018 Jaguar E-PACE S,"4,990 mi.","$39,095"
19,2018 Jaguar E-PACE R-Dynamic S,17 mi.,"$49,996"
20,2018 Jaguar E-PACE R-Dynamic S,18 mi.,"$49,996"
21,2018 Jaguar E-PACE S,"6,049 mi.","$41,300"
22,2018 Jaguar E-PACE First Edition,"2,852 mi.","$47,500"
23,2018 Jaguar E-PACE S,"3,997 mi.","$42,888"
24,2018 Jaguar E-PACE S,"1,286 mi.","$42,888"
25,2018 Jaguar E-PACE S,"4,587 mi.","$39,500"
26,2018 Jaguar E-PACE R-Dynamic S,"9,755 mi.","$44,250"
27,2018 Jaguar E-PACE SE,"4,884 mi.","$43,500"
28,2018 Jaguar E-PACE S,"3,997 mi.","$42,888"
29,2018 Jaguar E-PACE S,"1,286 mi.","$42,888"
30,2018 Jaguar E-PACE S,"5,140 mi.","$40,500"
31,2018 Jaguar E-PACE S,"3,500 mi.","$47,972"
32,2018 Jaguar E-PACE S,"3,102 mi.","$46,741"
33,2018 Jaguar E-PACE S,"3,619 mi.","$47,811"
34,2018 Jaguar E-PACE S,"4,722 mi.","$46,751"
35,2018 Jaguar E-PACE S,"3,327 mi.","$45,765"
36,2018 Jaguar E-PACE S,"3,909 mi.","$46,751"
37,2018 Jaguar E-PACE S,"3,312 mi.","$45,765"
38,2018 Jaguar E-PACE R-Dynamic HSE,"10,608 mi.","$45,850"
39,2018 Jaguar E-PACE First Edition,"11,880 mi.","$42,850"
40,2018 Jaguar E-PACE SE,"6,971 mi.","$42,850"
