,Name,Mileage,Price
0,2018 Jaguar XE 25t,"27,532 mi.","$25,475"
1,2017 Jaguar XE 25t,"24,095 mi.","$24,378"
2,2017 Jaguar XE 35t Premium,"2,199 mi.","$35,347"
3,2017 Jaguar XE 35t R-Sport,"28,106 mi.","$32,788"
4,2017 Jaguar XE 35t Premium,"15,708 mi.","$29,912"
5,2017 Jaguar XE 20d,"17,319 mi.","$24,992"
6,2017 Jaguar XE 25t,"29,796 mi.","$22,998"
7,2017 Jaguar XE 25t,"30,999 mi.","$21,500"
8,2017 Jaguar XE 35t Premium,"10,909 mi.","$30,800"
9,2017 Jaguar XE 25t,"24,115 mi.","$22,950"
10,2017 Jaguar XE 25t,"32,413 mi.","$20,686"
11,2017 Jaguar XE 25t,"38,108 mi.","$20,169"
12,2018 Jaguar XE 25t Premium,"6,547 mi.","$41,358"
13,2018 Jaguar XE 25t Premium,"13,384 mi.","$35,399"
14,2018 Jaguar XE 25t,"28,931 mi.","$23,887"
15,2017 Jaguar XE 25t Prestige,"24,749 mi.","$27,440"
16,2017 Jaguar XE 25t,"34,442 mi.","$21,708"
17,2017 Jaguar XE 25t,"26,656 mi.","$19,680"
18,2017 Jaguar XE 25t,"28,606 mi.","$21,987"
19,2017 Jaguar XE 25t,"25,540 mi.","$21,015"
20,2017 Jaguar XE 20d,"11,206 mi.","$29,700"
21,2017 Jaguar XE 35t Premium,541 mi.,"$34,900"
22,2017 Jaguar XE 25t Premium,"12,411 mi.","$29,900"
23,2017 Jaguar XE 25t,"34,136 mi.","$18,999"
24,2018 Jaguar XE 25t,"25,153 mi.","$22,999"
25,2017 Jaguar XE 25t Prestige,"31,092 mi.","$26,255"
26,2017 Jaguar XE 25t Prestige,"11,972 mi.","$29,992"
27,2017 Jaguar XE 35t Prestige,"23,133 mi.","$30,999"
28,2017 Jaguar XE 20d Prestige,"27,328 mi.","$28,990"
29,2018 Jaguar XE 25t Premium,"7,397 mi.","$33,888"
30,2017 Jaguar XE 35t Premium,"8,463 mi.","$29,998"
31,2017 Jaguar XE 25t Prestige,"14,518 mi.","$28,800"
32,2017 Jaguar XE 35t R-Sport,"35,166 mi.","$35,998"
33,2017 Jaguar XE 20d,"45,028 mi.","$22,997"
34,2018 Jaguar XE 25t Premium,"7,397 mi.","$33,888"
35,2018 Jaguar XE 25t Premium,"3,244 mi.","$34,888"
36,2018 Jaguar XE 25t,"25,153 mi.","$22,999"
37,2018 Jaguar XE 25t,"25,153 mi.","$22,999"
38,2018 Jaguar XE 25t,"14,257 mi.","$26,500"
39,2018 Jaguar XE 25t,"12,933 mi.","$25,240"
40,2018 Jaguar XE 25t R-Sport,"3,264 mi.","$45,333"
41,2018 Jaguar XE 25t Premium,"3,027 mi.","$36,932"
42,2018 Jaguar XE 20d Prestige,"3,606 mi.","$41,921"
43,2017 Jaguar XE 35t Premium,645 mi.,"$33,900"
44,2017 Jaguar XE 35t First Edition,"11,063 mi.","$30,900"
45,2017 Jaguar XE 20d Prestige,"1,001 mi.","$30,900"
46,2017 Jaguar XE 20d Prestige,"1,321 mi.","$31,500"
47,2017 Jaguar XE 35t Premium,"18,939 mi.","$29,850"
48,2018 Jaguar XE 25t Prestige,"4,567 mi.","$37,986"
49,2018 Jaguar XE 25t Prestige,"5,636 mi.","$40,022"
50,2018 Jaguar XE 25t Prestige,"9,492 mi.","$39,999"
51,2017 Jaguar XE 20d,"33,776 mi.","$25,200"
52,2018 Jaguar XE 25t Premium,"3,528 mi.","$31,000"
53,2018 Jaguar XE 25t R-Sport,"2,458 mi.","$40,000"
54,2019 Jaguar XE 25t Premium,"1,709 mi.","$42,912"
55,2017 Jaguar XE 25t Prestige,"8,695 mi.","$28,998"
56,2018 Jaguar XE 25t,"18,839 mi.","$24,000"
57,2017 Jaguar XE 25t,"30,995 mi.","$24,998"
58,2018 Jaguar XE 25t,"7,845 mi.","$27,911"
59,2017 Jaguar XE 20d Prestige,"7,153 mi.","$29,911"
60,2017 Jaguar XE 25t Premium,"20,114 mi.","$25,971"
61,2017 Jaguar XE 35t Prestige,"3,977 mi.","$34,599"
62,2017 Jaguar XE 35t R-Sport,"15,163 mi.","$31,998"
63,2018 Jaguar XE 25t Premium,"5,190 mi.","$34,789"
64,2018 Jaguar XE 25t,"28,703 mi.","$23,957"
65,2018 Jaguar XE S,"1,321 mi.","$46,157"
66,2017 Jaguar XE 25t Premium,"16,733 mi.","$26,869"
67,2018 Jaguar XE 25t,"23,664 mi.","$25,880"
68,2017 Jaguar XE 35t Premium,"9,032 mi.","$29,000"
69,2017 Jaguar XE 25t,"34,505 mi.","$22,450"
70,2017 Jaguar XE 25t,"32,927 mi.","$22,890"
71,2018 Jaguar XE 25t,"24,571 mi.","$23,900"
72,2018 Jaguar XE 25t,"25,729 mi.","$23,999"
73,2018 Jaguar XE 25t,"25,153 mi.","$22,999"
74,2018 Jaguar XE 25t,"25,153 mi.","$22,999"
75,2017 Jaguar XE 35t Premium,811 mi.,"$31,990"
76,2017 Jaguar XE 20d Prestige,"5,563 mi.","$29,995"
77,2018 Jaguar XE 25t Premium,"6,513 mi.","$34,897"
78,2018 Jaguar XE 25t Prestige,"7,419 mi.","$37,497"
79,2018 Jaguar XE 35t Premium,"6,215 mi.","$37,497"
80,2017 Jaguar XE 35t Premium,"43,041 mi.","$25,981"
81,2018 Jaguar XE 25t Premium,"10,524 mi.","$29,998"
82,2018 Jaguar XE 35t Prestige,"3,493 mi.","$47,991"
83,2018 Jaguar XE 35t Premium,"12,193 mi.","$32,984"
84,2017 Jaguar XE 20d Premium,"15,691 mi.","$29,000"
85,2017 Jaguar XE 35t R-Sport,"19,324 mi.","$34,411"
86,2018 Jaguar XE 25t Premium,"4,787 mi.","$36,731"
87,2018 Jaguar XE S,"5,456 mi.","$49,995"
88,2017 Jaguar XE 25t Premium,"24,573 mi.","$25,942"
89,2018 Jaguar XE 25t,"25,153 mi.","$22,999"
90,2017 Jaguar XE 25t Premium,"6,350 mi.","$27,995"
91,2018 Jaguar XE 25t,"25,153 mi.","$22,999"
92,2018 Jaguar XE 25t Premium,"4,633 mi.","$36,777"
93,2018 Jaguar XE S,"6,218 mi.","$43,777"
94,2017 Jaguar XE 20d R-Sport,"14,481 mi.","$36,884"
