,Name,Mileage,Price
0,2016 Jaguar XJ XJL Portfolio,"44,293 mi.","$40,995"
1,2013 Jaguar XJ L Portfolio,"92,032 mi.","$20,950"
2,2017 Jaguar XJ XJL Portfolio,"4,738 mi.","$62,990"
3,2015 Jaguar XJ XJL Portfolio,"22,169 mi.","$39,500"
4,2015 Jaguar XJ XJL Supercharged,"47,145 mi.","$42,000"
5,2016 Jaguar XJ XJL Portfolio,"44,338 mi.","$41,901"
6,2016 Jaguar XJ XJL Portfolio,"35,427 mi.","$46,901"
7,2015 Jaguar XJ Base,"20,599 mi.","$31,900"
8,2015 Jaguar XJ Base,"26,801 mi.","$31,600"
9,2015 Jaguar XJ L,"28,689 mi.","$31,864"
10,2015 Jaguar XJ Base,"31,524 mi.","$25,950"
11,2015 Jaguar XJ XJL Portfolio,"52,856 mi.","$32,287"
12,2013 Jaguar XJ L Portfolio,"57,115 mi.","$26,287"
13,2006 Jaguar XJ XJR,"57,648 mi.","$13,999"
14,1998 Jaguar XJ Vanden Plas,"100,253 mi.","$3,942"
15,2011 Jaguar XJ XJL,"16,521 mi.","$31,492"
16,2012 Jaguar XJ Base,"61,557 mi.","$18,996"
17,2016 Jaguar XJ XJR,"29,589 mi.","$64,995"
18,2015 Jaguar XJ XJL Portfolio,"34,521 mi.","$37,888"
19,2005 Jaguar XJ XJ8 LWB,"134,237 mi.","$5,990"
20,2011 Jaguar XJ L,"41,619 mi.","$26,995"
21,2005 Jaguar XJ Vanden Plas,"79,667 mi.","$9,795"
22,2014 Jaguar XJ XJL Supercharged,"36,458 mi.","$34,911"
23,2017 Jaguar XJ XJ R-Sport,"4,817 mi.","$58,900"
24,2012 Jaguar XJ Base,"58,218 mi.","$20,995"
25,2011 Jaguar XJ Base,"84,864 mi.","$19,995"
26,2014 Jaguar XJ Base,"89,853 mi.","$21,995"
27,2013 Jaguar XJ Supercharged,"73,993 mi.","$25,988"
28,2012 Jaguar XJ L,"45,452 mi.","$24,988"
29,2013 Jaguar XJ L Portfolio,"67,400 mi.","$24,988"
30,2014 Jaguar XJ Base,"52,244 mi.","$27,995"
31,2016 Jaguar XJ XJL Portfolio,"17,509 mi.","$48,000"
32,2013 Jaguar XJ L Supercharged,"70,756 mi.","$28,998"
33,2014 Jaguar XJ XJR,"27,379 mi.","$39,500"
34,2016 Jaguar XJ XJ R-Sport,"12,753 mi.","$41,500"
35,2015 Jaguar XJ XJL Portfolio,"48,790 mi.","$34,888"
36,2018 Jaguar XJ XJL Portfolio,"10,301 mi.","$72,500"
37,2018 Jaguar XJ XJL Portfolio,"9,211 mi.","$72,000"
38,2015 Jaguar XJ Base,"24,942 mi.","$34,850"
39,2015 Jaguar XJ XJL Portfolio,"48,790 mi.","$34,888"
40,2015 Jaguar XJ XJL Portfolio,"35,327 mi.","$42,927"
41,2015 Jaguar XJ XJL Portfolio,"32,890 mi.","$40,993"
42,2015 Jaguar XJ XJL Portfolio,"30,955 mi.","$37,489"
43,2016 Jaguar XJ XJL Portfolio,"29,477 mi.","$44,890"
44,2015 Jaguar XJ XJL Portfolio,"38,949 mi.","$35,981"
45,2004 Jaguar XJ Base,"133,946 mi.","$5,850"
46,2016 Jaguar XJ XJL Portfolio,"26,587 mi.","$53,995"
47,2018 Jaguar XJ XJ R-Sport,"5,839 mi.","$59,995"
48,2015 Jaguar XJ XJL Portfolio,"30,772 mi.","$43,995"
49,2015 Jaguar XJ XJL Portfolio,"36,048 mi.","$42,995"
50,2011 Jaguar XJ L Supercharged,"86,782 mi.","$19,990"
51,2011 Jaguar XJ Base,"81,052 mi.","$18,750"
52,2012 Jaguar XJ Supercharged,"81,277 mi.","$21,700"
53,2006 Jaguar XJ XJ8 LWB,"102,649 mi.","$7,849"
54,2016 Jaguar XJ XJL Portfolio,"24,038 mi.","$48,999"
55,2013 Jaguar XJ Portfolio,"110,773 mi.","$13,981"
56,2015 Jaguar XJ XJL Portfolio,"27,499 mi.","$40,900"
57,2016 Jaguar XJ XJL Portfolio,"16,917 mi.","$45,500"
58,2017 Jaguar XJ XJ R-Sport,"6,440 mi.","$58,822"
59,2016 Jaguar XJ XJL Supercharged,"12,372 mi.","$63,386"
60,2004 Jaguar XJ Base,"91,128 mi.","$6,999"
61,2014 Jaguar XJ Base,"74,440 mi.","$25,000"
62,2015 Jaguar XJ Base,"34,500 mi.","$33,000"
63,2018 Jaguar XJ XJL Portfolio,"2,798 mi.","$66,228"
64,2016 Jaguar XJ XJL Portfolio,"13,347 mi.","$50,996"
65,2013 Jaguar XJ,"78,268 mi.","$22,995"
66,2014 Jaguar XJ XJR,"29,622 mi.","$46,144"
67,2015 Jaguar XJ XJL Supercharged,"53,161 mi.","$35,000"
68,2015 Jaguar XJ Base,"18,256 mi.","$33,999"
69,2015 Jaguar XJ Base,"38,459 mi.","$34,194"
70,2016 Jaguar XJ XJL Portfolio,"31,085 mi.","$48,990"
71,2015 Jaguar XJ XJL Portfolio,"40,812 mi.","$38,990"
72,2016 Jaguar XJ XJL Portfolio,"23,232 mi.","$49,927"
73,2015 Jaguar XJ Base,"31,540 mi.","$30,998"
74,2016 Jaguar XJ XJL Portfolio,"19,530 mi.","$46,794"
75,2016 Jaguar XJ XJ R-Sport,"10,778 mi.","$45,910"
76,2015 Jaguar XJ XJL Portfolio,"47,593 mi.","$35,947"
77,2015 Jaguar XJ XJL Portfolio,"54,402 mi.","$31,000"
78,2016 Jaguar XJ XJL Portfolio,"46,078 mi.","$43,822"
79,2014 Jaguar XJ XJL Portfolio,"35,972 mi.","$31,995"
80,2012 Jaguar XJ L Portfolio,"59,560 mi.","$24,990"
81,2017 Jaguar XJ XJL Portfolio,"7,178 mi.","$65,990"
82,2016 Jaguar XJ XJL Portfolio,"17,403 mi.","$50,995"
83,2015 Jaguar XJ 4DR SDN R-SPORT,"39,090 mi.","$36,987"
84,2016 Jaguar XJ R-Sport,"19,994 mi.","$39,800"
85,2014 Jaguar XJ XJL Supercharged,"4,847 mi.","$40,784"
86,2016 Jaguar XJ XJL Portfolio,"29,524 mi.","$51,354"
87,2015 Jaguar XJ Base,"51,904 mi.","$26,998"
88,2015 Jaguar XJ XJL Portfolio,"48,559 mi.","$36,450"
89,2017 Jaguar XJ XJ R-Sport,"3,671 mi.","$56,150"
90,2018 Jaguar XJ XJ Supercharged,"4,825 mi.","$67,899"
91,2012 Jaguar XJ Base,"68,484 mi.","$18,999"
92,2014 Jaguar XJ XJL Portfolio,"30,050 mi.","$28,990"
93,2014 Jaguar XJ XJR,"18,543 mi.","$48,900"
94,2013 Jaguar XJ Base,"63,041 mi.","$25,499"
95,2016 Jaguar XJ XJL Portfolio,"18,413 mi.","$49,995"
96,2018 Jaguar XJ XJL Portfolio,"4,588 mi.","$67,000"
97,2018 Jaguar XJ XJ R-Sport,522 mi.,"$59,942"
98,2015 Jaguar XJ XJL Portfolio,"13,723 mi.","$39,496"
99,2015 Jaguar XJ Base,"29,986 mi.","$33,998"
100,2008 Jaguar XJ XJ8 L,"93,878 mi.","$10,999"
101,2015 Jaguar XJ XJL Portfolio,"26,872 mi.","$34,900"
102,2016 Jaguar XJ XJ R-Sport,"12,122 mi.","$45,790"
103,2015 Jaguar XJ Base,"16,757 mi.","$35,998"
104,2012 Jaguar XJ L Supercharged,"93,609 mi.","$19,550"
105,2011 Jaguar XJ L,"90,985 mi.","$17,550"
106,2017 Jaguar XJ XJL Portfolio,"12,211 mi.","$60,000"
107,2015 Jaguar XJ XJL Portfolio,"32,066 mi.","$39,500"
108,2015 Jaguar XJ XJL Portfolio,"71,797 mi.","$36,950"
109,2011 Jaguar XJ Base,"95,903 mi.","$16,500"
110,2011 Jaguar XJ Base,"80,277 mi.","$17,998"
111,2015 Jaguar XJ XJL Portfolio,"21,430 mi.","$38,995"
112,2016 Jaguar XJ XJL Portfolio,"1,005 mi.","$37,992"
113,2016 Jaguar XJ XJL Portfolio,"19,496 mi.","$39,499"
114,2005 Jaguar XJ Super V8,"93,877 mi.","$8,000"
115,2017 Jaguar XJ XJL Supercharged,"5,011 mi.","$75,950"
116,2015 Jaguar XJ Base,"37,561 mi.","$32,998"
117,2011 Jaguar XJ Supercharged,"109,894 mi.","$17,251"
118,2018 Jaguar XJ XJ R-Sport,701 mi.,"$62,900"
119,2015 Jaguar XJ XJL Portfolio,"44,212 mi.","$31,995"
120,2017 Jaguar XJ XJL Portfolio,"9,419 mi.","$56,950"
121,2007 Jaguar XJ Vanden Plas,"98,647 mi.","$9,495"
122,2011 Jaguar XJ L,"97,053 mi.","$19,995"
123,2013 Jaguar XJ Base,"56,840 mi.","$26,706"
124,2015 Jaguar XJ XJL Supercharged,"48,499 mi.","$40,988"
125,2015 Jaguar XJ XJL Portfolio,"50,139 mi.","$30,090"
126,2015 Jaguar XJ XJL Portfolio,"14,087 mi.","$40,452"
127,2012 Jaguar XJ L,"72,653 mi.","$20,995"
128,2016 Jaguar XJ XJL Portfolio,"33,184 mi.","$42,954"
129,2014 Jaguar XJ Base,"45,515 mi.","$29,998"
130,2012 Jaguar XJ Base,"50,700 mi.","$22,700"
131,2005 Jaguar XJ Super V8,"119,722 mi.","$8,152"
132,2013 Jaguar XJ L Portfolio,"45,267 mi.","$27,718"
133,2011 Jaguar XJ L Supercharged,"69,505 mi.","$26,997"
134,2013 Jaguar XJ Base,"37,775 mi.","$26,499"
