,Name,Mileage,Price
0,2006 Jaguar XJ8,"96,323 mi.","$8,450"
1,2005 Jaguar XJ8 L,"64,492 mi.","$9,995"
2,2007 Jaguar XJ8,"90,812 mi.","$10,000"
3,2007 Jaguar XJ8,"74,489 mi.","$11,990"
4,2007 Jaguar XJ8 L,"101,236 mi.","$8,500"
5,2003 Jaguar XJ8,"82,671 mi.","$6,995"
6,2007 Jaguar XJ8 L,"150,115 mi.","$4,499"
7,2006 Jaguar XJ8 L,"72,821 mi.","$11,500"
8,2000 Jaguar XJ8,"77,968 mi.","$7,995"
9,2004 Jaguar XJ8,"70,035 mi.","$6,995"
10,2004 Jaguar XJ8 CLEAN CARFAX LOW MILES,"64,382 mi.","$9,888"
11,2000 Jaguar XJ8 Vanden Plas,"111,061 mi.","$5,995"
12,2004 Jaguar XJ8,"134,853 mi.","$4,679"
13,1999 Jaguar XJ8 XJ,"82,328 mi.","$4,988"
14,2008 Jaguar XJ8 L,"112,043 mi.","$9,999"
15,2004 Jaguar XJ8,"140,000 mi.","$5,950"
16,2005 Jaguar XJ8 L,"116,863 mi.","$6,583"
17,2007 Jaguar XJ8,"107,364 mi.","$8,595"
18,2002 Jaguar XJ8,"119,750 mi.","$4,800"
19,1999 Jaguar XJ8 L,"116,224 mi.","$3,988"
20,2006 Jaguar XJ8,"99,922 mi.","$6,491"
21,2004 Jaguar XJ8,"56,979 mi.","$8,980"
22,2006 Jaguar XJ8,"77,027 mi.","$18,000"
23,1999 Jaguar XJ8,"148,094 mi.","$5,995"
24,2000 Jaguar XJ8 Vanden Plas,"125,642 mi.","$6,995"
25,2004 Jaguar XJ8,"194,388 mi.","$3,995"
26,2002 Jaguar XJ8,"120,625 mi.","$1,795"
27,2004 Jaguar XJ8,"137,294 mi.","$6,990"
28,2001 Jaguar XJ8 Vanden Plas,"101,168 mi.","$2,495"
29,1999 Jaguar XJ8 L,"114,985 mi.","$1,995"
30,2005 Jaguar XJ8 L,"97,879 mi.","$3,395"
31,2004 Jaguar XJ8,"111,654 mi.","$3,795"
32,2008 Jaguar XJ8,"43,961 mi.","$12,999"
33,2008 Jaguar XJ8 L,"74,897 mi.","$11,998"
34,2006 Jaguar XJ8,"145,995 mi.","$3,930"
35,2007 Jaguar XJ8 L,"44,963 mi.","$12,900"
36,2004 Jaguar XJ8,"119,803 mi.","$3,799"
37,2008 Jaguar XJ8 L,"83,440 mi.","$12,556"
38,2008 Jaguar XJ8 L,"89,402 mi.","$11,888"
39,2007 Jaguar XJ8,"60,270 mi.","$9,888"
40,2008 Jaguar XJ8 L,"50,488 mi.","$15,995"
41,2008 Jaguar XJ8 L,"83,000 mi.","$14,900"
42,2000 Jaguar XJ8 L,"41,000 mi.","$7,000"
43,2001 Jaguar XJ8,"68,000 mi.","$4,500"
44,2001 Jaguar XJ8,"107,554 mi.","$2,775"
45,2002 Jaguar XJ8 Sport,"94,000 mi.","$8,500"
46,2004 Jaguar XJ8,"35,000 mi.","$11,500"
47,1998 Jaguar XJ8,"58,000 mi.","$6,500"
48,2001 Jaguar XJ8 L,"30,000 mi.","$12,000"
49,2009 Jaguar XJ8 L,"71,113 mi.","$14,999"
50,2004 Jaguar XJ8,"109,000 mi.","$11,000"
51,2005 Jaguar XJ8 L,"95,000 mi.","$11,000"
52,1999 Jaguar XJ8 Vanden Plas,"80,700 mi.","$9,950"
53,2004 Jaguar XJ8,0 mi.,"$9,950"
54,2000 Jaguar XJ8,"86,807 mi.","$2,995"
55,2004 Jaguar XJ8,"90,407 mi.","$8,995"
56,2005 Jaguar XJ8 L,"109,723 mi.",Not Priced
57,2001 Jaguar XJ8 Vanden Plas,"195,256 mi.",Not Priced
58,2006 Jaguar XJ8 L,"12,351 mi.","$22,997"
59,2000 Jaguar XJ8,"105,254 mi.",Not Priced
