,Name,Mileage,Price
0,2012 Jaguar XK Base,"57,648 mi.","$27,995"
1,2012 Jaguar XK Base,"130,395 mi.","$19,995"
2,2014 Jaguar XK Base,"22,955 mi.","$42,900"
3,2015 Jaguar XK Base,"23,704 mi.","$39,878"
4,2015 Jaguar XK Base,51 mi.,"$108,425"
5,2008 Jaguar XK Base,"92,500 mi.","$14,000"
6,2012 Jaguar XK Base,"59,898 mi.","$33,000"
7,2010 Jaguar XK R,"76,391 mi.","$28,950"
8,2010 Jaguar XK XKR,"44,668 mi.","$26,981"
9,2011 Jaguar XK Base,"84,789 mi.","$20,999"
10,2007 Jaguar XK Base,"56,846 mi.","$17,995"
11,2010 Jaguar XK,"44,954 mi.","$21,995"
12,2014 Jaguar XK XKR-S,"27,441 mi.","$62,000"
13,2012 Jaguar XK R,"82,394 mi.","$26,900"
14,2014 Jaguar XK Base,"30,244 mi.","$35,779"
15,2011 Jaguar XK Base,"69,723 mi.","$22,822"
16,2008 Jaguar XK,"93,040 mi.","$15,900"
17,2012 Jaguar XK R-S,"20,970 mi.","$49,989"
18,2010 Jaguar XK Bower & Wilkins,"85,750 mi.","$18,570"
19,2011 Jaguar XK Base,"45,801 mi.","$26,998"
20,2013 Jaguar XK Base,"33,380 mi.","$30,998"
21,2015 Jaguar XK Base,"16,491 mi.","$36,699"
22,2010 Jaguar XK Base,"75,028 mi.","$20,999"
23,2008 Jaguar XK XKR,"76,910 mi.","$20,495"
24,2012 Jaguar XK Base,"43,386 mi.","$29,352"
25,2011 Jaguar XK Base,"37,588 mi.","$26,989"
26,2008 Jaguar XK Base,"77,970 mi.","$15,995"
27,2007 Jaguar XK Base,"79,327 mi.","$13,795"
28,2015 Jaguar XK Base,"16,491 mi.","$36,699"
29,2013 Jaguar XK R,"19,793 mi.","$40,995"
30,2013 Jaguar XK Base,"23,261 mi.","$32,888"
31,2011 Jaguar XK Base,"34,319 mi.","$27,981"
32,2012 Jaguar XK Base,"39,097 mi.","$27,999"
33,2012 Jaguar XK R,"45,685 mi.","$32,479"
34,2011 Jaguar XK XKR,"25,739 mi.","$29,977"
35,2014 Jaguar XK XKR-S,"6,494 mi.","$69,909"
36,2011 Jaguar XK R,"39,608 mi.","$28,998"
37,2015 Jaguar XK XKR-S,"12,247 mi.","$68,999"
38,2014 Jaguar XK XKR,"18,591 mi.","$49,997"
39,2010 Jaguar XK Base,"54,791 mi.","$22,695"
40,2015 Jaguar XK LUXURY PKG,"4,303 mi.","$54,995"
41,2015 Jaguar XK Base,"16,491 mi.","$36,699"
42,2007 Jaguar XK,"88,251 mi.","$13,950"
43,2015 Jaguar XK Base,"16,491 mi.","$36,699"
44,2007 Jaguar XK,"57,334 mi.","$19,995"
45,2010 Jaguar XK Base,"39,116 mi.","$28,990"
46,2007 Jaguar XK,"34,760 mi.","$21,888"
47,2015 Jaguar XK Base,"16,491 mi.","$36,699"
48,2011 Jaguar XK Base,"97,317 mi.","$16,995"
49,2013 Jaguar XK Base,"24,357 mi.","$31,999"
50,2007 Jaguar XK Base,"102,282 mi.","$13,995"
51,2012 Jaguar XK XKR,"40,295 mi.","$32,985"
52,2009 Jaguar XK,"138,391 mi.","$13,973"
53,2013 Jaguar XK XKR,"27,337 mi.","$35,833"
54,2007 Jaguar XK Base,"60,768 mi.","$21,169"
55,2015 Jaguar XK XKR-S,"23,615 mi.","$68,235"
56,2013 Jaguar XK Base,"45,319 mi.","$33,997"
57,2015 Jaguar XK Base,"9,475 mi.","$73,977"
58,2007 Jaguar XK,"48,477 mi.","$18,994"
59,2013 Jaguar XK Base,"58,307 mi.","$28,996"
60,2009 Jaguar XK Base,"76,842 mi.","$17,995"
61,2011 Jaguar XK Base,"37,803 mi.","$26,749"
62,2009 Jaguar XK Base,"18,932 mi.","$24,990"
63,2015 Jaguar XK Base,"10,702 mi.","$37,399"
64,2012 Jaguar XK,"37,146 mi.","$29,980"
65,2013 Jaguar XK Base,"39,000 mi.","$49,999"
66,2007 Jaguar XK,"80,189 mi.","$13,999"
67,2015 Jaguar XK V8 Coupe RWD,"16,491 mi.","$36,699"
68,2007 Jaguar XK Base,"100,180 mi.","$15,970"
69,2013 Jaguar XK Base,"7,998 mi.","$42,939"
70,2013 Jaguar XK Base,"19,307 mi.","$54,990"
71,2010 Jaguar XK R,"28,212 mi.","$32,999"
72,2014 Jaguar XK Touring,"7,054 mi.","$55,498"
73,2015 Jaguar XK Base,"41,613 mi.","$36,941"
74,2008 Jaguar XK,"80,665 mi.","$14,990"
75,2015 Jaguar XK Base,"23,880 mi.","$35,600"
