,Name,Mileage,Price
0,2008 Jaguar XKR Base,"18,274 mi.","$39,980"
1,2005 Jaguar XKR,"44,687 mi.","$16,981"
2,2007 Jaguar XKR,"44,530 mi.","$23,900"
3,2003 Jaguar XKR Base,"147,878 mi.","$11,980"
4,2005 Jaguar XKR,"94,257 mi.","$14,990"
5,2007 Jaguar XKR Base,"60,240 mi.","$21,990"
6,2008 Jaguar XKR Base,"59,335 mi.","$23,900"
7,2008 Jaguar XKR,"46,571 mi.","$27,900"
8,2008 Jaguar XKR,"49,464 mi.","$23,998"
9,2002 Jaguar XKR,"48,900 mi.","$16,500"
10,2001 Jaguar XKR,"43,835 mi.","$16,500"
11,2008 Jaguar XKR Base,"65,695 mi.","$22,895"
12,2007 Jaguar XKR,"25,360 mi.","$32,900"
13,2003 Jaguar XKR,"46,273 mi.","$22,900"
14,2000 Jaguar XKR Base,"77,624 mi.","$19,900"
15,2000 Jaguar XKR,"98,250 mi.","$7,600"
16,2002 Jaguar XKR Base,"73,616 mi.","$11,995"
17,2002 Jaguar XKR,"85,731 mi.","$13,947"
18,2001 Jaguar XKR Base,"81,485 mi.","$16,900"
19,2006 Jaguar XKR,"103,404 mi.","$15,000"
20,2007 Jaguar XKR Base,"61,824 mi.","$21,995"
21,2007 Jaguar XKR,"75,258 mi.","$10,995"
22,2008 Jaguar XKR Base,"60,465 mi.","$23,200"
23,2004 Jaguar XKR Base,"130,729 mi.","$8,500"
24,2008 Jaguar XKR,"85,684 mi.","$16,588"
25,2007 Jaguar XKR Base,"24,255 mi.","$26,498"
26,2007 Jaguar XKR,"102,068 mi.","$14,695"
27,2008 Jaguar XKR Base,"94,731 mi.","$16,995"
28,2007 Jaguar XKR Base,"76,368 mi.","$15,995"
29,2007 Jaguar XKR,"56,447 mi.","$22,998"
30,2001 Jaguar XKR Base,"58,000 mi.","$7,900"
31,2009 Jaguar XKR,"44,200 mi.","$21,750"
32,2007 Jaguar XKR Base,"63,020 mi.","$17,950"
33,2009 Jaguar XKR,"82,444 mi.","$22,900"
34,2008 Jaguar XKR Portfolio,"9,000 mi.","$32,000"
35,2008 Jaguar XKR,"65,000 mi.","$24,500"
36,2007 Jaguar XKR,"14,575 mi.","$35,000"
37,2002 Jaguar XKR,"55,400 mi.","$14,000"
38,2002 Jaguar XKR,"84,593 mi.","$12,869"
39,2002 Jaguar XKR,"83,000 mi.","$9,500"
40,2001 Jaguar XKR,"166,000 mi.","$3,700"
41,2001 Jaguar XKR,"206,000 mi.","$7,250"
42,2000 Jaguar XKR,"97,460 mi.","$11,500"
43,2009 Jaguar XKR,"93,476 mi.","$14,500"
44,2001 Jaguar XKR,"23,523 mi.","$15,991"
45,2005 Jaguar XKR,"154,000 mi.","$9,500"
46,2001 Jaguar XKR,"106,000 mi.","$10,900"
47,2002 Jaguar XKR,"65,000 mi.","$17,900"
48,2001 Jaguar XKR,"84,500 mi.","$13,750"
49,2008 Jaguar XKR Base,"30,819 mi.",Not Priced
50,2008 Jaguar XKR Base,"87,177 mi.","$14,433"
51,2008 Jaguar XKR,"43,836 mi.","$24,975"
52,2009 Jaguar XKR Base,"52,576 mi.","$29,300"
