,Name,Mileage,Price
0,1976 Jeep CJ-7,"3,257 mi.","$17,985"
1,1978 Jeep CJ-7,"38,169 mi.","$19,900"
2,1979 Jeep CJ-7,"119,136 mi.","$12,500"
3,1978 Jeep CJ-7,"111,111 mi.","$2,995"
4,1980 Jeep CJ-7,"10,495 mi.","$16,997"
5,1978 Jeep CJ-7,"79,212 mi.","$18,985"
6,1982 Jeep CJ-7,"155,942 mi.","$13,900"
7,1985 Jeep CJ-7 Base,"88,188 mi.","$6,995"
8,1979 Jeep CJ-7,"39,039 mi.","$9,990"
9,1978 Jeep CJ-7,"7,074 mi.","$12,250"
10,1984 Jeep CJ-7,1 mi.,"$17,950"
11,1977 Jeep CJ-7,571 mi.,"$12,975"
12,1986 Jeep CJ-7,"7,000 mi.","$14,000"
13,1986 Jeep CJ-7,"79,651 mi.","$18,500"
14,1984 Jeep CJ-7,"100,000 mi.","$11,000"
15,1985 Jeep CJ-7,"21,151 mi.","$35,500"
16,1985 Jeep CJ-7,"168,360 mi.","$9,988"
17,1984 Jeep CJ-7 SUV,"3,009 mi.",Not Priced
18,1982 Jeep CJ-7,0 mi.,"$12,995"
19,1983 Jeep CJ-7,"100,000 mi.","$6,988"
