,Name,Mileage,Price
0,2019 Jeep Cherokee Latitude Plus,631 mi.,"$23,659"
1,2018 Jeep Cherokee Latitude Plus,"29,980 mi.","$19,676"
2,2018 Jeep Cherokee Latitude Plus,"7,775 mi.","$20,923"
3,2017 Jeep Cherokee Altitude,"19,940 mi.","$18,996"
4,2018 Jeep Cherokee Latitude,"10,307 mi.","$20,995"
5,2018 Jeep Cherokee Latitude Plus,"7,459 mi.","$17,250"
6,2015 Jeep Cherokee Latitude,"55,628 mi.","$16,573"
7,2014 Jeep Cherokee Trailhawk,"56,407 mi.","$20,995"
8,2016 Jeep Cherokee Latitude,"34,957 mi.","$19,900"
9,2018 Jeep Cherokee Latitude,"4,498 mi.","$20,497"
10,2014 Jeep Cherokee Limited,"56,243 mi.","$17,999"
11,2019 Jeep Cherokee Latitude Plus,"3,407 mi.","$26,510"
12,2019 Jeep Cherokee Latitude Plus,"11,174 mi.","$24,995"
13,2015 Jeep Cherokee Latitude,"50,316 mi.","$16,995"
14,2019 Jeep Cherokee Latitude,"4,124 mi.","$19,495"
15,2016 Jeep Cherokee Sport,"35,611 mi.","$15,495"
16,2014 Jeep Cherokee Altitude,"59,678 mi.","$14,799"
17,2015 Jeep Cherokee Latitude,"63,613 mi.","$15,900"
18,2017 Jeep Cherokee Trailhawk,"8,804 mi.","$29,995"
19,2016 Jeep Cherokee Altitude,"14,975 mi.","$21,864"
20,2015 Jeep Cherokee Sport,"74,454 mi.","$11,482"
21,2014 Jeep Cherokee Limited,"60,261 mi.","$15,465"
22,2016 Jeep Cherokee Latitude,"21,955 mi.","$19,977"
23,2018 Jeep Cherokee Latitude Plus,"3,699 mi.","$20,500"
24,2017 Jeep Cherokee Latitude,"25,103 mi.","$20,632"
25,2016 Jeep Cherokee Latitude,"43,377 mi.","$21,995"
26,2017 Jeep Cherokee Trailhawk,"31,882 mi.","$20,488"
27,2017 Jeep Cherokee Latitude,"8,003 mi.","$21,469"
28,2016 Jeep Cherokee Trailhawk,"32,831 mi.","$27,900"
29,2014 Jeep Cherokee Latitude,"81,427 mi.","$13,995"
30,2015 Jeep Cherokee Limited,"45,081 mi.","$20,137"
31,2014 Jeep Cherokee Latitude,"188,576 mi.","$9,725"
32,2014 Jeep Cherokee Trailhawk,"33,491 mi.","$23,990"
33,2017 Jeep Cherokee Sport,"14,649 mi.","$17,413"
34,2016 Jeep Cherokee Limited,"36,502 mi.","$21,250"
35,2015 Jeep Cherokee Latitude,"41,645 mi.","$19,963"
36,2016 Jeep Cherokee Sport,"52,449 mi.","$15,433"
37,2018 Jeep Cherokee Latitude,"12,339 mi.","$18,930"
38,2015 Jeep Cherokee Latitude,"33,702 mi.","$16,500"
39,2015 Jeep Cherokee Latitude,"18,511 mi.","$19,297"
40,2016 Jeep Cherokee Latitude,"23,321 mi.","$18,462"
41,2019 Jeep Cherokee Limited,"16,311 mi.","$25,962"
42,2018 Jeep Cherokee Limited,"6,861 mi.","$22,600"
43,2019 Jeep Cherokee Limited,"13,333 mi.","$27,330"
44,2018 Jeep Cherokee Latitude,"14,634 mi.","$22,609"
