,Name,Mileage,Price
0,2017 Jeep Grand Cherokee Laredo,"43,602 mi.","$23,992"
1,2017 Jeep Grand Cherokee Limited,"33,261 mi.","$25,771"
2,2016 Jeep Grand Cherokee Limited 75th Anniversary,"32,045 mi.","$26,981"
3,2018 Jeep Grand Cherokee Limited,"20,791 mi.","$35,999"
4,2016 Jeep Grand Cherokee Limited,"64,102 mi.","$23,880"
5,2018 Jeep Grand Cherokee Limited,"28,505 mi.","$33,488"
6,2013 Jeep Grand Cherokee Overland,"67,326 mi.","$20,998"
7,2016 Jeep Grand Cherokee Overland,"49,471 mi.","$31,625"
8,2016 Jeep Grand Cherokee Overland,"63,862 mi.","$30,488"
9,2017 Jeep Grand Cherokee Limited,"5,248 mi.","$32,354"
10,2014 Jeep Grand Cherokee Overland,"60,076 mi.","$25,999"
11,2010 Jeep Grand Cherokee SRT8,"77,614 mi.","$26,999"
12,2013 Jeep Grand Cherokee Limited,"125,798 mi.","$16,988"
13,2014 Jeep Grand Cherokee Laredo,"36,314 mi.","$19,995"
14,2016 Jeep Grand Cherokee SRT,"24,582 mi.","$53,991"
15,2014 Jeep Grand Cherokee Limited,"70,401 mi.","$20,989"
16,2017 Jeep Grand Cherokee Overland,"22,505 mi.","$36,999"
17,2014 Jeep Grand Cherokee SRT,"48,554 mi.","$37,888"
18,2015 Jeep Grand Cherokee Limited,"64,105 mi.","$22,400"
19,2014 Jeep Grand Cherokee Limited,"45,880 mi.","$23,988"
20,2015 Jeep Grand Cherokee Summit,"83,803 mi.","$26,914"
21,2018 Jeep Grand Cherokee Limited,"20,492 mi.","$33,500"
22,2014 Jeep Grand Cherokee Overland,"65,527 mi.","$24,290"
23,2015 Jeep Grand Cherokee Laredo,"85,850 mi.","$19,993"
24,2004 Jeep Grand Cherokee Laredo,"109,465 mi.","$5,997"
25,2017 Jeep Grand Cherokee Laredo,"69,921 mi.","$19,988"
26,2015 Jeep Grand Cherokee Overland,"102,744 mi.","$22,498"
27,2015 Jeep Grand Cherokee Laredo,"30,291 mi.","$23,299"
28,2016 Jeep Grand Cherokee Laredo,"48,370 mi.","$22,994"
29,2014 Jeep Grand Cherokee Summit,"24,370 mi.","$29,900"
30,2013 Jeep Grand Cherokee Overland,"31,741 mi.","$24,497"
31,2014 Jeep Grand Cherokee Limited,"92,615 mi.","$19,977"
32,2012 Jeep Grand Cherokee Laredo,"94,408 mi.","$13,487"
33,2017 Jeep Grand Cherokee Limited,"47,101 mi.","$28,499"
34,2013 Jeep Grand Cherokee Laredo,"71,196 mi.","$17,988"
35,2015 Jeep Grand Cherokee Laredo,"17,226 mi.","$29,427"
36,2018 Jeep Grand Cherokee Laredo,"6,464 mi.","$34,900"
37,2018 Jeep Grand Cherokee Altitude,"7,780 mi.","$33,693"
38,2018 Jeep Grand Cherokee Limited,"22,524 mi.","$31,990"
39,2015 Jeep Grand Cherokee High Altitude,"37,830 mi.","$31,499"
40,2013 Jeep Grand Cherokee Laredo,"105,534 mi.","$11,981"
41,2017 Jeep Grand Cherokee Altitude,"26,740 mi.","$30,918"
42,2018 Jeep Grand Cherokee Sterling Edition,"22,289 mi.","$33,989"
43,2017 Jeep Grand Cherokee Limited,"26,932 mi.","$28,490"
44,2017 Jeep Grand Cherokee SRT,"27,686 mi.","$53,990"
45,2018 Jeep Grand Cherokee Sterling Edition,"6,274 mi.","$34,490"
46,2012 Jeep Grand Cherokee Overland,"118,389 mi.","$15,900"
47,2014 Jeep Grand Cherokee Laredo,"87,531 mi.","$17,691"
48,2015 Jeep Grand Cherokee Summit,"43,929 mi.","$29,518"
49,2009 Jeep Grand Cherokee SRT-8,"50,750 mi.","$29,988"
50,2012 Jeep Grand Cherokee Laredo,"85,084 mi.","$14,648"
51,2014 Jeep Grand Cherokee Altitude,"114,340 mi.","$15,912"
52,2017 Jeep Grand Cherokee Limited,"16,850 mi.","$31,015"
53,2014 Jeep Grand Cherokee Summit,"56,338 mi.","$26,800"
54,2017 Jeep Grand Cherokee Limited,"32,667 mi.","$30,000"
55,2017 Jeep Grand Cherokee Limited,"44,356 mi.","$28,500"
