,Name,Mileage,Price
0,1985 Jeep Grand Wagoneer 4WD,"104,046 mi.","$22,900"
1,1990 Jeep Grand Wagoneer 4dr Wagon 4WD,"139,540 mi.","$30,990"
2,1987 Jeep Grand Wagoneer 4WD,"162,774 mi.","$24,900"
3,1989 Jeep Grand Wagoneer 4WD,"2,000 mi.","$29,900"
4,1989 Jeep Grand Wagoneer 4WD,"84,114 mi.","$35,900"
5,1989 Jeep Grand Wagoneer 4dr Wagon 4WD,"158,277 mi.","$15,900"
6,1988 Jeep Grand Wagoneer 4WD,"118,186 mi.","$32,900"
7,1987 Jeep Grand Wagoneer 4dr Wagon,"141,300 mi.","$17,900"
8,1989 Jeep Grand Wagoneer 4WD,"99,002 mi.","$28,800"
9,1988 Jeep Grand Wagoneer 4WD,"76,724 mi.","$26,980"
10,1988 Jeep Grand Wagoneer 4WD,"50,904 mi.","$32,000"
11,1989 Jeep Grand Wagoneer 4WD,"87,453 mi.","$34,900"
12,1990 Jeep Grand Wagoneer 4WD,"97,674 mi.","$35,900"
13,1989 Jeep Grand Wagoneer 4WD,"122,500 mi.","$34,900"
14,1989 Jeep Grand Wagoneer 4dr Wagon 4WD,"166,847 mi.","$25,000"
15,1990 Jeep Grand Wagoneer 4WD,"313,538 mi.","$5,995"
16,1987 Jeep Grand Wagoneer 4WD,"128,000 mi.","$18,900"
17,1989 Jeep Grand Wagoneer 4WD,"159,000 mi.","$11,000"
18,1991 Jeep Grand Wagoneer 4WD,"112,596 mi.",Not Priced
19,1990 Jeep Grand Wagoneer 4dr Wagon 4WD,"179,894 mi.",Not Priced
20,1988 Jeep Grand Wagoneer,,"$24,750"
21,1989 Jeep Grand Wagoneer 4dr Wagon 4WD,1 mi.,Not Priced
