,Name,Mileage,Price
0,2017 Jeep Wrangler Unlimited Sport,"34,922 mi.","$29,500"
1,2015 Jeep Wrangler Unlimited Sahara,"20,132 mi.","$29,719"
2,2016 Jeep Wrangler Unlimited Sahara,"45,180 mi.","$32,100"
3,2012 Jeep Wrangler Unlimited Sport,"52,694 mi.","$23,776"
4,2010 Jeep Wrangler Unlimited Rubicon,"123,822 mi.","$20,991"
5,2016 Jeep Wrangler Unlimited Rubicon,"28,899 mi.","$36,195"
6,2010 Jeep Wrangler Unlimited Sport,"86,550 mi.","$19,857"
7,2013 Jeep Wrangler Unlimited Freedom Edition,"61,971 mi.","$28,995"
8,2013 Jeep Wrangler Unlimited Rubicon,"91,032 mi.","$27,039"
9,2012 Jeep Wrangler Unlimited Rubicon,"95,647 mi.","$27,595"
10,2014 Jeep Wrangler Unlimited Sport,"34,860 mi.","$28,115"
11,2011 Jeep Wrangler Unlimited Sahara,"70,757 mi.","$22,595"
12,2012 Jeep Wrangler Unlimited Sahara,"35,647 mi.","$27,862"
13,2014 Jeep Wrangler Unlimited Sahara,"40,444 mi.","$28,944"
14,2009 Jeep Wrangler Unlimited Sahara,"86,251 mi.","$17,743"
15,2015 Jeep Wrangler Unlimited Sahara,"32,997 mi.","$28,888"
16,2018 Jeep Wrangler Unlimited Rubicon,"8,509 mi.","$45,995"
17,2012 Jeep Wrangler Unlimited Rubicon,"66,005 mi.","$25,885"
18,2017 Jeep Wrangler Unlimited Big Bear,"25,539 mi.","$29,951"
19,2016 Jeep Wrangler Unlimited Sahara,"24,616 mi.","$29,922"
20,2017 Jeep Wrangler Unlimited Rubicon,"36,019 mi.","$39,890"
21,2014 Jeep Wrangler Unlimited Sport,"54,914 mi.","$26,788"
22,2017 Jeep Wrangler Unlimited Sahara,"19,680 mi.","$34,250"
23,2015 Jeep Wrangler Unlimited Sport,"52,355 mi.","$27,998"
24,2018 Jeep Wrangler Unlimited Rubicon,"14,345 mi.","$43,991"
25,2014 Jeep Wrangler Unlimited Sport RHD,"91,500 mi.","$30,995"
26,2014 Jeep Wrangler Unlimited Sport RHD,"112,100 mi.","$30,995"
27,2015 Jeep Wrangler Unlimited Altitude,"39,777 mi.","$32,969"
28,2016 Jeep Wrangler Unlimited Sport,"33,706 mi.","$29,490"
29,2016 Jeep Wrangler Unlimited Rubicon,"49,749 mi.","$36,644"
30,2012 Jeep Wrangler Unlimited Sport,"75,018 mi.","$21,250"
31,2016 Jeep Wrangler Unlimited Sahara,"39,749 mi.","$31,595"
32,2015 Jeep Wrangler Unlimited Sahara,"41,608 mi.","$29,985"
33,2013 Jeep Wrangler Unlimited Sahara,"64,690 mi.","$26,997"
34,2015 Jeep Wrangler Unlimited Rubicon,"50,845 mi.","$29,377"
35,2018 Jeep Wrangler Unlimited Rubicon,"8,439 mi.","$43,900"
36,2016 Jeep Wrangler Unlimited Sport,"20,660 mi.","$30,993"
37,2013 Jeep Wrangler Unlimited Sport,"47,486 mi.","$24,017"
38,2017 Jeep Wrangler Unlimited Sport,"49,251 mi.","$24,500"
39,2016 Jeep Wrangler Unlimited Sport,"41,809 mi.","$23,977"
40,2013 Jeep Wrangler Unlimited Sport,"73,662 mi.","$24,988"
41,2014 Jeep Wrangler Unlimited Sahara,"18,033 mi.","$30,571"
42,2017 Jeep Wrangler Unlimited Sport,"4,862 mi.","$29,990"
43,2010 Jeep Wrangler Unlimited Sahara,"144,001 mi.","$16,995"
44,2015 Jeep Wrangler Unlimited Sport,"38,143 mi.","$29,900"
45,2012 Jeep Wrangler Unlimited Sahara,"85,982 mi.","$22,995"
46,2017 Jeep Wrangler Unlimited Winter,"27,691 mi.","$33,490"
47,2010 Jeep Wrangler Unlimited Rubicon,"107,294 mi.","$20,998"
48,2014 Jeep Wrangler Unlimited Sport,"66,292 mi.","$24,997"
49,2013 Jeep Wrangler Unlimited Sport,"53,647 mi.","$23,997"
50,2017 Jeep Wrangler Unlimited Rubicon,"18,426 mi.","$38,900"
51,2013 Jeep Wrangler Unlimited Sport,"47,711 mi.","$24,052"
52,2017 Jeep Wrangler Unlimited Sport,"29,187 mi.","$30,400"
53,2011 Jeep Wrangler Unlimited Sport,"83,109 mi.","$19,544"
54,2014 Jeep Wrangler Unlimited Sahara,"23,405 mi.","$29,992"
55,2017 Jeep Wrangler Unlimited Sport,"21,774 mi.","$28,960"
56,2013 Jeep Wrangler Unlimited Sport,"58,012 mi.","$23,995"
57,2016 Jeep Wrangler Unlimited Sport,"14,019 mi.","$29,990"
58,2012 Jeep Wrangler Unlimited Sport,"92,185 mi.","$18,990"
59,2011 Jeep Wrangler Unlimited Sport,"80,045 mi.","$20,880"
60,2014 Jeep Wrangler Unlimited Rubicon,"69,815 mi.","$28,332"
61,2014 Jeep Wrangler Unlimited Sport,"49,437 mi.","$23,749"
62,2018 Jeep Wrangler Unlimited Sport,317 mi.,"$34,934"
63,2010 Jeep Wrangler Unlimited Rubicon,"72,291 mi.","$21,654"
64,2016 Jeep Wrangler Unlimited Sport,"31,563 mi.","$26,595"
65,2015 Jeep Wrangler Unlimited Sport,"43,194 mi.","$24,800"
66,2017 Jeep Wrangler Unlimited Sport,"15,318 mi.","$27,592"
67,2015 Jeep Wrangler Unlimited Sport,"28,721 mi.","$30,855"
68,2012 Jeep Wrangler Unlimited Sahara,"75,820 mi.","$22,990"
69,2018 Jeep Wrangler Unlimited Sport,"16,559 mi.","$29,995"
70,2017 Jeep Wrangler Unlimited Sahara,"25,107 mi.","$33,995"
71,2014 Jeep Wrangler Unlimited Sport,"49,762 mi.","$26,598"
72,2018 Jeep Wrangler Unlimited Sahara,"3,801 mi.","$42,911"
73,2014 Jeep Wrangler Unlimited Sport,"59,986 mi.","$25,979"
74,2017 Jeep Wrangler Unlimited Rubicon,"43,823 mi.","$35,917"
75,2018 Jeep Wrangler Unlimited Rubicon,"2,024 mi.","$47,551"
76,2016 Jeep Wrangler Unlimited Sport,"15,901 mi.","$29,997"
