,Name,Mileage,Price
0,2014 Kia Cadenza Premium,"75,621 mi.","$12,900"
1,2014 Kia Cadenza Premium,"39,680 mi.","$14,997"
2,2017 Kia Cadenza Premium,"6,481 mi.","$24,988"
3,2014 Kia Cadenza Premium,"33,697 mi.","$16,600"
4,2014 Kia Cadenza Premium,"67,211 mi.","$16,305"
5,2017 Kia Cadenza,"11,692 mi.","$23,745"
6,2014 Kia Cadenza Premium,"33,697 mi.","$16,600"
7,2017 Kia Cadenza Premium,"12,928 mi.","$21,300"
8,2015 Kia Cadenza Premium,"37,371 mi.","$17,481"
9,2014 Kia Cadenza Premium,"54,462 mi.","$14,912"
10,2015 Kia Cadenza Premium,"43,940 mi.","$17,000"
11,2016 Kia Cadenza,"16,527 mi.","$19,300"
12,2014 Kia Cadenza SX Limited,"75,933 mi.","$14,500"
13,2018 Kia Cadenza Premium,"6,060 mi.","$25,986"
14,2014 Kia Cadenza SX Limited,"51,154 mi.","$15,459"
15,2016 Kia Cadenza,"10,843 mi.","$19,590"
16,2016 Kia Cadenza,"21,452 mi.","$17,299"
17,2014 Kia Cadenza Premium,"54,752 mi.","$15,991"
18,2017 Kia Cadenza Technology,"4,016 mi.","$25,900"
19,2017 Kia Cadenza Premium,"13,260 mi.","$23,000"
20,2016 Kia Cadenza,"21,452 mi.","$17,299"
21,2014 Kia Cadenza Premium,"36,819 mi.","$17,324"
22,2017 Kia Cadenza Premium,"4,286 mi.","$22,800"
23,2016 Kia Cadenza Premium,"58,062 mi.","$16,700"
24,2017 Kia Cadenza Premium,"12,241 mi.","$24,791"
25,2014 Kia Cadenza Premium,"31,726 mi.","$15,297"
26,2016 Kia Cadenza Premium,"21,028 mi.","$21,882"
27,2016 Kia Cadenza Premium,"37,999 mi.","$18,988"
28,2014 Kia Cadenza Premium,"39,066 mi.","$14,122"
29,2015 Kia Cadenza Premium,"43,219 mi.","$16,693"
30,2018 Kia Cadenza SX Limited,"14,419 mi.","$28,282"
31,2015 Kia Cadenza Premium,"25,590 mi.","$17,500"
32,2016 Kia Cadenza,"16,527 mi.","$19,300"
33,2015 Kia Cadenza Premium,"50,366 mi.","$16,400"
34,2016 Kia Cadenza,"21,452 mi.","$17,299"
35,2015 Kia Cadenza Premium,66 mi.,"$18,722"
36,2016 Kia Cadenza,"21,452 mi.","$17,299"
37,2018 Kia Cadenza Premium,"6,933 mi.","$25,000"
38,2017 Kia Cadenza Premium,"22,408 mi.","$21,600"
39,2017 Kia Cadenza Premium,"22,408 mi.","$21,600"
40,2017 Kia Cadenza Premium,"2,425 mi.","$22,996"
41,2015 Kia Cadenza Premium,"30,467 mi.","$17,000"
42,2015 Kia Cadenza Premium,"50,366 mi.","$16,400"
43,2016 Kia Cadenza,"16,527 mi.","$19,300"
44,2016 Kia Cadenza,"19,416 mi.","$19,100"
45,2017 Kia Cadenza Premium,"9,093 mi.","$24,800"
46,2015 Kia Cadenza Premium,"23,772 mi.","$16,477"
47,2014 Kia Cadenza Premium,"59,125 mi.","$13,988"
48,2015 Kia Cadenza Premium,"61,089 mi.","$15,300"
