,Name,Mileage,Price
0,2017 Kia K900 Luxury 3.8L,"30,160 mi.","$29,800"
1,2015 Kia K900 Premium,"50,215 mi.","$19,695"
2,2016 Kia K900 Luxury 3.8L,"84,920 mi.","$22,491"
3,2015 Kia K900 Premium,"32,401 mi.","$19,999"
4,2015 Kia K900 Luxury,"35,656 mi.","$24,900"
5,2017 Kia K900 Luxury 3.8L,"30,160 mi.","$29,800"
6,2017 Kia K900 Luxury 3.8L,"30,160 mi.","$29,800"
7,2015 Kia K900 Premium,"36,449 mi.","$20,699"
8,2015 Kia K900 Premium,"31,290 mi.","$22,991"
9,2015 Kia K900 Luxury,"42,433 mi.","$24,691"
10,2015 Kia K900 Premium,"26,759 mi.","$21,950"
11,2015 Kia K900 Premium,"38,718 mi.","$21,688"
12,2015 Kia K900 Premium,"10,814 mi.","$24,200"
13,2015 Kia K900 Luxury,"56,556 mi.","$16,999"
14,2015 Kia K900 Luxury,"35,656 mi.","$24,900"
15,2015 Kia K900 Premium,"17,821 mi.","$22,900"
16,2015 Kia K900 Premium,"18,391 mi.","$22,500"
17,2015 Kia K900 Premium,"20,331 mi.","$23,200"
18,2016 Kia K900 Luxury,"35,548 mi.","$21,994"
19,2015 Kia K900 Luxury,"51,589 mi.","$20,500"
20,2015 Kia K900 Premium,"44,365 mi.","$18,699"
21,2015 Kia K900 Luxury,"56,556 mi.","$16,999"
22,2015 Kia K900 Luxury,"48,322 mi.","$21,688"
23,2015 Kia K900 Luxury,"35,656 mi.","$24,900"
24,2017 Kia K900 Luxury 3.8L,"30,160 mi.","$29,800"
25,2017 Kia K900 Luxury 3.8L,"30,160 mi.","$29,800"
26,2015 Kia K900,"38,101 mi.","$23,999"
27,2015 Kia K900 Luxury,"43,973 mi.","$22,795"
28,2015 Kia K900 Luxury,"22,945 mi.","$23,887"
29,2015 Kia K900 Luxury,"6,690 mi.","$25,581"
30,2015 Kia K900 Premium,"44,365 mi.","$18,699"
31,2015 Kia K900 Luxury,"56,556 mi.","$16,999"
32,2015 Kia K900 Premium,"35,884 mi.","$21,303"
33,2015 Kia K900 Premium,"33,040 mi.","$21,995"
34,2015 Kia K900 Premium,"44,365 mi.","$18,699"
35,2015 Kia K900 Premium,"26,696 mi.","$22,210"
36,2015 Kia K900 Premium,"36,157 mi.","$21,810"
37,2015 Kia K900 Premium,"20,129 mi.","$23,667"
38,2015 Kia K900 Premium,"44,666 mi.","$21,700"
39,2015 Kia K900 Premium,"35,021 mi.","$21,717"
40,2015 Kia K900 Premium,"25,289 mi.","$22,122"
41,2017 Kia K900 Luxury 3.8L,"30,160 mi.","$29,800"
42,2015 Kia K900 Luxury,"35,656 mi.","$24,900"
43,2015 Kia K900 Premium,"35,714 mi.","$21,500"
44,2015 Kia K900 Premium,"35,678 mi.","$21,942"
45,2015 Kia K900 Premium,"44,365 mi.","$18,699"
46,2015 Kia K900 Premium,"20,779 mi.","$24,072"
47,2015 Kia K900 Premium,"29,949 mi.","$19,999"
48,2015 Kia K900 Luxury,"38,812 mi.","$24,695"
49,2015 Kia K900 Premium,"43,729 mi.","$21,400"
50,2017 Kia K900 Luxury 3.8L,"30,160 mi.","$29,800"
51,2017 Kia K900 Luxury 3.8L,"30,160 mi.","$29,800"
52,2015 Kia K900 Luxury,"37,939 mi.","$23,609"
53,2015 Kia K900 Premium,"26,048 mi.","$22,995"
54,2017 Kia K900 Luxury,"6,117 mi.","$34,197"
55,2017 Kia K900 Luxury 3.8L,"30,160 mi.","$29,800"
56,2017 Kia K900 5.0L,"6,472 mi.","$33,580"
57,2015 Kia K900 Luxury,"35,656 mi.","$24,900"
58,2015 Kia K900 Premium,"37,375 mi.","$22,000"
59,2015 Kia K900 Luxury,"39,015 mi.","$23,288"
60,2017 Kia K900 Luxury 3.8L,"30,160 mi.","$29,800"
61,2015 Kia K900 Premium,"44,986 mi.","$22,851"
62,2015 Kia K900 Premium,"18,176 mi.","$21,199"
63,2015 Kia K900 Premium,"26,835 mi.","$21,199"
64,2015 Kia K900 Premium,"31,819 mi.","$21,499"
65,2015 Kia K900 Premium,"43,729 mi.","$21,400"
66,2015 Kia K900 Luxury,"51,231 mi.","$20,453"
67,2015 Kia K900 Premium,"18,414 mi.","$22,987"
68,2015 Kia K900 Premium,"30,423 mi.","$26,755"
69,2015 Kia K900 Premium,"52,459 mi.","$17,998"
70,2015 Kia K900 Premium,"44,365 mi.","$18,699"
71,2015 Kia K900 Premium,"37,159 mi.","$19,999"
72,2015 Kia K900 Premium,"29,949 mi.","$19,999"
73,2015 Kia K900 Luxury,"19,590 mi.","$25,831"
