,Name,Mileage,Price
0,2017 Kia Niro LX,"34,205 mi.","$20,119"
1,2018 Kia Niro LX,"15,388 mi.","$19,450"
2,2018 Kia Niro LX,"10,442 mi.","$19,773"
3,2018 Kia Niro LX,"10,386 mi.","$19,989"
4,2018 Kia Niro LX,"4,888 mi.","$20,789"
5,2017 Kia Niro LX,"29,994 mi.","$19,100"
6,2017 Kia Niro LX,"23,517 mi.","$18,998"
7,2018 Kia Niro Touring,"15,910 mi.","$28,997"
8,2018 Kia Niro LX,"24,757 mi.","$18,369"
9,2018 Kia Niro LX,"15,358 mi.","$18,309"
10,2017 Kia Niro EX,"24,658 mi.","$20,242"
11,2017 Kia Niro LX,"47,466 mi.","$16,788"
12,2018 Kia Niro LX,"9,459 mi.","$20,791"
13,2018 Kia Niro LX,"7,723 mi.","$19,800"
14,2018 Kia Niro LX,"10,957 mi.","$21,400"
15,2018 Kia Niro LX,"9,868 mi.","$22,462"
16,2018 Kia Niro LX,"11,040 mi.","$21,500"
17,2018 Kia Niro LX,"9,049 mi.","$19,857"
18,2018 Kia Niro LX,"18,861 mi.","$18,209"
19,2018 Kia Niro LX,"23,505 mi.","$18,219"
20,2017 Kia Niro LX,"29,994 mi.","$19,100"
21,2017 Kia Niro LX,"15,535 mi.","$18,000"
22,2018 Kia Niro LX,"24,503 mi.","$21,544"
23,2017 Kia Niro EX,"5,146 mi.","$24,000"
24,2017 Kia Niro EX,"13,180 mi.","$20,750"
25,2018 Kia Niro LX,"15,808 mi.","$19,000"
26,2018 Kia Niro LX,"16,871 mi.","$19,500"
27,2017 Kia Niro Touring,"22,197 mi.","$24,000"
28,2018 Kia Niro LX,"20,593 mi.","$19,299"
29,2018 Kia Niro LX,"18,626 mi.","$19,284"
30,2018 Kia Niro LX,"12,230 mi.","$19,907"
31,2018 Kia Niro FE,"11,445 mi.","$19,488"
32,2017 Kia Niro FE,"16,782 mi.","$19,488"
33,2018 Kia Niro FE,"14,120 mi.","$19,995"
34,2017 Kia Niro Touring,"14,724 mi.","$24,680"
35,2017 Kia Niro EX,"6,000 mi.","$21,800"
36,2018 Kia Niro LX,"5,623 mi.","$21,355"
37,2017 Kia Niro LX,"29,994 mi.","$19,100"
38,2018 Kia Niro LX,"13,903 mi.","$19,887"
39,2017 Kia Niro EX,"6,737 mi.","$21,999"
40,2018 Kia Niro LX,"12,609 mi.","$19,891"
41,2017 Kia Niro EX,"6,956 mi.","$21,475"
