,Name,Mileage,Price
0,2015 Kia Optima Hybrid Base,"79,855 mi.","$10,352"
1,2015 Kia Optima Hybrid Base,"40,062 mi.","$15,990"
2,2013 Kia Optima Hybrid LX,"79,435 mi.","$9,500"
3,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
4,2017 Kia Optima Hybrid Base,"30,533 mi.","$16,995"
5,2016 Kia Optima Hybrid EX,"28,661 mi.","$18,995"
6,2015 Kia Optima Hybrid Base,"14,384 mi.","$14,750"
7,2016 Kia Optima Hybrid EX,"23,138 mi.","$17,949"
8,2013 Kia Optima Hybrid LX,"61,877 mi.","$10,500"
9,2018 Kia Optima Hybrid Premium,"8,268 mi.","$22,477"
10,2017 Kia Optima Hybrid EX,"11,087 mi.","$21,977"
11,2015 Kia Optima Hybrid Base,"30,232 mi.","$14,989"
12,2016 Kia Optima Hybrid EX,"17,430 mi.","$18,889"
13,2016 Kia Optima Hybrid,"26,797 mi.","$15,991"
14,2016 Kia Optima Hybrid EX,"30,060 mi.","$17,991"
15,2016 Kia Optima Hybrid Base,"30,275 mi.","$14,999"
16,2013 Kia Optima Hybrid EX,"68,176 mi.","$14,599"
17,2017 Kia Optima Hybrid Base,"14,260 mi.","$19,885"
18,2018 Kia Optima Hybrid EX,"3,428 mi.","$25,810"
19,2015 Kia Optima Hybrid LX,"54,594 mi.","$14,599"
20,2013 Kia Optima Hybrid EX,"95,334 mi.","$10,799"
21,2015 Kia Optima Hybrid EX,"46,040 mi.","$15,986"
22,2014 Kia Optima Hybrid EX,"52,984 mi.","$13,700"
23,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
24,2018 Kia Optima Hybrid Premium,275 mi.,"$23,998"
25,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
26,2016 Kia Optima Hybrid EX,"32,369 mi.","$14,563"
27,2016 Kia Optima Hybrid EX,"77,632 mi.","$13,787"
28,2014 Kia Optima Hybrid LX,"62,104 mi.","$11,475"
29,2013 Kia Optima Hybrid LX,"101,783 mi.","$9,290"
30,2016 Kia Optima Hybrid EX,"11,818 mi.","$16,899"
31,2015 Kia Optima Hybrid Base,"40,161 mi.","$13,880"
32,2013 Kia Optima Hybrid EX,"54,391 mi.","$12,500"
33,2017 Kia Optima Hybrid Base,"13,533 mi.","$17,990"
34,2016 Kia Optima Hybrid EX,"22,470 mi.","$19,995"
35,2015 Kia Optima Hybrid Base,"4,129 mi.","$14,991"
36,2017 Kia Optima Hybrid Base,"18,018 mi.","$17,977"
37,2016 Kia Optima Hybrid Base,"36,091 mi.","$14,610"
38,2015 Kia Optima Hybrid Base,"47,015 mi.","$12,999"
39,2014 Kia Optima Hybrid LX,"103,829 mi.","$10,355"
40,2012 Kia Optima Hybrid EX,"119,165 mi.","$6,950"
41,2015 Kia Optima Hybrid,"59,353 mi.","$12,406"
42,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
43,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
44,2014 Kia Optima Hybrid LX,"153,528 mi.","$6,999"
45,2013 Kia Optima Hybrid LX,"69,217 mi.","$10,800"
46,2016 Kia Optima Hybrid EX,"16,525 mi.","$15,600"
47,2014 Kia Optima Hybrid EX,"67,669 mi.","$13,489"
48,2015 Kia Optima Hybrid EX,"54,859 mi.","$12,900"
49,2015 Kia Optima Hybrid EX,"51,227 mi.","$12,900"
50,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
51,2016 Kia Optima Hybrid Base,"48,792 mi.","$12,800"
52,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
53,2015 Kia Optima Hybrid EX,"47,666 mi.","$13,499"
54,2014 Kia Optima Hybrid EX,"86,789 mi.","$12,787"
55,2012 Kia Optima Hybrid EX,"60,746 mi.","$9,000"
56,2017 Kia Optima Hybrid Base,"19,821 mi.","$16,295"
57,2011 Kia Optima Hybrid EX,"68,016 mi.","$9,500"
58,2017 Kia Optima Hybrid EX,"10,186 mi.","$19,100"
59,2017 Kia Optima Hybrid EX,"9,342 mi.","$19,200"
60,2011 Kia Optima Hybrid EX,"59,935 mi.","$8,755"
61,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
62,2015 Kia Optima Hybrid Base,"46,879 mi.","$15,411"
63,2014 Kia Optima Hybrid EX,"39,145 mi.","$14,800"
64,2015 Kia Optima Hybrid Base,"14,463 mi.","$14,599"
65,2013 Kia Optima Hybrid EX,"74,840 mi.","$11,995"
66,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
67,2014 Kia Optima Hybrid LX,"73,565 mi.","$10,998"
68,2013 Kia Optima Hybrid LX,"88,814 mi.","$9,977"
69,2015 Kia Optima Hybrid Base,"36,247 mi.","$12,994"
70,2014 Kia Optima Hybrid EX,"94,493 mi.","$9,500"
71,2015 Kia Optima Hybrid EX,"35,220 mi.","$13,800"
72,2016 Kia Optima Hybrid Base,"7,954 mi.","$13,798"
73,2016 Kia Optima Hybrid Base,"40,056 mi.","$11,297"
74,2017 Kia Optima Hybrid Base,"10,655 mi.","$17,999"
75,2016 Kia Optima Hybrid EX,"47,433 mi.","$15,997"
76,2015 Kia Optima Hybrid EX,"30,162 mi.","$14,450"
77,2016 Kia Optima Hybrid Base,"37,401 mi.","$13,500"
78,2012 Kia Optima Hybrid EX,"68,226 mi.","$9,500"
79,2016 Kia Optima Hybrid Base,"13,909 mi.","$13,900"
80,2015 Kia Optima Hybrid HYBRID,"47,359 mi.","$12,895"
81,2015 Kia Optima Hybrid Base,"20,022 mi.","$12,691"
82,2014 Kia Optima Hybrid EX,"55,077 mi.","$9,900"
83,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
84,2013 Kia Optima Hybrid LX,"51,845 mi.","$10,195"
85,2016 Kia Optima Hybrid Base,"28,653 mi.","$12,195"
86,2015 Kia Optima Hybrid Base,"42,252 mi.","$13,195"
87,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
88,2016 Kia Optima Hybrid EX,"23,951 mi.","$20,995"
89,2016 Kia Optima Hybrid EX,"28,228 mi.","$18,499"
90,2016 Kia Optima Hybrid EX,25 mi.,"$23,688"
91,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
92,2015 Kia Optima Hybrid LX,"51,736 mi.","$12,399"
93,2013 Kia Optima Hybrid LX,"81,297 mi.","$10,590"
94,2014 Kia Optima Hybrid EX,"40,682 mi.","$12,999"
95,2015 Kia Optima Hybrid,"34,485 mi.","$12,499"
96,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
97,2016 Kia Optima Hybrid,"7,943 mi.","$14,997"
98,2018 Kia Optima Hybrid EX,"1,292 mi.","$24,807"
99,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
100,2015 Kia Optima Hybrid Base,"89,020 mi.","$11,695"
101,2017 Kia Optima Hybrid EX,"18,010 mi.","$21,995"
102,2014 Kia Optima Hybrid EX,"120,015 mi.","$8,995"
103,2017 Kia Optima Hybrid Base,"21,913 mi.","$17,582"
104,2016 Kia Optima Hybrid EX,"44,751 mi.","$16,495"
105,2018 Kia Optima Hybrid Premium,"9,934 mi.","$21,500"
106,2015 Kia Optima Hybrid EX,"34,571 mi.","$15,497"
107,2014 Kia Optima Hybrid EX,"35,643 mi.","$11,499"
108,2016 Kia Optima Hybrid EX,"33,636 mi.","$18,599"
109,2013 Kia Optima Hybrid LX,"81,529 mi.","$10,195"
110,2017 Kia Optima Hybrid EX,496 mi.,"$24,497"
111,2016 Kia Optima Hybrid Base,"80,514 mi.","$11,341"
112,2017 Kia Optima Hybrid EX,"6,881 mi.","$21,100"
113,2015 Kia Optima Hybrid LX,"27,676 mi.","$16,599"
114,2015 Kia Optima Hybrid EX,"29,319 mi.","$17,998"
115,2016 Kia Optima Hybrid Base,"44,034 mi.","$13,599"
116,2015 Kia Optima Hybrid,"97,445 mi.","$11,591"
117,2017 Kia Optima Hybrid EX,"18,143 mi.","$16,000"
118,2013 Kia Optima Hybrid,"85,364 mi.","$11,725"
119,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
120,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
121,2014 Kia Optima Hybrid LX,"46,833 mi.","$13,599"
122,2014 Kia Optima Hybrid LX,"47,528 mi.","$13,998"
123,2018 Kia Optima Hybrid Premium,"15,834 mi.","$19,910"
124,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
125,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
126,2014 Kia Optima Hybrid EX,"15,698 mi.","$18,468"
127,2017 Kia Optima Hybrid Base,"4,409 mi.","$19,988"
128,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
129,2016 Kia Optima Hybrid EX,"22,592 mi.","$18,961"
130,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
131,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
132,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
133,2012 Kia Optima Hybrid EX,"86,606 mi.","$8,995"
134,2017 Kia Optima Hybrid Base,"29,516 mi.","$15,998"
135,2015 Kia Optima Hybrid,"33,622 mi.","$15,500"
136,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
137,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
138,2012 Kia Optima Hybrid EX,"51,056 mi.","$11,195"
139,2014 Kia Optima Hybrid LX,"37,924 mi.","$13,699"
140,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
141,2015 Kia Optima Hybrid Base,"71,708 mi.","$11,944"
142,2014 Kia Optima Hybrid EX,"77,154 mi.","$13,211"
143,2016 Kia Optima Hybrid,"64,287 mi.","$11,682"
144,2013 Kia Optima Hybrid LX,"62,286 mi.","$10,495"
145,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
146,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
147,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
148,2017 Kia Optima Hybrid Base,"21,371 mi.","$18,000"
149,2016 Kia Optima Hybrid EX,"12,754 mi.","$16,700"
150,2016 Kia Optima Hybrid,"19,997 mi.","$16,599"
151,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
152,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
153,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
154,2011 Kia Optima Hybrid EX,"91,587 mi.","$7,900"
155,2016 Kia Optima Hybrid Base,"39,043 mi.","$12,995"
156,2015 Kia Optima Hybrid EX,"67,349 mi.","$13,995"
157,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
158,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
159,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
160,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
161,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
162,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
163,2017 Kia Optima Hybrid EX,"11,921 mi.","$21,000"
164,2015 Kia Optima Hybrid HYBRID,"68,234 mi.","$12,395"
165,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
166,2013 Kia Optima Hybrid EX,"79,804 mi.","$9,991"
167,2015 Kia Optima Hybrid LX,"17,330 mi.","$16,998"
168,2014 Kia Optima Hybrid EX,"22,749 mi.","$15,998"
169,2017 Kia Optima Hybrid Base,"21,887 mi.","$17,998"
170,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
171,2016 Kia Optima Hybrid,"5,327 mi.","$17,000"
172,2016 Kia Optima Hybrid,"34,502 mi.","$14,800"
173,2015 Kia Optima Hybrid HYBRID,"53,654 mi.","$13,295"
174,2015 Kia Optima Hybrid,"34,913 mi.","$14,200"
175,2016 Kia Optima Hybrid,"40,019 mi.","$15,890"
176,2015 Kia Optima Hybrid Base,"40,674 mi.","$13,012"
177,2014 Kia Optima Hybrid LX,"37,819 mi.","$13,998"
178,2016 Kia Optima Hybrid,"6,226 mi.","$16,998"
