,Name,Mileage,Price
0,2007 Kia Rondo LX,"113,949 mi.","$5,000"
1,2009 Kia Rondo LX,"83,582 mi.","$5,500"
2,2007 Kia Rondo EX,"56,484 mi.","$6,000"
3,2007 Kia Rondo EX,"84,536 mi.","$6,200"
4,2007 Kia Rondo LX,"94,389 mi.","$4,995"
5,2008 Kia Rondo LX,"127,426 mi.","$4,499"
6,2009 Kia Rondo LX,"158,056 mi.","$3,191"
7,2007 Kia Rondo LX,"119,394 mi.","$3,895"
8,2008 Kia Rondo LX,"79,195 mi.","$6,996"
9,2009 Kia Rondo LX,"136,289 mi.","$5,000"
10,2009 Kia Rondo LX,"112,400 mi.","$5,107"
11,2009 Kia Rondo LX,"91,462 mi.","$5,999"
12,2009 Kia Rondo LX,"135,295 mi.","$4,499"
13,2007 Kia Rondo EX,"140,804 mi.","$3,599"
14,2008 Kia Rondo LX,"134,105 mi.","$6,680"
15,2009 Kia Rondo LX,"85,559 mi.","$6,390"
16,2008 Kia Rondo EX,"117,594 mi.","$7,599"
17,2009 Kia Rondo LX,"91,133 mi.","$8,598"
18,2009 Kia Rondo LX,"107,927 mi.","$2,899"
19,2008 Kia Rondo LX,"85,509 mi.","$4,999"
20,2008 Kia Rondo LX,"67,881 mi.","$4,999"
21,2009 Kia Rondo LX,"136,310 mi.","$5,150"
22,2007 Kia Rondo LX,"130,592 mi.","$4,900"
23,2009 Kia Rondo LX,"169,025 mi.","$3,250"
24,2008 Kia Rondo EX,"54,078 mi.","$6,900"
25,2007 Kia Rondo LX,"130,517 mi.","$3,750"
26,2009 Kia Rondo LX,"79,240 mi.","$6,993"
27,2007 Kia Rondo EX,"125,843 mi.","$3,500"
28,2008 Kia Rondo LX,"118,116 mi.","$4,500"
29,2007 Kia Rondo LX,"109,236 mi.","$5,900"
30,2007 Kia Rondo EX 4dr Wagon V6,"103,605 mi.","$5,495"
31,2010 Kia Rondo LX,"34,262 mi.","$6,791"
32,2008 Kia Rondo LX,"122,262 mi.","$3,245"
33,2009 Kia Rondo LX,"150,017 mi.","$3,995"
34,2009 Kia Rondo LX,"90,630 mi.","$5,195"
35,2008 Kia Rondo EX,"127,837 mi.","$3,695"
36,2008 Kia Rondo LX,"88,054 mi.","$5,974"
37,2008 Kia Rondo LX 4dr Wagon I4,"127,115 mi.","$3,899"
38,2008 Kia Rondo EX 4dr Wagon V6,"114,002 mi.","$5,995"
39,2007 Kia Rondo EX,"114,409 mi.","$4,997"
40,2008 Kia Rondo EX,"145,447 mi.","$2,995"
41,2008 Kia Rondo LX,"73,000 mi.","$4,499"
42,2008 Kia Rondo LX,"150,385 mi.","$3,495"
43,2008 Kia Rondo LX,"67,784 mi.","$4,800"
44,2008 Kia Rondo LX,"109,769 mi.","$3,995"
45,2009 Kia Rondo LX,"161,100 mi.","$4,350"
46,2007 Kia Rondo EX,"153,690 mi.","$2,975"
47,2008 Kia Rondo LX,"103,776 mi.","$6,995"
48,2008 Kia Rondo LX,"116,624 mi.","$4,751"
49,2008 Kia Rondo LX,"124,000 mi.","$4,999"
50,2008 Kia Rondo LX,"125,025 mi.","$4,995"
51,2008 Kia Rondo LX,"120,000 mi.","$4,800"
52,2009 Kia Rondo LX,"104,676 mi.","$4,500"
53,2007 Kia Rondo LX,"96,390 mi.","$3,999"
54,2007 Kia Rondo EX,"170,353 mi.","$4,995"
55,2009 Kia Rondo LX,"94,542 mi.","$5,495"
56,2007 Kia Rondo EX,"148,659 mi.","$4,995"
57,2008 Kia Rondo EX,"131,193 mi.","$3,995"
58,2008 Kia Rondo LX,"72,345 mi.","$6,750"
59,2008 Kia Rondo LX,"170,000 mi.","$3,995"
60,2008 Kia Rondo LX,"160,897 mi.","$3,995"
61,2008 Kia Rondo EX,"106,000 mi.","$5,288"
62,2008 Kia Rondo LX,"110,099 mi.","$5,995"
63,2009 Kia Rondo LX,"145,996 mi.","$3,995"
64,2007 Kia Rondo EX,"127,000 mi.","$4,995"
65,2009 Kia Rondo LX,"18,378 mi.","$13,780"
66,2007 Kia Rondo LX,"185,361 mi.","$3,500"
67,2008 Kia Rondo LX,"174,055 mi.","$3,533"
68,2009 Kia Rondo LX,"75,651 mi.","$6,995"
69,2008 Kia Rondo LX,"93,654 mi.","$2,999"
70,2008 Kia Rondo EX,"22,722 mi.","$6,995"
71,2008 Kia Rondo EX,"64,720 mi.","$5,500"
72,2009 Kia Rondo EX,"188,000 mi.","$3,000"
73,2009 Kia Rondo LX,"75,712 mi.",Not Priced
74,2008 Kia Rondo LX,"104,506 mi.",Not Priced
75,2007 Kia Rondo LX,"135,370 mi.",Not Priced
76,2007 Kia Rondo BASE,"142,391 mi.","$3,995"
77,2009 Kia Rondo LX,,"$4,495"
78,2009 Kia Rondo LX,"148,344 mi.",Not Priced
79,2009 Kia Rondo LX,"126,143 mi.",Not Priced
80,2008 Kia Rondo LX,"125,680 mi.","$4,995"
81,2007 Kia Rondo LX,"142,919 mi.",Not Priced
82,2009 Kia Rondo LX,"142,011 mi.",Not Priced
83,2008 Kia Rondo LX,"176,959 mi.",Not Priced
84,2008 Kia Rondo LX,"86,455 mi.","$4,995"
85,2009 Kia Rondo EX,"188,000 mi.","$2,890"
86,2007 Kia Rondo LX,"148,475 mi.",Not Priced
87,2007 Kia Rondo EX,"68,662 mi.","$4,495"
88,2007 Kia Rondo,"158,412 mi.","$9,990"
