,Name,Mileage,Price
0,2015 Kia Soul EV +,"36,110 mi.","$14,994"
1,2016 Kia Soul EV,"23,252 mi.","$14,785"
2,2016 Kia Soul EV +,"12,456 mi.","$15,500"
3,2015 Kia Soul EV Base,"23,190 mi.","$13,994"
4,2015 Kia Soul EV +,"23,422 mi.","$15,355"
5,2016 Kia Soul EV Base,"30,690 mi.","$13,700"
6,2016 Kia Soul EV Base,"19,058 mi.","$14,300"
7,2016 Kia Soul EV +,"19,020 mi.","$17,595"
8,2015 Kia Soul EV +,"19,741 mi.","$14,809"
9,2016 Kia Soul EV PLUS,"11,205 mi.","$15,912"
10,2016 Kia Soul EV Base,"31,554 mi.","$15,500"
11,2016 Kia Soul EV +,"8,322 mi.","$18,998"
12,2016 Kia Soul EV,"26,744 mi.","$15,397"
13,2015 Kia Soul EV +,"23,926 mi.","$14,187"
14,2016 Kia Soul EV PLUS,"80,314 mi.","$13,910"
15,2016 Kia Soul EV +,"12,665 mi.","$18,286"
16,2015 Kia Soul EV,"36,896 mi.","$11,660"
17,2016 Kia Soul EV +,"26,131 mi.","$16,995"
18,2016 Kia Soul EV +,"19,685 mi.","$16,485"
19,2016 Kia Soul EV +,"16,453 mi.","$18,806"
20,2017 Kia Soul EV Base,"10,535 mi.","$18,988"
21,2015 Kia Soul EV +,"30,667 mi.","$15,394"
22,2017 Kia Soul EV Base,"3,920 mi.","$18,950"
23,2015 Kia Soul EV PLUS,"72,731 mi.","$12,995"
24,2016 Kia Soul EV Base,"1,982 mi.","$16,499"
25,2016 Kia Soul EV Base,"46,546 mi.","$13,621"
26,2015 Kia Soul EV +,"56,437 mi.","$11,900"
27,2015 Kia Soul EV Base,"50,839 mi.","$13,497"
28,2016 Kia Soul EV,"28,673 mi.","$16,035"
29,2016 Kia Soul EV EV,"28,510 mi.","$13,620"
30,2016 Kia Soul EV +,"10,661 mi.","$16,792"
31,2016 Kia Soul EV,"16,840 mi.","$18,995"
32,2016 Kia Soul EV PLUS,"24,939 mi.","$16,796"
33,2016 Kia Soul EV,"28,673 mi.","$16,035"
34,2018 Kia Soul EV +,"4,359 mi.","$19,988"
35,2016 Kia Soul EV BASE,"23,788 mi.","$16,995"
36,2016 Kia Soul EV Base,"10,506 mi.","$16,950"
37,2016 Kia Soul EV PLUS,"86,190 mi.","$14,499"
38,2016 Kia Soul EV Base,"29,808 mi.","$16,903"
39,2016 Kia Soul EV,"54,315 mi.","$15,995"
40,2015 Kia Soul EV PLUS,"16,115 mi.","$16,959"
41,2016 Kia Soul EV,"25,990 mi.","$18,995"
42,2016 Kia Soul EV Base,"30,139 mi.","$15,538"
43,2016 Kia Soul EV BASE,"11,244 mi.","$15,000"
44,2017 Kia Soul EV,"13,680 mi.","$14,898"
45,2016 Kia Soul EV Base,"25,173 mi.","$13,000"
46,2016 Kia Soul EV EVe,"28,839 mi.","$13,273"
47,2016 Kia Soul EV +,"52,000 mi.","$14,000"
48,2016 Kia Soul EV +,"13,941 mi.","$18,999"
49,2017 Kia Soul EV Base,"20,639 mi.","$18,950"
50,2016 Kia Soul EV +,"17,021 mi.","$18,950"
51,2016 Kia Soul EV +,"4,440 mi.",Not Priced
52,2016 Kia Soul EV -E,"22,284 mi.","$17,880"
53,2016 Kia Soul EV BASE,"26,397 mi.","$17,995"
54,2016 Kia Soul EV PLUS,"14,467 mi.","$17,994"
55,2017 Kia Soul EV Base,"6,013 mi.","$17,912"
56,2016 Kia Soul EV +,"31,417 mi.","$19,995"
57,2018 Kia Soul EV +,"3,285 mi.","$25,489"
