,Name,Mileage,Price
0,2008 Kia Spectra LX,"103,000 mi.","$3,400"
1,2007 Kia Spectra EX,"108,987 mi.","$3,995"
2,2008 Kia Spectra EX,"91,474 mi.","$5,172"
3,2003 Kia Spectra Base,"91,820 mi.","$2,791"
4,2006 Kia Spectra,"68,158 mi.","$5,799"
5,2008 Kia Spectra EX,"135,292 mi.","$3,500"
6,2007 Kia Spectra EX,"147,568 mi.","$4,495"
7,2006 Kia Spectra EX/SX/LX,"136,069 mi.","$2,990"
8,2006 Kia Spectra EX,"170,771 mi.","$2,995"
9,2005 Kia Spectra 5dr HB Auto,"54,818 mi.","$6,490"
10,2007 Kia Spectra EX,"122,750 mi.","$4,998"
11,2007 Kia Spectra EX,"120,128 mi.","$5,599"
12,2009 Kia Spectra EX,"118,217 mi.","$4,837"
13,2008 Kia Spectra EX,"163,461 mi.","$3,499"
14,2007 Kia Spectra EX,"184,579 mi.","$2,299"
15,2008 Kia Spectra EX,"89,645 mi.","$4,488"
16,2006 Kia Spectra SX,"151,034 mi.","$3,875"
17,2009 Kia Spectra EX,"129,350 mi.","$3,795"
18,2006 Kia Spectra EX/SX,"142,208 mi.","$1,995"
19,2006 Kia Spectra 5dr HB Spectra5,"154,967 mi.","$2,450"
20,2009 Kia Spectra EX,"120,523 mi.","$5,500"
21,2007 Kia Spectra EX,"66,668 mi.","$5,995"
22,2007 Kia Spectra EX,"115,118 mi.","$3,775"
23,2008 Kia Spectra EX,"146,000 mi.","$3,900"
24,2006 Kia Spectra EX,"160,782 mi.","$3,000"
25,2006 Kia Spectra Base,"153,292 mi.","$2,689"
26,2006 Kia Spectra EX/SX/LX,"150,021 mi.","$3,995"
27,2009 Kia Spectra EX,"114,788 mi.","$4,300"
28,2009 Kia Spectra EX,"147,081 mi.","$3,655"
29,2006 Kia Spectra EX/SX,"128,835 mi.","$2,990"
30,2003 Kia Spectra LS,"94,165 mi.","$3,199"
31,2006 Kia Spectra EX,"151,563 mi.","$2,241"
32,2007 Kia Spectra SX,"111,624 mi.","$3,999"
33,2009 Kia Spectra EX,"124,730 mi.","$3,995"
34,2009 Kia Spectra EX,"95,807 mi.","$4,990"
35,2008 Kia Spectra SX,"114,648 mi.","$5,495"
36,2008 Kia Spectra EX,"101,000 mi.","$3,995"
37,2009 Kia Spectra EX,"147,308 mi.","$4,482"
38,2007 Kia Spectra LX,"154,677 mi.","$2,995"
39,2007 Kia Spectra SX,"52,045 mi.","$8,599"
40,2003 Kia Spectra LS,"156,915 mi.","$3,999"
41,2006 Kia Spectra EX,"168,812 mi.","$3,995"
42,2006 Kia Spectra EX 4dr Sedan w/Automatic,"142,208 mi.","$1,995"
43,2009 Kia Spectra EX,"137,772 mi.","$5,000"
44,2006 Kia Spectra EX,"118,360 mi.","$3,995"
45,2006 Kia Spectra LX,"180,424 mi.","$1,495"
46,2009 Kia Spectra EX,"122,748 mi.","$4,999"
47,2008 Kia Spectra EX,"79,089 mi.","$6,995"
48,2007 Kia Spectra EX,"218,289 mi.","$2,995"
49,2009 Kia Spectra EX,"61,965 mi.","$5,990"
50,2007 Kia Spectra EX,"99,426 mi.","$4,295"
51,2009 Kia Spectra EX,"70,135 mi.","$5,995"
52,2009 Kia Spectra EX,"95,175 mi.","$4,295"
53,2009 Kia Spectra EX,"100,831 mi.","$4,495"
54,2007 Kia Spectra EX,"109,093 mi.","$4,595"
55,2005 Kia Spectra EX,"83,472 mi.","$6,045"
56,2005 Kia Spectra EX,"136,328 mi.","$3,276"
57,2004 Kia Spectra EX,"179,684 mi.","$4,587"
58,2008 Kia Spectra 5dr HB Auto Spectra5,"156,129 mi.","$5,488"
59,2008 Kia Spectra EX,"125,219 mi.","$4,200"
60,2007 Kia Spectra LX,"180,462 mi.","$3,499"
61,2005 Kia Spectra LX/EX/SX,"126,989 mi.","$4,995"
62,2002 Kia Spectra GS/GSX,"166,005 mi.","$1,995"
63,2008 Kia Spectra 5dr HB Auto Spectra5,"55,360 mi.","$5,995"
64,2007 Kia Spectra EX,"178,800 mi.","$2,795"
65,2005 Kia Spectra EX/SX,"118,231 mi.","$1,599"
66,2005 Kia Spectra SX,"155,000 mi.","$2,950"
67,2003 Kia Spectra Base/LS,"132,048 mi.","$2,995"
68,2005 Kia Spectra LX/EX/SX,"16,871 mi.","$7,995"
69,2007 Kia Spectra EX,"194,226 mi.","$2,995"
70,2009 Kia Spectra EX,"148,928 mi.","$4,495"
71,2005 Kia Spectra SX,"176,003 mi.","$2,990"
72,2009 Kia Spectra SX,"77,877 mi.","$5,452"
73,2008 Kia Spectra EX,"175,200 mi.","$3,398"
74,2007 Kia Spectra,"132,604 mi.","$3,955"
75,2008 Kia Spectra EX,"141,072 mi.","$3,991"
