,Name,Mileage,Price
0,2018 Kia Stinger GT2,"6,380 mi.","$41,869"
1,2018 Kia Stinger GT1,"16,587 mi.","$38,989"
2,2018 Kia Stinger Premium,"6,311 mi.","$31,495"
3,2018 Kia Stinger Premium,"6,172 mi.","$32,999"
4,2019 Kia Stinger GT2,"10,137 mi.","$44,490"
5,2018 Kia Stinger Premium,"5,581 mi.","$35,995"
6,2018 Kia Stinger GT,"20,409 mi.","$35,595"
7,2018 Kia Stinger GT1,"13,380 mi.","$38,995"
8,2018 Kia Stinger Base,"12,969 mi.","$27,998"
9,2018 Kia Stinger GT2,"5,490 mi.","$44,998"
10,2018 Kia Stinger Premium,"1,588 mi.","$29,850"
11,2018 Kia Stinger Premium,"5,071 mi.","$32,592"
12,2018 Kia Stinger Premium,"8,115 mi.","$30,477"
13,2018 Kia Stinger Premium,"6,912 mi.","$30,999"
14,2018 Kia Stinger Base,"11,363 mi.","$26,789"
15,2018 Kia Stinger Base,"11,513 mi.","$27,998"
16,2018 Kia Stinger GT1,"3,188 mi.","$37,998"
17,2018 Kia Stinger Premium,"13,887 mi.","$29,871"
18,2018 Kia Stinger GT2,"6,415 mi.","$38,475"
19,2018 Kia Stinger Base,"6,642 mi.","$28,233"
20,2018 Kia Stinger Premium,"6,040 mi.","$31,999"
21,2018 Kia Stinger Premium,"6,040 mi.","$31,999"
22,2018 Kia Stinger Premium,"4,444 mi.","$31,230"
23,2018 Kia Stinger GT,"7,252 mi.","$35,998"
24,2018 Kia Stinger GT1,"7,715 mi.","$41,998"
25,2018 Kia Stinger Premium,"11,150 mi.","$35,999"
26,2018 Kia Stinger GT2,"10,132 mi.","$44,998"
27,2018 Kia Stinger GT2,"8,447 mi.","$39,810"
28,2019 Kia Stinger GT,"1,802 mi.","$35,988"
29,2018 Kia Stinger GT2,5 mi.,"$39,900"
30,2018 Kia Stinger Premium,"13,754 mi.","$33,994"
31,2018 Kia Stinger GT1,"15,443 mi.","$37,999"
32,2018 Kia Stinger Premium,"4,444 mi.","$31,230"
33,2018 Kia Stinger Premium,"6,754 mi.","$32,300"
34,2018 Kia Stinger Premium,"11,836 mi.","$32,500"
35,2018 Kia Stinger Premium,"4,845 mi.","$33,856"
36,2018 Kia Stinger Premium,"4,444 mi.","$31,230"
37,2018 Kia Stinger GT2,943 mi.,"$42,998"
38,2018 Kia Stinger Premium,"18,063 mi.","$30,900"
39,2018 Kia Stinger GT2,"8,378 mi.","$40,000"
40,2018 Kia Stinger Premium,"4,444 mi.","$31,230"
41,2018 Kia Stinger GT2,"9,618 mi.","$39,987"
42,2018 Kia Stinger Base,"10,621 mi.","$28,998"
43,2018 Kia Stinger GT2,"1,783 mi.","$41,980"
44,2018 Kia Stinger GT1,"21,107 mi.","$36,777"
45,2018 Kia Stinger GT2,"2,215 mi.","$39,999"
