,Name,Mileage,Price
0,2004 Lamborghini Gallardo Coupe,"12,134 mi.","$129,000"
1,2014 Lamborghini Aventador 2dr Conv,"1,790 mi.","$369,999"
2,2017 Lamborghini Huracan LP580-2,"6,178 mi.","$199,900"
3,2017 Lamborghini Aventador LP740-4S,"4,109 mi.","$387,088"
4,2017 Lamborghini Aventador S,"1,118 mi.","$349,988"
5,2007 Lamborghini Gallardo 2dr Conv,"21,656 mi.","$99,000"
6,1988 Lamborghini Countach LP5000 QV,"9,800 mi.","$439,465"
7,2015 Lamborghini Aventador LP700-4,479 mi.,"$316,999"
8,2017 Lamborghini Huracan,"8,317 mi.","$221,988"
9,2016 Lamborghini Huracan LP 610-4 Spyder,"8,848 mi.","$219,591"
10,2013 Lamborghini Gallardo LP550-2,"9,901 mi.","$137,991"
11,2012 Lamborghini Gallardo LP550-2 Coupe,"6,561 mi.","$139,995"
12,2006 Lamborghini Murcielago,"10,524 mi.","$155,000"
13,1999 Lamborghini Diablo SV,"15,737 mi.","$325,000"
14,1999 Lamborghini Diablo SV,"15,911 mi.","$285,000"
15,2018 Lamborghini Aventador S Base,"7,832 mi.","$364,999"
16,2013 Lamborghini Aventador 2dr Cpe,"6,667 mi.","$335,800"
17,2010 Lamborghini Gallardo Spyder,"5,829 mi.","$139,800"
18,2016 Lamborghini Huracan LP 610-4 Spyder,"6,173 mi.","$198,000"
19,2018 Lamborghini Huracan Performante,"1,574 mi.","$299,800"
20,2018 Lamborghini Huracan RWD Sypder,"2,152 mi.","$234,996"
21,2018 Lamborghini Aventador S Base,"7,832 mi.","$364,999"
22,2014 Lamborghini Aventador LP700-4,"8,550 mi.","$324,900"
23,2018 Lamborghini Aventador S Base,"7,832 mi.","$364,999"
24,2015 Lamborghini Huracan LP610-4,"3,015 mi.","$204,951"
25,2017 Lamborghini Huracan LP580-2,"2,015 mi.","$214,951"
26,2016 Lamborghini Aventador LP700-4 Pirelli Edition,"3,438 mi.","$379,951"
27,2017 Lamborghini Aventador S,467 mi.,"$374,951"
28,2017 Lamborghini Huracan INC CPO WARRANTY,"2,741 mi.","$239,951"
29,2018 Lamborghini Aventador S Base,"7,832 mi.","$364,999"
30,2016 Lamborghini Huracan LP610-4,"10,340 mi.","$209,990"
31,2017 Lamborghini Huracan LP580-2,"15,910 mi.","$199,950"
32,2016 Lamborghini Huracan LP610-4,"14,330 mi.","$209,950"
33,2018 Lamborghini Aventador S Base,"7,832 mi.","$364,999"
34,2008 Lamborghini Gallardo Spyder,"12,935 mi.","$113,880"
35,2015 Lamborghini Huracan LP610-4,"7,662 mi.","$201,186"
36,2001 Lamborghini Diablo VT 6.0,"18,076 mi.","$345,000"
37,2017 Lamborghini Huracan LP610-4,"5,711 mi.","$245,951"
38,2017 Lamborghini Aventador LP740-4 S,91 mi.,"$388,988"
39,1999 Lamborghini Diablo VT Roadster,"14,103 mi.","$259,995"
40,2017 Lamborghini Aventador,157 mi.,"$399,950"
41,2007 Lamborghini Gallardo 2dr Cpe,"24,744 mi.","$104,999"
42,2015 Lamborghini Aventador LP700-4,"4,555 mi.","$329,000"
43,2013 Lamborghini Aventador LP700-4,"8,335 mi.","$299,950"
44,2017 Lamborghini Huracan RWD Sypder,388 mi.,"$229,000"
45,2015 Lamborghini Aventador 2dr Cpe,"7,093 mi.","$349,999"
46,1999 Lamborghini Diablo,"1,217 mi.","$389,000"
47,2015 Lamborghini Aventador 2dr Conv,"6,362 mi.","$359,900"
48,2016 Lamborghini Huracan LP610-4,"1,146 mi.","$229,950"
49,2014 Lamborghini Gallardo LP550-2,"8,427 mi.","$154,950"
50,2008 Lamborghini Murcielago LP640,"1,323 mi.","$289,900"
51,2008 Lamborghini Gallardo Spyder,"9,651 mi.","$117,888"
52,2015 Lamborghini Aventador 2dr Conv,"7,154 mi.","$349,800"
53,1999 Lamborghini Diablo VT,"7,915 mi.","$289,750"
54,2017 Lamborghini Aventador Roadster,"10,352 mi.","$369,800"
55,2016 Lamborghini Aventador LP700-4,"8,429 mi.","$382,950"
56,2013 Lamborghini Aventador LP700-4,"3,428 mi.","$309,950"
57,2019 Lamborghini Urus AWD 4DR SUV,985 mi.,"$289,786"
58,2015 Lamborghini Huracan LP610-4,"9,901 mi.","$209,900"
59,2015 Lamborghini Huracan 2dr Cpe LP 610-4,"5,436 mi.","$204,977"
60,2017 Lamborghini Huracan LP610-4S,"8,531 mi.","$249,950"
61,2001 Lamborghini Diablo VT 6.0,"7,794 mi.","$399,951"
62,2014 Lamborghini Aventador LP700-4,"9,969 mi.","$299,900"
63,2008 Lamborghini Gallardo Superleggera,"11,570 mi.","$124,888"
64,2015 Lamborghini Aventador 2dr Conv,"1,302 mi.","$378,888"
65,2015 Lamborghini Huracan LP610-4,,"$219,950"
66,2004 Lamborghini Gallardo 2dr Cpe,"22,067 mi.","$114,990"
67,2008 Lamborghini Gallardo Spyder,"6,883 mi.","$114,900"
68,2017 Lamborghini Huracan LP610-4S,"2,985 mi.","$264,999"
69,2006 Lamborghini Gallardo SE,295 mi.,"$149,900"
70,2007 Lamborghini Gallardo,"5,151 mi.","$118,800"
71,2008 Lamborghini Gallardo Spyder,"4,960 mi.","$119,900"
72,2014 Lamborghini Aventador 2dr Cpe,"3,277 mi.","$339,999"
73,2014 Lamborghini Gallardo LP550-2,"4,648 mi.","$159,950"
74,2008 Lamborghini Gallardo 2dr Cpe,"8,605 mi.","$119,467"
75,2013 Lamborghini Gallardo 2dr Conv LP560-4,"9,190 mi.","$164,999"
76,2015 Lamborghini Aventador 2dr Conv,"1,741 mi.","$369,901"
77,2013 Lamborghini Gallardo 2dr Cpe LP550-2,"7,818 mi.","$149,900"
78,2015 Lamborghini Aventador LP700-4,"27,822 mi.","$289,950"
79,2011 Lamborghini Gallardo LP560-4 Spyder,"10,475 mi.","$149,995"
80,2012 Lamborghini Gallardo LP 550-2,"6,121 mi.","$129,997"
81,1989 Lamborghini Countach 25th Anniversary Edition,"30,724 mi.","$339,950"
82,2001 Lamborghini Diablo VT 6.0,"12,686 mi.","$355,000"
83,2013 Lamborghini Aventador 2dr Conv,"4,689 mi.","$349,995"
84,2017 Lamborghini Aventador S,94 mi.,"$388,988"
85,2014 Lamborghini Aventador 50th Anniversario,"1,424 mi.","$419,995"
86,2015 Lamborghini Huracan 2dr Cpe LP 610-4,"18,561 mi.","$219,995"
87,2012 Lamborghini Aventador LP700-4,"2,313 mi.","$289,900"
88,2006 Lamborghini Gallardo SE,"24,034 mi.","$104,992"
89,2017 Lamborghini Aventador LP740-4S,"6,093 mi.","$384,900"
90,2015 Lamborghini Huracan LP610-4,"8,741 mi.","$203,800"
91,2008 Lamborghini Gallardo Spyder,"5,113 mi.","$149,950"
92,2016 Lamborghini Huracan LP 610-4,"8,271 mi.","$214,990"
93,2014 Lamborghini Gallardo Superleggera Edizione Tecnica/Squadra Corse,"7,710 mi.","$214,995"
94,2007 Lamborghini Gallardo Spyder,"9,611 mi.","$106,950"
95,2016 Lamborghini Huracan LP610-4,"1,848 mi.","$229,880"
96,2017 Lamborghini Aventador LP750-4 Superveloce,831 mi.,"$579,950"
97,2015 Lamborghini Aventador 2dr Cpe,"2,335 mi.","$349,995"
98,2013 Lamborghini Aventador LP700-4,"18,364 mi.","$291,777"
99,2016 Lamborghini Aventador LP 700-4,"4,439 mi.","$399,999"
100,2018 Lamborghini Aventador S Base,"7,832 mi.","$364,999"
101,2018 Lamborghini Aventador S Base,"7,832 mi.","$364,999"
102,2018 Lamborghini Aventador S Base,"7,832 mi.","$364,999"
103,2018 Lamborghini Aventador S Base,"7,832 mi.","$364,999"
104,2013 Lamborghini Gallardo 2dr Conv LP550-2,"21,502 mi.","$127,950"
105,2016 Lamborghini Aventador LP700-4,"2,436 mi.","$369,950"
106,2013 Lamborghini Gallardo 2dr Conv LP550-2,"8,900 mi.","$144,990"
107,2013 Lamborghini Aventador LP700-4,"6,008 mi.","$319,900"
108,2008 Lamborghini Gallardo 2dr Conv Spyder,"9,212 mi.","$124,999"
109,2012 Lamborghini Gallardo LP560-4 Spyder,"12,023 mi.","$128,950"
110,2016 Lamborghini Aventador LP700-4,"1,963 mi.","$378,800"
111,2016 Lamborghini Aventador LP 700-4,"1,444 mi.","$395,000"
112,1983 Lamborghini Countach LP500 S,"6,558 mi.","$425,000"
113,2015 Lamborghini Huracan LP610-4,"7,731 mi.","$218,692"
114,2004 Lamborghini Gallardo,"16,547 mi.","$94,999"
115,2007 Lamborghini Gallardo Spyder,"8,304 mi.","$109,995"
116,2015 Lamborghini Huracan 2dr Cpe LP 610-4,"7,428 mi.","$209,995"
117,2009 Lamborghini Murcielago LP640,"3,491 mi.","$309,900"
118,2015 Lamborghini Aventador LP700-4,"4,345 mi.","$339,800"
119,2009 Lamborghini Gallardo LP560-4,"11,584 mi.","$129,995"
120,2016 Lamborghini Aventador LP700-4 Pirelli Edition,"8,429 mi.","$384,950"
121,2013 Lamborghini Gallardo LP570-4 Superleggera,"9,229 mi.","$179,900"
122,2008 Lamborghini Gallardo 2dr Cpe Superleggera,"16,290 mi.","$129,900"
123,2015 Lamborghini Huracan LP610-4,"4,869 mi.","$206,999"
124,2008 Lamborghini Murcielago LP640,"6,367 mi.","$289,900"
125,2016 Lamborghini Aventador LP 700-4,"1,444 mi.","$395,000"
126,2010 Lamborghini Gallardo LP 560-4 Spyder UGR Stage 3,"15,876 mi.","$159,900"
127,2007 Lamborghini Gallardo Spyder,"18,575 mi.","$104,995"
128,2016 Lamborghini Aventador LP750-4 Superveloce,"1,188 mi.","$569,700"
129,2005 Lamborghini Gallardo 2dr Cpe,"3,221 mi.","$139,999"
130,2008 Lamborghini Gallardo Spyder,"21,504 mi.","$119,900"
131,2008 Lamborghini Gallardo Spyder,"20,200 mi.","$119,995"
132,1998 Lamborghini Diablo SV,"3,512 mi.","$529,900"
133,2008 Lamborghini Gallardo Spyder,"8,258 mi.","$134,950"
134,2005 Lamborghini Murcielago,"1,893 mi.","$209,900"
