,Name,Mileage,Price
0,2003 Land Rover Freelander S,"85,224 mi.","$4,500"
1,2003 Land Rover Freelander S,"76,389 mi.","$4,995"
2,2003 Land Rover Freelander SE,"163,886 mi.","$3,499"
3,2003 Land Rover Freelander HSE,"125,428 mi.","$3,988"
4,2002 Land Rover Freelander HSE,"69,750 mi.","$4,995"
5,2004 Land Rover Freelander SE,"116,644 mi.","$4,900"
6,2003 Land Rover Freelander S,"52,780 mi.","$5,995"
7,2002 Land Rover Freelander S,"112,149 mi.","$1,450"
8,2004 Land Rover Freelander HSE,"108,311 mi.","$3,991"
9,2003 Land Rover Freelander S,"122,728 mi.","$3,116"
