,Name,Mileage,Price
0,2011 Land Rover LR2 Base,"93,740 mi.","$12,995"
1,2013 Land Rover LR2 Base,"78,208 mi.","$16,500"
2,2015 Land Rover LR2 Base,"36,366 mi.","$26,998"
3,2013 Land Rover LR2 Base,"60,425 mi.","$14,999"
4,2010 Land Rover LR2 HSE,"54,832 mi.","$14,588"
5,2015 Land Rover LR2 Base,"36,809 mi.","$25,998"
6,2014 Land Rover LR2 Base,"48,751 mi.","$24,998"
7,2014 Land Rover LR2 AWD 4dr,"35,570 mi.","$22,980"
8,2012 Land Rover LR2 HSE,"74,368 mi.","$14,488"
9,2014 Land Rover LR2 HSE,"80,127 mi.","$15,995"
10,2008 Land Rover LR2 SE,"115,215 mi.","$7,580"
11,2015 Land Rover LR2 AWD 4dr,"41,399 mi.","$24,588"
12,2011 Land Rover LR2 Base,"95,322 mi.","$11,995"
13,2011 Land Rover LR2 Base,"58,685 mi.","$15,330"
14,2014 Land Rover LR2 HSE,"46,956 mi.","$20,811"
15,2014 Land Rover LR2 Base,"51,454 mi.","$24,599"
16,2015 Land Rover LR2 HSE,"59,713 mi.","$22,888"
17,2008 Land Rover LR2 SE,"88,814 mi.","$10,000"
18,2010 Land Rover LR2 HSE,"65,370 mi.","$11,950"
19,2011 Land Rover LR2 HSE,"51,776 mi.","$13,497"
20,2008 Land Rover LR2 HSE,"132,818 mi.","$7,900"
21,2009 Land Rover LR2 HSE,"68,068 mi.","$10,988"
22,2015 Land Rover LR2 HSE,"20,676 mi.","$29,995"
23,2008 Land Rover LR2 HSE,"120,030 mi.","$6,999"
24,2013 Land Rover LR2 Base,"55,361 mi.","$21,998"
25,2013 Land Rover LR2 Base,"72,791 mi.","$17,500"
26,2010 Land Rover LR2 HSE,"81,028 mi.","$9,809"
27,2012 Land Rover LR2 Base,"85,700 mi.","$11,781"
28,2013 Land Rover LR2 HSE,"105,021 mi.","$13,400"
29,2012 Land Rover LR2 Base,"70,368 mi.","$13,998"
30,2013 Land Rover LR2 Base,"68,974 mi.","$16,995"
31,2008 Land Rover LR2 SE,"68,807 mi.","$8,995"
32,2013 Land Rover LR2 Base,"57,781 mi.","$23,998"
33,2013 Land Rover LR2 Base,"73,995 mi.","$16,350"
34,2011 Land Rover LR2 Base,"61,252 mi.","$15,900"
35,2015 Land Rover LR2 Base,"49,607 mi.","$21,999"
36,2008 Land Rover LR2 HSE,"132,438 mi.","$7,970"
37,2014 Land Rover LR2 4DR AWD,"63,503 mi.","$19,290"
38,2010 Land Rover LR2 HSE,"111,436 mi.","$9,450"
39,2013 Land Rover LR2 Base,"60,332 mi.","$21,117"
40,2014 Land Rover LR2 Base,"65,117 mi.","$19,895"
41,2014 Land Rover LR2 HSE,"41,116 mi.","$21,990"
42,2012 Land Rover LR2 HSE LUX,"50,297 mi.","$16,595"
43,2011 Land Rover LR2 Base,"104,079 mi.","$11,995"
44,2014 Land Rover LR2 Base,"64,286 mi.","$18,995"
45,2011 Land Rover LR2 HSE,"97,446 mi.","$11,499"
46,2014 Land Rover LR2,"62,558 mi.","$19,500"
47,2014 Land Rover LR2 Base,"65,702 mi.","$19,994"
48,2014 Land Rover LR2 Base,"79,431 mi.","$16,992"
49,2015 Land Rover LR2 Base,"66,188 mi.","$18,857"
50,2010 Land Rover LR2 HSE,"74,016 mi.","$10,991"
51,2014 Land Rover LR2 Base,"57,286 mi.","$22,998"
52,2015 Land Rover LR2 HSE,"91,327 mi.","$16,999"
53,2014 Land Rover LR2 HSE,"69,584 mi.","$17,990"
