,Name,Mileage,Price
0,2016 Land Rover Range Rover Evoque HSE,"49,989 mi.","$30,987"
1,2015 Land Rover Range Rover Evoque Pure Plus,"41,414 mi.","$27,554"
2,2016 Land Rover Range Rover Evoque SE,"31,721 mi.","$26,995"
3,2016 Land Rover Range Rover Evoque HSE,"20,675 mi.","$37,991"
4,2013 Land Rover Range Rover Evoque Pure Plus,"59,683 mi.","$22,998"
5,2018 Land Rover Range Rover Evoque SE Premium,"17,799 mi.","$38,789"
6,2015 Land Rover Range Rover Evoque Pure Plus,"45,587 mi.","$28,387"
7,2014 Land Rover Range Rover Evoque Dynamic,"59,990 mi.","$24,995"
8,2017 Land Rover Range Rover Evoque SE,"19,673 mi.","$32,991"
9,2015 Land Rover Range Rover Evoque Pure Plus,"32,960 mi.","$28,963"
10,2012 Land Rover Range Rover Evoque Pure Plus,"29,666 mi.","$25,681"
11,2015 Land Rover Range Rover Evoque PRESTIGE,"28,600 mi.","$28,900"
12,2017 Land Rover Range Rover Evoque SE,"36,926 mi.","$29,839"
13,2018 Land Rover Range Rover Evoque SE Premium,"11,169 mi.","$38,493"
14,2018 Land Rover Range Rover Evoque SE,"27,497 mi.","$33,000"
15,2017 Land Rover Range Rover Evoque HSE,"5,198 mi.","$37,250"
16,2016 Land Rover Range Rover Evoque HSE,"37,073 mi.","$32,840"
17,2015 Land Rover Range Rover Evoque Pure Plus,"29,297 mi.","$28,379"
18,2013 Land Rover Range Rover Evoque Pure,"70,520 mi.","$24,999"
19,2015 Land Rover Range Rover Evoque DYNAMIC,"38,960 mi.","$30,498"
20,2015 Land Rover Range Rover Evoque Pure Plus,"21,121 mi.","$27,478"
21,2017 Land Rover Range Rover Evoque HSE Dynamic,"11,153 mi.","$44,995"
22,2013 Land Rover Range Rover Evoque Pure,"80,830 mi.","$20,288"
23,2018 Land Rover Range Rover Evoque SE,"16,483 mi.","$31,981"
24,2013 Land Rover Range Rover Evoque Pure Plus,"75,753 mi.","$21,999"
25,2016 Land Rover Range Rover Evoque SE,"32,536 mi.","$28,629"
26,2015 Land Rover Range Rover Evoque Pure Plus,"48,468 mi.","$28,007"
27,2016 Land Rover Range Rover Evoque HSE Dynamic,"28,964 mi.","$39,900"
28,2018 Land Rover Range Rover Evoque SE,"15,568 mi.","$33,199"
29,2015 Land Rover Range Rover Evoque Pure,"46,663 mi.","$23,499"
30,2015 Land Rover Range Rover Evoque Pure Plus,"36,144 mi.","$24,599"
31,2017 Land Rover Range Rover Evoque SE Premium,"46,299 mi.","$31,498"
32,2018 Land Rover Range Rover Evoque SE,"15,568 mi.","$33,199"
33,2015 Land Rover Range Rover Evoque Pure,"46,663 mi.","$23,499"
