,Name,Mileage,Price
0,2016 Land Rover Range Rover Sport 5.0L Supercharged Dynamic,"22,598 mi.","$61,990"
1,2012 Land Rover Range Rover Sport Supercharged,"72,483 mi.","$26,995"
2,2014 Land Rover Range Rover Sport Supercharged,"57,369 mi.","$41,999"
3,2017 Land Rover Range Rover Sport 5.0L Supercharged Autobiography,"6,159 mi.","$82,888"
4,2016 Land Rover Range Rover Sport Supercharged,"39,104 mi.","$58,000"
5,2014 Land Rover Range Rover Sport HSE,"15,175 mi.","$44,949"
6,2017 Land Rover Range Rover Sport 3.0L Turbocharged Diesel HSE Td6,"14,141 mi.","$62,899"
7,2016 Land Rover Range Rover Sport Supercharged HSE,"26,554 mi.","$52,888"
8,2015 Land Rover Range Rover Sport Supercharged HSE,"47,840 mi.","$43,864"
9,2013 Land Rover Range Rover Sport HSE,"77,120 mi.","$25,988"
10,2017 Land Rover Range Rover Sport 3.0L Supercharged HSE,"15,175 mi.","$62,891"
11,2017 Land Rover Range Rover Sport 3.0L Supercharged HSE,"12,968 mi.","$64,950"
12,2015 Land Rover Range Rover Sport Supercharged,"45,352 mi.","$52,580"
13,2015 Land Rover Range Rover Sport Supercharged HSE,"24,520 mi.","$44,984"
14,2014 Land Rover Range Rover Sport SE,"47,027 mi.","$39,999"
15,2016 Land Rover Range Rover Sport Supercharged HSE,"31,064 mi.","$50,900"
16,2016 Land Rover Range Rover Sport 3.0L Turbocharged Diesel SE Td6,"24,503 mi.","$49,891"
17,2011 Land Rover Range Rover Sport HSE,"111,659 mi.","$15,999"
18,2016 Land Rover Range Rover Sport Supercharged HSE,"44,529 mi.","$46,591"
19,2015 Land Rover Range Rover Sport Supercharged SE,"26,166 mi.","$46,996"
20,2016 Land Rover Range Rover Sport 3.0L Turbocharged Diesel SE Td6,"25,770 mi.","$46,996"
21,2015 Land Rover Range Rover Sport Supercharged HSE,"41,754 mi.","$41,950"
22,2009 Land Rover Range Rover Sport HSE,"99,536 mi.","$13,900"
23,2013 Land Rover Range Rover Sport Supercharged,"58,910 mi.","$36,490"
24,2015 Land Rover Range Rover Sport Supercharged HSE,"53,317 mi.","$44,991"
25,2016 Land Rover Range Rover Sport 3.0L Turbocharged Diesel HSE Td6,"40,973 mi.","$41,999"
26,2015 Land Rover Range Rover Sport Supercharged HSE,"43,106 mi.","$39,299"
27,2016 Land Rover Range Rover Sport 3.0L Turbocharged Diesel HSE Td6,"40,973 mi.","$41,999"
28,2012 Land Rover Range Rover Sport HSE,"74,925 mi.","$21,850"
29,2015 Land Rover Range Rover Sport SE,"37,992 mi.","$46,950"
30,2015 Land Rover Range Rover Sport Supercharged HSE,"19,349 mi.","$49,642"
31,2016 Land Rover Range Rover Sport 5.0L Supercharged Dynamic,"34,385 mi.","$59,999"
32,2016 Land Rover Range Rover Sport Supercharged HSE,"60,506 mi.","$44,592"
33,2015 Land Rover Range Rover Sport Supercharged HSE,"22,643 mi.","$47,499"
34,2016 Land Rover Range Rover Sport Supercharged HSE,"73,945 mi.","$42,500"
35,2016 Land Rover Range Rover Sport Supercharged HSE,"44,316 mi.","$48,995"
36,2017 Land Rover Range Rover Sport 3.0L Supercharged HSE,"31,849 mi.","$56,494"
37,2016 Land Rover Range Rover Sport 3.0L Turbocharged Diesel HSE Td6,"40,973 mi.","$41,999"
38,2014 Land Rover Range Rover Sport Supercharged HSE,"69,570 mi.","$35,900"
39,2016 Land Rover Range Rover Sport Supercharged SE,"43,327 mi.","$42,990"
40,2012 Land Rover Range Rover Sport Supercharged,"58,310 mi.","$25,750"
41,2016 Land Rover Range Rover Sport Supercharged,"31,827 mi.","$56,500"
