,Name,Mileage,Price
0,2018 Land Rover Range Rover Velar P250 S,"4,268 mi.","$56,990"
1,2019 Land Rover Range Rover Velar P250 S,"3,555 mi.","$58,990"
2,2018 Land Rover Range Rover Velar P380 HSE R-Dynamic,"9,036 mi.","$76,950"
3,2018 Land Rover Range Rover Velar P250 S,"4,649 mi.","$56,998"
4,2018 Land Rover Range Rover Velar D180 S,"3,990 mi.","$54,988"
5,2018 Land Rover Range Rover Velar P250 S,"7,150 mi.","$52,989"
6,2018 Land Rover Range Rover Velar P380 S,"6,524 mi.","$59,989"
7,2018 Land Rover Range Rover Velar P380 S,"9,836 mi.","$59,989"
8,2018 Land Rover Range Rover Velar D180 S,220 mi.,"$56,989"
9,2018 Land Rover Range Rover Velar P250 S,"8,926 mi.","$54,489"
10,2018 Land Rover Range Rover Velar D180 HSE R-Dynamic,"2,368 mi.","$62,995"
11,2018 Land Rover Range Rover Velar P380 S,"3,510 mi.","$61,498"
12,2018 Land Rover Range Rover Velar P380 S,"12,071 mi.","$59,995"
13,2019 Land Rover Range Rover Velar R-Dynamic SE,377 mi.,"$66,346"
14,2018 Land Rover Range Rover Velar P380 S,"7,717 mi.","$69,731"
15,2018 Land Rover Range Rover Velar P380 HSE R-Dynamic,"6,854 mi.","$71,888"
16,2018 Land Rover Range Rover Velar D180 S,"18,001 mi.","$49,898"
17,2018 Land Rover Range Rover Velar P380 S,"4,471 mi.","$54,990"
18,2018 Land Rover Range Rover Velar P250 S,"8,241 mi.","$51,200"
19,2018 Land Rover Range Rover Velar P380 SE R-Dynamic,"9,145 mi.","$66,995"
20,2018 Land Rover Range Rover Velar P380 SE R-Dynamic,"17,585 mi.","$62,134"
21,2018 Land Rover Range Rover Velar P380 HSE R-Dynamic,"8,221 mi.","$69,000"
22,2018 Land Rover Range Rover Velar P380 SE R-Dynamic,"8,320 mi.","$69,991"
23,2018 Land Rover Range Rover Velar P250 SE R-Dynamic,"3,950 mi.","$62,995"
24,2018 Land Rover Range Rover Velar P380 First Edition,"15,132 mi.","$74,900"
25,2018 Land Rover Range Rover Velar P380 SE R-Dynamic,"7,565 mi.","$60,000"
26,2018 Land Rover Range Rover Velar P250 S,"5,542 mi.","$54,000"
27,2018 Land Rover Range Rover Velar P250 SE R-Dynamic,"14,914 mi.","$58,000"
28,2019 Land Rover Range Rover Velar R-Dynamic SE,"1,785 mi.","$61,500"
29,2018 Land Rover Range Rover Velar P380 S,"8,186 mi.","$57,888"
30,2018 Land Rover Range Rover Velar P380 S,"5,965 mi.","$59,888"
31,2018 Land Rover Range Rover Velar P380 S,"7,299 mi.","$60,301"
32,2018 Land Rover Range Rover Velar P380 S,"8,186 mi.","$57,888"
33,2018 Land Rover Range Rover Velar P380 S,"5,965 mi.","$59,888"
34,2018 Land Rover Range Rover Velar P380 S,"6,002 mi.","$61,888"
35,2019 Land Rover Range Rover Velar P250 SE R-Dynamic,"2,279 mi.","$62,100"
36,2018 Land Rover Range Rover Velar P380 S,"2,950 mi.","$64,500"
37,2018 Land Rover Range Rover Velar P380 SE R-Dynamic,"3,949 mi.","$65,000"
38,2019 Land Rover Range Rover Velar P250 S,"1,481 mi.","$62,000"
39,2019 Land Rover Range Rover Velar P250 SE R-Dynamic,"3,226 mi.","$59,999"
40,2019 Land Rover Range Rover Velar P250 SE R-Dynamic,16 mi.,"$61,100"
41,2019 Land Rover Range Rover Velar P250 S,"1,358 mi.","$58,245"
42,2019 Land Rover Range Rover Velar P250 S,"2,684 mi.","$59,245"
43,2019 Land Rover Range Rover Velar P250 SE R-Dynamic,"2,025 mi.","$60,066"
44,2019 Land Rover Range Rover Velar P250 SE R-Dynamic,"3,604 mi.","$60,995"
45,2019 Land Rover Range Rover Velar P250 SE R-Dynamic,"2,838 mi.","$60,066"
46,2019 Land Rover Range Rover Velar P250 S,"2,778 mi.","$57,495"
