,Name,Mileage,Price
0,2016 Lexus ES 300h Base,"45,817 mi.","$25,995"
1,2016 Lexus ES 300h Base,"42,610 mi.","$26,987"
2,2015 Lexus ES 300h Base,"20,311 mi.","$26,815"
3,2016 Lexus ES 300h Base,"35,024 mi.","$29,943"
4,2016 Lexus ES 300h Base,"30,917 mi.","$26,990"
5,2016 Lexus ES 300h Base,"29,501 mi.","$27,998"
6,2016 Lexus ES 300h Base,"37,315 mi.","$27,574"
7,2016 Lexus ES 300h Base,"42,911 mi.","$28,922"
8,2016 Lexus ES 300h Base,"35,995 mi.","$29,135"
9,2016 Lexus ES 300h Base,"30,862 mi.","$29,211"
10,2016 Lexus ES 300h Base,"31,275 mi.","$26,784"
11,2016 Lexus ES 300h Base,"39,482 mi.","$26,396"
12,2016 Lexus ES 300h Base,"16,147 mi.","$30,615"
13,2016 Lexus ES 300h Base,"37,730 mi.","$28,556"
14,2016 Lexus ES 300h Base,"22,495 mi.","$29,496"
15,2016 Lexus ES 300h Base,"14,380 mi.","$29,907"
16,2014 Lexus ES 300h Base,"64,469 mi.","$20,000"
17,2016 Lexus ES 300h Base,"33,249 mi.","$29,900"
18,2015 Lexus ES 300h Base,"32,710 mi.","$27,500"
19,2017 Lexus ES 300h Base,"21,787 mi.","$35,300"
20,2016 Lexus ES 300h Base,"22,427 mi.","$31,988"
21,2016 Lexus ES 300h Base,"28,954 mi.","$31,988"
22,2016 Lexus ES 300h Base,"40,727 mi.","$26,400"
23,2015 Lexus ES 300h Base,"38,993 mi.","$22,995"
24,2016 Lexus ES 300h Base,"40,670 mi.","$24,995"
25,2016 Lexus ES 300h Base,"46,214 mi.","$25,988"
26,2016 Lexus ES 300h Base,"35,689 mi.","$28,224"
27,2016 Lexus ES 300h Base,"28,323 mi.","$30,768"
28,2018 Lexus ES 300h Base,"3,616 mi.","$37,000"
29,2016 Lexus ES 300h Base,"20,672 mi.","$29,988"
30,2017 Lexus ES 300h Base,"18,700 mi.","$35,000"
31,2017 Lexus ES 300h Base,"26,281 mi.","$33,500"
32,2017 Lexus ES 300h Base,"28,899 mi.","$30,668"
33,2016 Lexus ES 300h Base,"37,921 mi.","$25,900"
34,2016 Lexus ES 300h Base,"21,363 mi.","$26,500"
35,2015 Lexus ES 300h Base,"33,561 mi.","$23,495"
36,2017 Lexus ES 300h Base,"6,129 mi.","$34,275"
37,2016 Lexus ES 300h Base,"37,117 mi.","$27,498"
38,2016 Lexus ES 300h Base,"50,783 mi.","$26,285"
