,Name,Mileage,Price
0,2007 Lexus ES 350,"101,976 mi.","$8,914"
1,2018 Lexus ES 350 Base,"13,056 mi.","$34,988"
2,2017 Lexus ES 350 Base,"6,565 mi.","$31,999"
3,2015 Lexus ES 350 Base,"29,982 mi.","$24,152"
4,2016 Lexus ES 350 Base,"28,659 mi.","$24,000"
5,2013 Lexus ES 350 Base,"45,484 mi.","$19,991"
6,2015 Lexus ES 350 Base,"37,406 mi.","$21,960"
7,2016 Lexus ES 350 Base,"21,007 mi.","$33,490"
8,2007 Lexus ES 350,"104,000 mi.","$8,798"
9,2014 Lexus ES 350 Base,"57,875 mi.","$19,253"
10,2013 Lexus ES 350 Base,"76,292 mi.","$15,995"
11,2008 Lexus ES 350 Base,"78,722 mi.","$11,987"
12,2011 Lexus ES 350 Base,"97,581 mi.","$11,950"
13,2007 Lexus ES 350 Base,"178,901 mi.","$6,987"
14,2014 Lexus ES 350 Base,"52,301 mi.","$21,286"
15,2014 Lexus ES 350 Base,"47,347 mi.","$18,995"
16,2017 Lexus ES 350 Base,"19,569 mi.","$29,500"
17,2017 Lexus ES 350 Base,"19,959 mi.","$34,950"
18,2013 Lexus ES 350 Base,"48,218 mi.","$21,550"
19,2014 Lexus ES 350 Base,"33,561 mi.","$20,500"
20,2015 Lexus ES 350 350,"29,998 mi.","$22,190"
21,2016 Lexus ES 350 Base,"39,172 mi.","$21,399"
22,2012 Lexus ES 350,"74,392 mi.","$12,495"
23,2011 Lexus ES 350 Base,"61,352 mi.","$16,315"
24,2015 Lexus ES 350 350,"36,897 mi.","$17,499"
25,2016 Lexus ES 350 Base,"39,172 mi.","$21,399"
26,2014 Lexus ES 350 Base,"76,731 mi.","$17,983"
27,2012 Lexus ES 350 Base,"42,497 mi.","$16,500"
28,2017 Lexus ES 350 Base,"8,489 mi.","$33,990"
29,2014 Lexus ES 350 Base,"40,983 mi.","$20,790"
30,2016 Lexus ES 350 Base,"45,122 mi.","$27,900"
31,2016 Lexus ES 350 Base,"35,847 mi.","$28,900"
32,2019 Lexus ES 350 Luxury,647 mi.,"$46,980"
33,2012 Lexus ES 350 Base,"43,940 mi.","$17,878"
34,2015 Lexus ES 350,"34,122 mi.","$26,500"
35,2015 Lexus ES 350 350,"61,694 mi.","$21,000"
36,2008 Lexus ES 350,"106,768 mi.","$9,900"
37,2011 Lexus ES 350,"65,402 mi.","$13,500"
38,2016 Lexus ES 350 Base,"38,490 mi.","$25,488"
39,2008 Lexus ES 350,"90,618 mi.","$9,352"
40,2016 Lexus ES 350 Base,"11,173 mi.","$28,434"
41,2015 Lexus ES 350 Base,"55,531 mi.","$20,570"
42,2014 Lexus ES 350 Base,"53,614 mi.","$20,032"
43,2013 Lexus ES 350 Base,"62,415 mi.","$18,847"
44,2015 Lexus ES 350,"60,292 mi.","$20,933"
45,2015 Lexus ES 350 350,"41,829 mi.","$18,499"
46,2015 Lexus ES 350 350,"44,360 mi.","$19,899"
47,2015 Lexus ES 350 350,"43,481 mi.","$17,999"
48,2015 Lexus ES 350 350,"36,897 mi.","$17,499"
49,2015 Lexus ES 350 350,"19,471 mi.","$19,199"
50,2014 Lexus ES 350 Base,"45,000 mi.","$18,995"
51,2010 Lexus ES 350,"114,952 mi.","$11,998"
52,2013 Lexus ES 350 Base,"101,082 mi.","$14,497"
53,2016 Lexus ES 350 Base,"27,580 mi.","$26,965"
54,2015 Lexus ES 350 350,"40,349 mi.","$17,989"
55,2016 Lexus ES 350 Base,"24,842 mi.","$25,995"
56,2015 Lexus ES 350 350,"37,627 mi.","$20,989"
57,2016 Lexus ES 350 Base,"10,702 mi.","$25,997"
58,2016 Lexus ES 350 Base,"32,858 mi.","$22,399"
59,2016 Lexus ES 350 Base,"33,912 mi.","$22,599"
60,2014 Lexus ES 350 Base,"24,797 mi.","$19,500"
61,2014 Lexus ES 350 Base,"66,532 mi.","$16,958"
62,2015 Lexus ES 350 350,"27,069 mi.","$19,999"
63,2015 Lexus ES 350 350,"19,494 mi.","$18,399"
64,2009 Lexus ES 350,"73,343 mi.","$10,498"
65,2016 Lexus ES 350 Base,"22,862 mi.","$29,950"
66,2015 Lexus ES 350 350,"29,817 mi.","$18,998"
67,2016 Lexus ES 350 Base,"19,878 mi.","$26,000"
68,2015 Lexus ES 350 Base,"36,897 mi.","$17,499"
69,2017 Lexus ES 350 Base,"18,986 mi.","$26,699"
70,2015 Lexus ES 350 Base,"19,471 mi.","$19,199"
71,2015 Lexus ES 350 Base,"37,503 mi.","$18,299"
72,2016 Lexus ES 350 Base,"63,376 mi.","$21,995"
73,2017 Lexus ES 350 Base,"15,824 mi.","$31,887"
74,2015 Lexus ES 350 350 PKG NAV HEATED/COOLED SUNROOF,"42,616 mi.","$20,995"
75,2015 Lexus ES 350 350,"36,897 mi.","$17,499"
76,2015 Lexus ES 350 350,"19,494 mi.","$18,399"
77,2015 Lexus ES 350 350,"27,069 mi.","$19,999"
78,2015 Lexus ES 350 Base,"50,951 mi.","$17,295"
79,2016 Lexus ES 350 Base,"11,068 mi.","$22,994"
80,2016 Lexus ES 350 Base,"31,847 mi.","$21,485"
81,2016 Lexus ES 350 Base,"37,558 mi.","$21,495"
82,2016 Lexus ES 350 Base,"38,030 mi.","$21,495"
83,2015 Lexus ES 350 350,"36,897 mi.","$17,499"
84,2014 Lexus ES 350 Base,"36,190 mi.","$20,800"
85,2014 Lexus ES 350 Base,"40,036 mi.","$20,978"
86,2015 Lexus ES 350 350 NAVIGATION PACKAGE BLIND SPOT MONITOR 17,"30,643 mi.","$22,821"
87,2011 Lexus ES 350,"33,958 mi.","$16,995"
88,2016 Lexus ES 350 Base,"13,199 mi.","$28,988"
89,2016 Lexus ES 350,"12,218 mi.","$28,988"
90,2015 Lexus ES 350,"60,277 mi.","$18,499"
91,2015 Lexus ES 350 NAV,"31,425 mi.","$22,977"
92,2012 Lexus ES 350 Base,"45,691 mi.","$16,977"
93,2013 Lexus ES 350 Base,"55,550 mi.","$18,450"
94,2016 Lexus ES 350 Base,"35,826 mi.","$28,997"
95,2009 Lexus ES 350 Base,"130,522 mi.","$6,900"
96,2015 Lexus ES 350 Base,"28,300 mi.","$25,488"
97,2016 Lexus ES 350 Base,"26,655 mi.","$25,996"
98,2013 Lexus ES 350 Base,"41,522 mi.","$15,999"
99,2013 Lexus ES 350 Base,"89,821 mi.","$16,990"
100,2012 Lexus ES 350 Base,"76,642 mi.","$15,500"
101,2016 Lexus ES 350 Base,"25,790 mi.","$25,498"
102,2012 Lexus ES 350 Base,"94,910 mi.","$12,980"
103,2015 Lexus ES 350,"27,371 mi.","$24,864"
104,2017 Lexus ES 350 Base,"12,189 mi.","$33,217"
105,2016 Lexus ES 350 Base,"30,343 mi.","$23,300"
106,2011 Lexus ES 350 Base,"90,849 mi.","$11,341"
107,2016 Lexus ES 350 Base,"8,626 mi.","$26,490"
108,2016 Lexus ES 350 Base,"38,800 mi.","$26,950"
109,2015 Lexus ES 350 Base,"12,918 mi.","$23,596"
110,2016 Lexus ES 350 Base,"28,300 mi.","$26,200"
111,2016 Lexus ES 350 Base,"42,010 mi.","$23,790"
112,2015 Lexus ES 350 Base,"37,606 mi.","$25,443"
113,2015 Lexus ES 350 Base,"35,852 mi.","$25,815"
114,2014 Lexus ES 350 Base,"38,732 mi.","$20,882"
115,2012 Lexus ES 350 Base,"37,207 mi.","$16,998"
116,2011 Lexus ES 350,"82,091 mi.","$11,999"
117,2017 Lexus ES 350 Base,"16,279 mi.","$28,991"
118,2012 Lexus ES 350 Base,"79,290 mi.","$14,543"
119,2016 Lexus ES 350 Base,"30,953 mi.","$28,490"
120,2015 Lexus ES 350 Base,"14,102 mi.","$22,719"
121,2015 Lexus ES 350 Base,"42,913 mi.","$20,900"
122,2013 Lexus ES 350 Base,"63,554 mi.","$17,999"
123,2013 Lexus ES 350 Base,"32,765 mi.","$19,950"
124,2016 Lexus ES 350 Base,"30,414 mi.","$26,998"
125,2016 Lexus ES 350 Base,"26,593 mi.","$26,999"
126,2012 Lexus ES 350 Base,"32,251 mi.","$18,500"
127,2015 Lexus ES 350,"33,212 mi.","$22,900"
128,2016 Lexus ES 350 Base,"34,590 mi.","$28,989"
129,2014 Lexus ES 350 Base,"37,075 mi.","$20,500"
130,2014 Lexus ES 350 Base,"39,537 mi.","$19,650"
131,2016 Lexus ES 350 Base,"55,301 mi.","$26,900"
132,2017 Lexus ES 350 Base,"34,735 mi.","$27,800"
133,2016 Lexus ES 350 Base,"16,956 mi.","$26,998"
134,2012 Lexus ES 350 Base,"62,356 mi.","$14,926"
135,2015 Lexus ES 350 350,"81,565 mi.","$17,290"
136,2016 Lexus ES 350 Base,"39,172 mi.","$21,399"
137,2013 Lexus ES 350 Base,"63,795 mi.","$17,000"
138,2016 Lexus ES 350 Base,"28,911 mi.","$24,577"
139,2014 Lexus ES 350 Base,"80,510 mi.","$17,982"
140,2014 Lexus ES 350 Base,"22,030 mi.","$22,933"
141,2013 Lexus ES 350 Base,"70,156 mi.","$17,000"
142,2017 Lexus ES 350 Base,"46,019 mi.","$26,000"
143,2015 Lexus ES 350 350,"40,156 mi.","$22,500"
144,2014 Lexus ES 350 Base,"62,504 mi.","$17,700"
145,2015 Lexus ES 350 Base,"61,076 mi.","$19,290"
146,2016 Lexus ES 350 Base,"30,287 mi.","$24,350"
147,2015 Lexus ES 350 Base,"64,342 mi.","$18,790"
148,2016 Lexus ES 350 Base,"37,374 mi.","$26,900"
149,2014 Lexus ES 350,"26,955 mi.","$20,595"
150,2014 Lexus ES 350 Base,"60,750 mi.","$18,999"
151,2017 Lexus ES 350 Base,"11,226 mi.","$29,800"
152,2015 Lexus ES 350,"16,764 mi.","$21,395"
153,2013 Lexus ES 350 Base,"62,477 mi.","$14,996"
154,2013 Lexus ES 350 Base,"68,751 mi.","$15,821"
155,2016 Lexus ES 350 Base,"27,569 mi.","$27,995"
156,2015 Lexus ES 350 Base,"10,613 mi.","$22,499"
157,2015 Lexus ES 350 Base,"45,756 mi.","$17,999"
158,2017 Lexus ES 350 Base,"12,851 mi.","$28,720"
159,2011 Lexus ES 350 Base,"62,489 mi.","$14,169"
160,2016 Lexus ES 350 Base,"23,728 mi.","$25,491"
161,2007 Lexus ES 350,"117,113 mi.","$6,495"
162,2015 Lexus ES 350 Base,"30,125 mi.","$17,994"
163,2010 Lexus ES 350 Base,"91,884 mi.","$11,891"
164,2015 Lexus ES 350 Base,"36,316 mi.","$20,395"
165,2016 Lexus ES 350 Base,"39,172 mi.","$21,399"
166,2015 Lexus ES 350 Base,"33,847 mi.","$18,899"
167,2015 Lexus ES 350 Base,"36,740 mi.","$19,999"
168,2016 Lexus ES 350 Base,"17,070 mi.","$22,999"
169,2015 Lexus ES 350 Base,"12,325 mi.","$20,999"
170,2013 Lexus ES 350,"56,066 mi.","$21,899"
171,2011 Lexus ES 350 Base,"66,527 mi.","$15,988"
172,2007 Lexus ES 350 Base,"149,830 mi.","$6,983"
173,2013 Lexus ES 350 Base,"68,807 mi.","$16,495"
174,2010 Lexus ES 350,"32,539 mi.","$14,991"
175,2014 Lexus ES 350 Base,"46,955 mi.","$18,740"
176,2008 Lexus ES 350 Base,"81,510 mi.","$8,998"
177,2015 Lexus ES 350 Base,"38,132 mi.","$18,500"
178,2007 Lexus ES 350,"99,849 mi.","$5,965"
179,2015 Lexus ES 350 350,"45,978 mi.","$21,798"
180,2015 Lexus ES 350 Base,"40,543 mi.","$18,395"
181,2016 Lexus ES 350 Base,"25,916 mi.","$26,188"
182,2017 Lexus ES 350 Base,"8,846 mi.","$30,714"
183,2016 Lexus ES 350 Base,"32,977 mi.","$25,900"
184,2016 Lexus ES 350 Base,"13,057 mi.","$27,998"
185,2016 Lexus ES 350 Base,"25,119 mi.","$28,599"
186,2011 Lexus ES 350 Base,"94,645 mi.","$11,833"
187,2017 Lexus ES 350 Base,"13,765 mi.","$31,342"
188,2014 Lexus ES 350 Base,"23,972 mi.","$20,995"
189,2011 Lexus ES 350 Base,"64,851 mi.","$13,278"
190,2015 Lexus ES 350 Crafted Line,"19,560 mi.","$25,999"
191,2016 Lexus ES 350 Base,"36,157 mi.","$27,454"
192,2013 Lexus ES 350 Base,"11,182 mi.","$23,997"
193,2016 Lexus ES 350 Base,"26,012 mi.","$26,500"
194,2016 Lexus ES 350 Base,"10,256 mi.","$29,488"
195,2012 Lexus ES 350 Base,"49,831 mi.","$17,488"
196,2014 Lexus ES 350,"34,354 mi.","$18,983"
197,2012 Lexus ES 350,"46,118 mi.","$17,498"
198,2012 Lexus ES 350,"87,849 mi.","$14,498"
199,2014 Lexus ES 350,"31,993 mi.","$22,298"
200,2015 Lexus ES 350 Base,"23,651 mi.","$21,988"
201,2016 Lexus ES 350 Base,"53,632 mi.","$25,956"
202,2007 Lexus ES 350 Base,"89,202 mi.","$11,888"
203,2015 Lexus ES 350 Base,"21,338 mi.","$25,928"
204,2016 Lexus ES 350 Base,"32,677 mi.","$27,500"
205,2016 Lexus ES 350 Base,"39,954 mi.","$22,050"
206,2016 Lexus ES 350 Base,"15,913 mi.","$31,488"
207,2013 Lexus ES 350 Base,"44,329 mi.","$18,500"
208,2017 Lexus ES 350 Base,"33,710 mi.","$31,980"
209,2015 Lexus ES 350 Base,"24,445 mi.","$23,862"
210,2013 Lexus ES 350 Base,"79,055 mi.","$15,989"
211,2014 Lexus ES 350,"47,148 mi.","$20,796"
212,2016 Lexus ES 350,"37,916 mi.","$30,899"
213,2012 Lexus ES 350 Base,"25,197 mi.","$17,900"
214,2016 Lexus ES 350 Base,"27,612 mi.","$24,909"
215,2016 Lexus ES 350 Base,"75,172 mi.","$19,777"
216,2015 Lexus ES 350 350,"32,132 mi.","$22,300"
217,2015 Lexus ES 350 350,"47,054 mi.","$20,800"
218,2015 Lexus ES 350 350,"26,689 mi.","$22,800"
219,2008 Lexus ES 350 Base,"105,371 mi.","$9,980"
220,2015 Lexus ES 350 Base,"44,247 mi.","$21,439"
221,2016 Lexus ES 350 Base,"41,800 mi.","$26,490"
222,2018 Lexus ES 350 Base,"13,157 mi.","$34,787"
223,2015 Lexus ES 350,"25,229 mi.","$23,998"
224,2016 Lexus ES 350 Base,"20,690 mi.","$25,998"
225,2010 Lexus ES 350 Base,"68,458 mi.","$14,700"
226,2016 Lexus ES 350 Base,"41,113 mi.","$28,700"
227,2013 Lexus ES 350 Base,"46,347 mi.","$19,990"
228,2013 Lexus ES 350 Base,"35,579 mi.","$20,990"
229,2014 Lexus ES 350 Base,"45,945 mi.","$20,823"
230,2016 Lexus ES 350 Base,"56,765 mi.","$23,452"
231,2016 Lexus ES 350 Base,"26,620 mi.","$28,510"
232,2015 Lexus ES 350,"37,138 mi.","$22,998"
233,2016 Lexus ES 350,"34,140 mi.","$29,000"
234,2018 Lexus ES 350,"14,193 mi.","$34,500"
235,2016 Lexus ES 350,"45,936 mi.","$23,587"
236,2016 Lexus ES 350 Base,"10,071 mi.","$28,839"
237,2013 Lexus ES 350 Base,"60,979 mi.","$19,998"
238,2014 Lexus ES 350 Base,"49,945 mi.","$18,900"
239,2015 Lexus ES 350,"33,326 mi.","$21,797"
240,2016 Lexus ES 350 Base,"17,070 mi.","$22,999"
241,2014 Lexus ES 350 Base,"41,558 mi.","$23,000"
242,2014 Lexus ES 350 Base,"31,229 mi.","$22,990"
