,Name,Mileage,Price
0,2016 Lexus GS 200t,"26,222 mi.","$28,991"
1,2016 Lexus GS 200t 4dr Sdn RWD,"40,472 mi.","$27,888"
2,2016 Lexus GS 200t NAVIGATION BSM,"23,704 mi.","$26,998"
3,2017 Lexus GS 200t,"1,494 mi.","$34,100"
4,2017 Lexus GS 200t 200T,"9,402 mi.","$33,417"
5,2017 Lexus GS 200t Luxury,"8,545 mi.","$36,500"
6,2016 Lexus GS 200t,"38,655 mi.","$24,988"
7,2016 Lexus GS 200t 200T,"30,150 mi.","$29,995"
8,2017 Lexus GS 200t,"1,494 mi.","$34,100"
9,2016 Lexus GS 200t 200t,"28,254 mi.","$26,500"
10,2017 Lexus GS 200t,"1,494 mi.","$34,100"
11,2016 Lexus GS 200t GS 200t Sedan 4D,"18,932 mi.","$29,989"
12,2016 Lexus GS 200t Base,"42,432 mi.","$25,600"
13,2016 Lexus GS 200t L,"31,776 mi.","$27,991"
14,2017 Lexus GS 200t,"1,494 mi.","$34,100"
15,2017 Lexus GS 200t,"1,494 mi.","$34,100"
16,2016 Lexus GS 200t 200T,"18,966 mi.","$30,782"
17,2016 Lexus GS 200t 200T,"28,869 mi.","$28,489"
18,2016 Lexus GS 200t RWD,"14,665 mi.","$28,911"
19,2017 Lexus GS 200t,"1,494 mi.","$34,100"
20,2016 Lexus GS 200t 200T,"28,015 mi.","$26,900"
21,2016 Lexus GS 200t,"9,229 mi.","$29,998"
22,2016 Lexus GS 200t 200T,"77,909 mi.","$23,921"
23,2016 Lexus GS 200t F Sport,"21,420 mi.","$33,900"
24,2016 Lexus GS 200t 200T NAV SUNROOF BLIND SPOT 18IN WLS,"41,431 mi.","$30,390"
25,2016 Lexus GS 200t 200T,"48,842 mi.","$23,999"
26,2017 Lexus GS 200t,"1,494 mi.","$34,100"
27,2017 Lexus GS 200t,"1,494 mi.","$34,100"
28,2016 Lexus GS 200t 200T,"48,842 mi.","$23,999"
29,2017 Lexus GS 200t,"1,494 mi.","$34,100"
30,2017 Lexus GS 200t,"1,494 mi.","$34,100"
31,2016 Lexus GS 200t 4dr Sdn RWD,"7,533 mi.","$28,900"
32,2016 Lexus GS 200t 4dr Sdn RWD,"9,413 mi.","$28,900"
