,Name,Mileage,Price
0,2017 Lexus GS F Base,"24,543 mi.","$62,981"
1,2016 Lexus GS F Base,"21,927 mi.","$53,980"
2,2016 Lexus GS F Base,"21,927 mi.","$53,980"
3,2016 Lexus GS F Base,"21,927 mi.","$53,980"
4,2016 Lexus GS F Base,"18,666 mi.","$54,930"
5,2016 Lexus GS F Base,"21,927 mi.","$53,980"
6,2016 Lexus GS F Base,"18,666 mi.","$54,930"
7,2016 Lexus GS F Base,"21,927 mi.","$53,980"
8,2016 Lexus GS F Base,"18,666 mi.","$54,930"
9,2016 Lexus GS F Base,"18,666 mi.","$54,930"
10,2018 Lexus GS F Base,"5,942 mi.","$68,996"
11,2016 Lexus GS F Base,"18,666 mi.","$54,930"
12,2016 Lexus GS F Base,"21,927 mi.","$53,980"
13,2016 Lexus GS F Base,"21,927 mi.","$53,980"
14,2016 Lexus GS F Base,"18,666 mi.","$54,930"
15,2016 Lexus GS F Base,"21,927 mi.","$53,980"
16,2016 Lexus GS F Base,"21,927 mi.","$53,980"
17,2016 Lexus GS F Base,"18,666 mi.","$54,930"
18,2016 Lexus GS F Base,"21,927 mi.","$53,980"
19,2017 Lexus GS F Base,"17,171 mi.","$58,899"
20,2016 Lexus GS F Base,"18,666 mi.","$54,930"
21,2016 Lexus GS F Base,"18,666 mi.","$54,930"
22,2016 Lexus GS F Base,"21,927 mi.","$53,980"
23,2017 Lexus GS F Base,"17,171 mi.","$58,899"
24,2016 Lexus GS F Base,"18,666 mi.","$54,930"
25,2016 Lexus GS F Base,"18,666 mi.","$54,930"
26,2016 Lexus GS F Base,"18,666 mi.","$54,930"
27,2016 Lexus GS F Base,"21,927 mi.","$53,980"
28,2016 Lexus GS F Base,"18,666 mi.","$54,930"
29,2016 Lexus GS F Base,"18,666 mi.","$54,930"
30,2016 Lexus GS F Base,"18,666 mi.","$54,930"
31,2016 Lexus GS F Base,"18,666 mi.","$54,930"
32,2016 Lexus GS F Base,"21,927 mi.","$53,980"
33,2017 Lexus GS F Base,"17,171 mi.","$58,899"
34,2016 Lexus GS F Base,"18,666 mi.","$54,930"
35,2017 Lexus GS F Base,"17,171 mi.","$58,899"
36,2016 Lexus GS F Base,"21,927 mi.","$53,980"
37,2016 Lexus GS F F,"4,667 mi.","$58,000"
38,2016 Lexus GS F Base,"18,666 mi.","$54,930"
39,2016 Lexus GS F Base,"21,927 mi.","$53,980"
40,2016 Lexus GS F Base,"21,927 mi.","$53,980"
41,2016 Lexus GS F Base,"21,927 mi.","$53,980"
42,2017 Lexus GS F Base,"17,171 mi.","$58,899"
43,2016 Lexus GS F Base,"21,927 mi.","$53,980"
44,2016 Lexus GS F Base,"21,927 mi.","$53,980"
45,2016 Lexus GS F Base,"18,666 mi.","$54,930"
46,2016 Lexus GS F Base,"21,927 mi.","$53,980"
47,2016 Lexus GS F Base,"21,927 mi.","$53,980"
48,2016 Lexus GS F Base,"18,666 mi.","$54,930"
49,2017 Lexus GS F Base,"17,171 mi.","$58,899"
50,2017 Lexus GS F Base,"17,171 mi.","$58,899"
51,2016 Lexus GS F Base,"18,666 mi.","$54,930"
52,2016 Lexus GS F Base,"18,666 mi.","$54,930"
53,2016 Lexus GS F Base,"21,927 mi.","$53,980"
54,2016 Lexus GS F Base,"18,666 mi.","$54,930"
55,2017 Lexus GS F Base,"17,171 mi.","$58,899"
56,2017 Lexus GS F Base,"17,171 mi.","$58,899"
57,2016 Lexus GS F Base,"18,666 mi.","$54,930"
58,2016 Lexus GS F Base,"21,927 mi.","$53,980"
59,2016 Lexus GS F Base,"18,666 mi.","$54,930"
60,2016 Lexus GS F Base,"21,927 mi.","$53,980"
61,2016 Lexus GS F Base,"21,927 mi.","$53,980"
62,2016 Lexus GS F Base,"9,240 mi.","$54,739"
63,2016 Lexus GS F 4dr Sdn,"17,165 mi.","$69,995"
64,2016 Lexus GS F 4dr Sdn,"27,644 mi.","$48,996"
65,2016 Lexus GS F Base,"25,707 mi.","$47,500"
66,2017 Lexus GS F Base,"13,722 mi.","$62,680"
67,2016 Lexus GS F 4dr Sdn,"39,751 mi.","$49,978"
68,2016 Lexus GS F Base,"37,770 mi.","$46,990"
69,2016 Lexus GS F F,"16,250 mi.","$52,992"
70,2016 Lexus GS F Base,"13,972 mi.","$51,668"
71,2017 Lexus GS F Base,"9,211 mi.","$59,998"
72,2016 Lexus GS F Base,"18,009 mi.","$49,987"
73,2016 Lexus GS F 4dr Sdn,"22,775 mi.","$50,995"
74,2016 Lexus GS F Base,"17,024 mi.","$48,500"
75,2018 Lexus GS F Base,"8,189 mi.","$73,988"
76,2016 Lexus GS F Base,"30,678 mi.","$49,747"
77,2017 Lexus GS F Base,"17,538 mi.","$59,500"
78,2018 Lexus GS F Base,19 mi.,"$74,888"
79,2016 Lexus GS F Base,"28,832 mi.","$50,998"
80,2016 Lexus GS F 4dr Sdn,"14,810 mi.","$55,829"
81,2016 Lexus GS F 4dr Sdn,"18,285 mi.","$53,000"
82,2016 Lexus GS F 4dr Sdn,"19,766 mi.","$49,900"
83,2016 Lexus GS F Base,"13,092 mi.","$43,999"
84,2016 Lexus GS F 4dr Sdn,"30,371 mi.","$51,499"
85,2016 Lexus GS F Base,"9,350 mi.","$52,997"
86,2016 Lexus GS F Base,"16,816 mi.","$48,396"
87,2017 Lexus GS F Base,"4,320 mi.","$68,798"
88,2018 Lexus GS F Base,79 mi.,"$71,900"
89,2018 Lexus GS F,"1,635 mi.","$69,990"
90,2017 Lexus GS F Base,"12,682 mi.","$61,415"
91,2016 Lexus GS F 4dr Sdn,"17,224 mi.","$49,988"
92,2016 Lexus GS F 4dr Sdn,"14,588 mi.","$52,988"
93,2016 Lexus GS F 4dr Sdn,"9,240 mi.","$54,739"
94,2016 Lexus GS F Base,"27,638 mi.","$53,900"
95,2016 Lexus GS F 4dr Sdn,"13,842 mi.","$56,950"
96,2017 Lexus GS F,"15,121 mi.","$59,885"
97,2016 Lexus GS F Base,"28,897 mi.","$49,950"
98,2016 Lexus GS F,"19,007 mi.","$53,888"
99,2016 Lexus GS F,"31,391 mi.","$51,991"
100,2016 Lexus GS F 4dr Sdn,"18,147 mi.","$54,988"
101,2016 Lexus GS F Base,"25,270 mi.","$53,999"
102,2017 Lexus GS F,"16,122 mi.",Not Priced
103,2018 Lexus GS F Base,"10,980 mi.","$65,997"
104,2018 Lexus GS F Base,64 mi.,"$75,990"
