,Name,Mileage,Price
0,2016 Lexus GX 460 Base,"37,085 mi.","$36,997"
1,2017 Lexus GX 460 Base,"16,945 mi.","$43,800"
2,2015 Lexus GX 460 Base,"70,685 mi.","$33,779"
3,2011 Lexus GX 460 Base,"123,320 mi.","$19,500"
4,2014 Lexus GX 460 Luxury,"72,975 mi.","$33,488"
5,2015 Lexus GX 460 Luxury,"22,660 mi.","$35,200"
6,2012 Lexus GX 460 Premium,"92,465 mi.","$26,951"
7,2018 Lexus GX 460 Luxury,"22,460 mi.","$56,055"
8,2010 Lexus GX 460 Premium,"107,555 mi.","$22,988"
9,2017 Lexus GX 460 Base,"26,970 mi.","$45,900"
10,2015 Lexus GX 460 Base,"43,096 mi.","$34,599"
11,2016 Lexus GX 460 Base,"31,209 mi.","$39,984"
12,2014 Lexus GX 460 Base,"67,571 mi.","$29,995"
13,2014 Lexus GX 460 Luxury,"42,054 mi.","$35,880"
14,2017 Lexus GX 460 Base,"27,532 mi.","$45,400"
15,2015 Lexus GX 460 Base,"27,327 mi.","$37,998"
16,2016 Lexus GX 460 Base,"43,458 mi.","$35,495"
17,2017 Lexus GX 460 Base,"27,298 mi.","$42,495"
18,2010 Lexus GX 460 Base,"116,355 mi.","$19,622"
19,2016 Lexus GX 460 Base,"42,583 mi.","$39,498"
20,2016 Lexus GX 460 Base,"45,768 mi.","$42,998"
21,2016 Lexus GX 460 Base,"54,733 mi.","$35,442"
22,2016 Lexus GX 460 Luxury,"39,355 mi.","$37,199"
23,2016 Lexus GX 460 Base,"40,164 mi.","$35,250"
24,2016 Lexus GX 460 Base,"62,990 mi.","$33,494"
25,2015 Lexus GX 460 Luxury,"36,096 mi.","$32,799"
26,2016 Lexus GX 460 Base,"36,004 mi.","$32,999"
27,2016 Lexus GX 460 Base,"35,270 mi.","$38,998"
28,2015 Lexus GX 460 Base,"38,256 mi.","$34,888"
29,2016 Lexus GX 460 Base,"55,295 mi.","$33,998"
30,2017 Lexus GX 460 Base,"14,308 mi.","$45,926"
31,2017 Lexus GX 460,"16,756 mi.","$41,910"
32,2016 Lexus GX 460 Base,"41,455 mi.","$37,490"
33,2015 Lexus GX 460 Base,"19,479 mi.","$37,865"
34,2011 Lexus GX 460 Base,"58,463 mi.","$25,997"
35,2013 Lexus GX 460 Premium,"93,025 mi.","$26,353"
36,2016 Lexus GX 460 Base,"63,533 mi.","$33,391"
37,2015 Lexus GX 460 Base,"32,851 mi.","$35,950"
38,2016 Lexus GX 460 Luxury,"47,870 mi.","$41,950"
39,2016 Lexus GX 460 Base,"62,181 mi.","$34,000"
40,2017 Lexus GX 460 Luxury,"22,770 mi.","$49,900"
41,2015 Lexus GX 460,"50,037 mi.","$33,500"
42,2015 Lexus GX 460,"56,516 mi.","$33,000"
43,2015 Lexus GX 460 Base,"23,323 mi.","$35,979"
44,2016 Lexus GX 460 Luxury,"39,355 mi.","$37,199"
45,2011 Lexus GX 460 Base,"90,834 mi.","$21,798"
46,2015 Lexus GX 460 Luxury,"56,224 mi.","$36,663"
47,2015 Lexus GX 460 Luxury,"39,019 mi.","$35,594"
48,2016 Lexus GX 460 Base,"37,506 mi.","$38,819"
49,2018 Lexus GX 460 Luxury,"4,302 mi.","$61,000"
50,2015 Lexus GX 460,"70,218 mi.","$32,000"
51,2017 Lexus GX 460,"38,631 mi.","$42,500"
52,2015 Lexus GX 460 Base,"52,622 mi.","$32,496"
53,2015 Lexus GX 460 Luxury,"60,205 mi.","$34,881"
54,2017 Lexus GX 460 Base,"49,395 mi.","$39,998"
55,2015 Lexus GX 460 Luxury,"36,096 mi.","$32,799"
56,2016 Lexus GX 460 Base,"27,245 mi.","$41,000"
57,2015 Lexus GX 460 Base,"24,133 mi.","$40,492"
58,2016 Lexus GX 460 Base,"33,107 mi.","$36,988"
59,2018 Lexus GX 460 Base,"6,692 mi.","$47,497"
60,2016 Lexus GX 460 Luxury,"29,383 mi.","$44,995"
61,2015 Lexus GX 460 Base,"69,452 mi.","$31,995"
62,2016 Lexus GX 460 Base,"37,807 mi.","$36,989"
63,2015 Lexus GX 460 Base,"18,247 mi.","$35,999"
64,2016 Lexus GX 460 Base,"34,469 mi.","$34,999"
65,2016 Lexus GX 460 Base,"36,480 mi.","$34,999"
66,2015 Lexus GX 460 Base,"38,782 mi.","$31,999"
67,2015 Lexus GX 460 Base,"24,262 mi.","$32,299"
68,2017 Lexus GX 460 Base,"24,316 mi.","$40,643"
69,2017 Lexus GX 460 Luxury,"31,088 mi.","$39,299"
70,2014 Lexus GX 460 Luxury,"38,855 mi.","$38,420"
71,2015 Lexus GX 460 Base,"14,137 mi.","$34,488"
72,2014 Lexus GX 460 Base,"19,936 mi.","$34,980"
73,2015 Lexus GX 460 Base,"33,131 mi.","$36,695"
74,2017 Lexus GX 460 Base,"21,167 mi.","$43,990"
75,2016 Lexus GX 460 Luxury,"39,355 mi.","$37,199"
76,2015 Lexus GX 460 Base,"38,782 mi.","$31,999"
77,2015 Lexus GX 460 Base,"41,538 mi.","$30,997"
78,2015 Lexus GX 460 Luxury,"43,618 mi.","$35,999"
79,2018 Lexus GX 460 Base,"14,506 mi.","$48,998"
80,2013 Lexus GX 460 460,"76,585 mi.","$25,500"
81,2016 Lexus GX 460 Base,"29,105 mi.","$37,995"
