,Name,Mileage,Price
0,2014 Lexus IS 350 Base,"66,881 mi.","$23,536"
1,2018 Lexus IS 350 Base,"6,678 mi.","$37,898"
2,2017 Lexus IS 350 Base,"8,774 mi.","$34,888"
3,2016 Lexus IS 350 Base,"22,010 mi.","$30,000"
4,2016 Lexus IS 350 Base,"22,916 mi.","$28,996"
5,2014 Lexus IS 350 Base,"19,566 mi.","$25,950"
6,2007 Lexus IS 350 Base,"62,510 mi.","$13,998"
7,2016 Lexus IS 350 Base,"23,118 mi.","$35,995"
8,2016 Lexus IS 350 Base,"20,529 mi.","$34,275"
9,2015 Lexus IS 350 Base,"36,737 mi.","$28,500"
10,2015 Lexus IS 350 Base,"61,626 mi.","$24,995"
11,2014 Lexus IS 350 Base,"29,922 mi.","$23,998"
12,2017 Lexus IS 350 Base,"12,901 mi.","$38,988"
13,2018 Lexus IS 350 Base,891 mi.,"$40,976"
14,2014 Lexus IS 350 Base,"38,106 mi.","$24,937"
15,2016 Lexus IS 350 Base,"22,836 mi.","$30,869"
16,2015 Lexus IS 350 Base,"29,865 mi.","$32,377"
17,2017 Lexus IS 350 Base,"14,963 mi.","$36,999"
18,2014 Lexus IS 350 Base,"38,208 mi.","$23,677"
19,2016 Lexus IS 350 Base,"33,226 mi.","$28,883"
20,2016 Lexus IS 350 Base,"33,670 mi.","$31,575"
21,2014 Lexus IS 350 Base,"57,105 mi.","$23,788"
22,2014 Lexus IS 350 Base,"52,802 mi.","$23,000"
23,2016 Lexus IS 350 Base,"5,229 mi.","$31,998"
24,2015 Lexus IS 350 Base,"47,511 mi.","$24,996"
25,2006 Lexus IS 350,"128,226 mi.","$7,995"
26,2016 Lexus IS 350 Base,"12,436 mi.","$35,900"
27,2016 Lexus IS 350 Base,"26,650 mi.","$33,900"
28,2016 Lexus IS 350 Base,"38,362 mi.","$28,700"
29,2015 Lexus IS 350 Base,"27,730 mi.","$27,400"
30,2014 Lexus IS 350 Base,"40,910 mi.","$24,993"
31,2015 Lexus IS 350 Base,"19,898 mi.","$24,099"
32,2017 Lexus IS 350 Base,"11,030 mi.","$37,443"
33,2015 Lexus IS 350 Base,"33,970 mi.","$25,500"
34,2008 Lexus IS 350 Base,"130,730 mi.","$9,995"
35,2015 Lexus IS 350,"77,657 mi.","$23,999"
36,2016 Lexus IS 350,"40,906 mi.","$29,207"
37,2015 Lexus IS 350 Base,"19,898 mi.","$24,099"
38,2014 Lexus IS 350 Base,"25,257 mi.","$24,998"
39,2014 Lexus IS 350 Base,"57,965 mi.","$22,770"
40,2018 Lexus IS 350 Base,"9,450 mi.","$40,990"
41,2015 Lexus IS 350 Base,"21,215 mi.","$30,983"
42,2015 Lexus IS 350 Base,"28,538 mi.","$30,490"
43,2011 Lexus IS 350 Base,"75,783 mi.","$14,974"
44,2015 Lexus IS 350 Base,"35,805 mi.","$28,990"
45,2015 Lexus IS 350 Base,"53,641 mi.","$25,994"
46,2014 Lexus IS 350 Base,"19,950 mi.","$29,000"
