,Name,Mileage,Price
0,2016 Lexus LS 460 Base,"26,667 mi.","$43,796"
1,2007 Lexus LS 460 L,"100,840 mi.","$15,978"
2,2016 Lexus LS 460 L,"4,459 mi.","$59,676"
3,2017 Lexus LS 460 L,"8,705 mi.","$60,708"
4,2016 Lexus LS 460 Base,"17,494 mi.","$46,232"
5,2008 Lexus LS 460 Base,"116,356 mi.","$14,467"
6,2015 Lexus LS 460 460,"45,897 mi.","$36,888"
7,2015 Lexus LS 460 4dr Sedan,"37,156 mi.","$39,630"
8,2010 Lexus LS 460 Base,"114,231 mi.","$14,362"
9,2012 Lexus LS 460 Base,"58,155 mi.","$24,988"
10,2007 Lexus LS 460 L,"126,166 mi.","$13,950"
11,2016 Lexus LS 460 Base,"24,084 mi.","$47,998"
12,"2015 Lexus LS 460 Mark Levinson, Navi, Sunroof, RV Cam, Blnd Spt","14,390 mi.","$48,998"
13,2007 Lexus LS 460 Base,"116,420 mi.","$11,995"
14,2014 Lexus LS 460 Base,"52,944 mi.","$30,950"
15,2007 Lexus LS 460 Base,"129,897 mi.","$10,490"
16,2008 Lexus LS 460 Base,"129,635 mi.","$12,495"
17,2015 Lexus LS 460 460,"44,224 mi.","$30,799"
18,2015 Lexus LS 460 Crafted Line,"28,175 mi.","$36,199"
19,2015 Lexus LS 460 Crafted Line,"27,402 mi.","$39,999"
20,2013 Lexus LS 460 L,"39,327 mi.","$35,998"
21,2015 Lexus LS 460 460,"32,875 mi.","$35,971"
22,2014 Lexus LS 460 Base,"63,162 mi.","$28,488"
23,2009 Lexus LS 460,"82,841 mi.","$16,289"
24,2015 Lexus LS 460 460,"44,224 mi.","$30,799"
25,2015 Lexus LS 460 L,"31,088 mi.","$35,199"
26,2010 Lexus LS 460 Base,"89,324 mi.","$17,990"
27,2014 Lexus LS 460 L,"95,335 mi.","$29,900"
28,2013 Lexus LS 460 Base,"100,258 mi.","$27,900"
29,2016 Lexus LS 460 Base,"37,337 mi.","$45,900"
30,2016 Lexus LS 460 Base,"28,185 mi.","$51,500"
31,2015 Lexus LS 460 Base,"40,375 mi.","$44,500"
32,2016 Lexus LS 460 Base,"23,612 mi.","$48,700"
33,2014 Lexus LS 460,"38,674 mi.","$35,500"
34,2013 Lexus LS 460 Base,"29,073 mi.","$37,000"
35,2015 Lexus LS 460 460,"44,224 mi.","$30,799"
36,2015 Lexus LS 460 Crafted Line,"27,402 mi.","$39,999"
37,2015 Lexus LS 460 Crafted Line,"28,175 mi.","$36,199"
38,2015 Lexus LS 460 L,"31,088 mi.","$35,199"
39,2015 Lexus LS 460 460,"44,224 mi.","$30,799"
40,2015 Lexus LS 460 Crafted Line,"28,175 mi.","$36,199"
41,2016 Lexus LS 460 Base,"36,610 mi.","$43,750"
42,2014 Lexus LS 460 Base,"82,178 mi.","$28,654"
43,2013 Lexus LS 460 L,"22,329 mi.","$43,950"
44,2009 Lexus LS 460 Base,"104,778 mi.","$13,995"
45,2011 Lexus LS 460 Base,"63,130 mi.","$21,777"
46,2015 Lexus LS 460 Crafted Line,"28,175 mi.","$36,199"
47,2016 Lexus LS 460 Base,"20,226 mi.","$39,199"
48,2015 Lexus LS 460 L,"27,864 mi.","$37,199"
49,2015 Lexus LS 460 Crafted Line,"27,402 mi.","$39,999"
50,2016 Lexus LS 460 L,"52,489 mi.","$48,000"
51,2013 Lexus LS 460 Base,"49,025 mi.","$30,999"
52,2014 Lexus LS 460 Base,"60,555 mi.","$29,990"
53,2012 Lexus LS 460 Base,"34,737 mi.","$27,250"
54,2012 Lexus LS 460 Base,"55,059 mi.","$26,177"
55,2013 Lexus LS 460 Base,"84,299 mi.","$28,499"
56,2013 Lexus LS 460 Base,"59,890 mi.","$28,999"
57,2017 Lexus LS 460 Base,"23,288 mi.","$51,798"
58,2013 Lexus LS 460 Base,"38,959 mi.","$31,564"
59,2007 Lexus LS 460 Base,"96,410 mi.","$12,549"
60,2011 Lexus LS 460 L,"90,900 mi.","$19,589"
61,2014 Lexus LS 460 Base,"42,719 mi.","$33,329"
62,2015 Lexus LS 460 460,"44,224 mi.","$30,799"
