,Name,Mileage,Price
0,2004 Lexus LX 470,"218,149 mi.","$12,495"
1,2006 Lexus LX 470,"238,353 mi.","$11,981"
2,2004 Lexus LX 470,"153,976 mi.","$15,995"
3,2004 Lexus LX 470 470,"155,855 mi.","$14,899"
4,2000 Lexus LX 470 4dr SUV,"175,217 mi.","$8,795"
5,2005 Lexus LX 470,"118,020 mi.","$17,000"
6,2002 Lexus LX 470 4dr SUV,"177,895 mi.","$16,995"
7,2005 Lexus LX 470 4dr SUV,"167,837 mi.","$13,995"
8,2000 Lexus LX 470,"160,972 mi.","$13,850"
9,2000 Lexus LX 470,"245,275 mi.","$7,995"
10,2001 Lexus LX 470 4dr SUV,"198,861 mi.","$8,295"
11,2000 Lexus LX 470 4dr SUV,"229,348 mi.","$7,595"
12,2000 Lexus LX 470,"163,885 mi.","$8,450"
13,2000 Lexus LX 470,"249,715 mi.","$6,950"
14,2000 Lexus LX 470 4dr SUV,"163,354 mi.","$9,000"
15,2000 Lexus LX 470 4dr SUV,"192,100 mi.","$10,900"
16,2005 Lexus LX 470 4dr SUV,"187,182 mi.","$17,995"
17,2001 Lexus LX 470,"195,776 mi.","$6,850"
18,2007 Lexus LX 470,"117,342 mi.","$24,995"
19,2004 Lexus LX 470 4dr SUV,"223,377 mi.","$12,995"
20,2001 Lexus LX 470 4dr SUV,"192,316 mi.","$10,477"
21,2000 Lexus LX 470,"220,600 mi.","$8,950"
22,2005 Lexus LX 470 4dr SUV,"155,212 mi.","$21,985"
23,2001 Lexus LX 470 4dr SUV,"161,920 mi.","$14,997"
24,2000 Lexus LX 470 4dr SUV,"279,455 mi.","$6,442"
25,2002 Lexus LX 470 4dr SUV,"246,102 mi.","$7,995"
26,2004 Lexus LX 470 4dr SUV,"247,159 mi.","$10,495"
27,1999 Lexus LX 470 4dr Wgn,"227,558 mi.","$6,999"
28,2001 Lexus LX 470,"177,685 mi.","$8,900"
29,2005 Lexus LX 470,"140,000 mi.","$16,900"
30,2004 Lexus LX 470,"152,347 mi.","$13,900"
31,2001 Lexus LX 470 4dr SUV,"206,604 mi.","$8,995"
32,2000 Lexus LX 470 4dr SUV,"215,000 mi.","$15,990"
33,2000 Lexus LX 470 4dr SUV,"250,400 mi.","$7,995"
34,2000 Lexus LX 470 4dr SUV,"153,902 mi.","$13,985"
