,Name,Mileage,Price
0,2018 Lexus NX 300 F Sport,"9,105 mi.","$35,750"
1,2018 Lexus NX 300 Base,"7,846 mi.","$30,888"
2,2018 Lexus NX 300 Base,"8,392 mi.","$32,987"
3,2018 Lexus NX 300 300,347 mi.,"$35,100"
4,2018 Lexus NX 300 Base,"8,995 mi.","$44,252"
5,2018 Lexus NX 300 Base,"9,614 mi.","$33,988"
6,2018 Lexus NX 300 Base,"4,835 mi.","$34,348"
7,2018 Lexus NX 300 Base,"11,319 mi.","$36,994"
8,2018 Lexus NX 300,"8,192 mi.","$34,641"
9,2018 Lexus NX 300,"6,441 mi.","$35,653"
10,2018 Lexus NX 300,"9,074 mi.","$34,951"
11,2018 Lexus NX 300 Base,"9,718 mi.","$36,490"
12,2018 Lexus NX 300 Base,"12,457 mi.","$35,828"
13,2018 Lexus NX 300 Base,"12,093 mi.","$36,477"
14,2018 Lexus NX 300 F Sport,"15,014 mi.","$36,000"
15,2018 Lexus NX 300 300,347 mi.,"$35,100"
16,2018 Lexus NX 300 Base,"9,825 mi.","$37,986"
17,2018 Lexus NX 300 Base,"6,696 mi.","$36,500"
18,2018 Lexus NX 300 F Sport,"19,440 mi.","$35,991"
19,2018 Lexus NX 300 NAVIGATION PRE-COLLISION&LANE DEPARTURE ALERT BACK,"16,794 mi.","$34,500"
20,2018 Lexus NX 300,"11,030 mi.","$34,881"
21,2018 Lexus NX 300 Base,"17,055 mi.","$35,900"
22,2018 Lexus NX 300 Base,"15,843 mi.","$33,900"
23,2018 Lexus NX 300 Base,"5,408 mi.","$37,500"
24,2018 Lexus NX 300 Base,"7,880 mi.","$37,500"
25,2018 Lexus NX 300 Base,"2,756 mi.","$35,322"
26,2018 Lexus NX 300 Base,"8,113 mi.","$36,915"
27,2018 Lexus NX 300,"6,786 mi.","$35,750"
28,2018 Lexus NX 300,"11,505 mi.","$36,990"
29,2018 Lexus NX 300,"11,053 mi.","$36,990"
30,2018 Lexus NX 300,"10,550 mi.","$36,990"
31,2018 Lexus NX 300,"12,412 mi.","$38,500"
32,2018 Lexus NX 300 F Sport,"5,755 mi.","$38,321"
33,2018 Lexus NX 300 Base,"11,544 mi.","$36,998"
34,2018 Lexus NX 300 F Sport,"13,408 mi.","$39,121"
35,2018 Lexus NX 300 F Sport,"31,078 mi.","$36,500"
36,2018 Lexus NX 300 Base,"9,700 mi.","$37,141"
37,2019 Lexus NX 300 F Sport,12 mi.,"$45,595"
38,2018 Lexus NX 300,"18,432 mi.","$36,000"
39,2018 Lexus NX 300,"9,551 mi.","$36,000"
40,2018 Lexus NX 300,"12,739 mi.","$35,000"
41,2018 Lexus NX 300,"4,350 mi.","$36,500"
42,2018 Lexus NX 300,888 mi.,"$35,990"
43,2019 Lexus NX 300 Base,"2,002 mi.","$40,000"
44,2018 Lexus NX 300,"16,735 mi.","$34,482"
45,2018 Lexus NX 300 F Sport,"5,500 mi.","$37,710"
46,2018 Lexus NX 300 Base,"12,107 mi.","$31,740"
47,2018 Lexus NX 300 Base,"9,539 mi.","$32,150"
48,2018 Lexus NX 300,"9,822 mi.","$36,490"
49,2018 Lexus NX 300,"10,226 mi.","$36,490"
50,2018 Lexus NX 300 Base,"7,042 mi.","$31,880"
51,2018 Lexus NX 300,"11,241 mi.","$33,990"
52,2018 Lexus NX 300 300,347 mi.,"$35,100"
53,2018 Lexus NX 300 300,347 mi.,"$35,100"
54,2018 Lexus NX 300 300,347 mi.,"$35,100"
55,2018 Lexus NX 300 Base,"74,406 mi.","$39,990"
56,2018 Lexus NX 300 Base,"11,086 mi.","$30,500"
57,2018 Lexus NX 300 Base,"11,411 mi.","$31,000"
58,2018 Lexus NX 300 Base,"7,106 mi.","$32,400"
59,2018 Lexus NX 300,"11,651 mi.","$31,000"
60,2018 Lexus NX 300,"6,038 mi.","$39,977"
61,2018 Lexus NX 300,"4,934 mi.","$39,977"
62,2018 Lexus NX 300 300 NAV/PREMIUM PKG/PREMIUM AUDIO PKG,"12,144 mi.","$35,999"
63,2018 Lexus NX 300 300 PKG/PREMIUM AUDIO/KICK SENSOR,"17,963 mi.","$36,999"
64,2018 Lexus NX 300 F Sport,"7,333 mi.","$39,899"
65,2018 Lexus NX 300 300 PKG/POWER DOOR/NAV,"13,254 mi.","$36,999"
66,2018 Lexus NX 300,"9,700 mi.","$38,995"
67,2018 Lexus NX 300 F Sport,"9,215 mi.","$37,888"
68,2019 Lexus NX 300 F Sport,"3,331 mi.","$37,966"
69,2019 Lexus NX 300 300 PARK ASSIST/BLIND SPOT/RADAR CRUISE/SAFETY SYS,"1,920 mi.","$39,888"
70,2018 Lexus NX 300 300 NAV/BLIND SPOT/RADAR CRUISE/SAFETY SYSTEM+,"16,540 mi.","$36,888"
71,2018 Lexus NX 300 Base,"7,897 mi.","$36,489"
72,2018 Lexus NX 300 Base,"4,637 mi.","$35,298"
73,2018 Lexus NX 300 Base,"15,400 mi.","$32,798"
74,2019 Lexus NX 300 F Sport,"1,262 mi.","$37,492"
75,2018 Lexus NX 300 F Sport,"14,872 mi.","$35,188"
76,2018 Lexus NX 300,"12,151 mi.","$37,998"
77,2018 Lexus NX 300,"15,700 mi.","$30,700"
78,2018 Lexus NX 300,"12,199 mi.","$33,443"
79,2019 Lexus NX 300 COMFORT PACKAGE/INTUITIVE PARKING ASSIST,235 mi.,"$36,551"
80,2018 Lexus NX 300 Base,"7,390 mi.","$35,500"
81,2018 Lexus NX 300 Base,"8,986 mi.","$33,443"
82,2018 Lexus NX 300 Base,"21,101 mi.","$35,879"
83,2018 Lexus NX 300 F Sport,"10,526 mi.","$41,000"
84,2018 Lexus NX 300 Base,"14,426 mi.","$37,499"
85,2018 Lexus NX 300 Base,"10,574 mi.","$37,727"
86,2018 Lexus NX 300 Base,"2,924 mi.","$32,995"
87,2018 Lexus NX 300,"13,493 mi.","$36,494"
88,2018 Lexus NX 300,"12,996 mi.","$35,000"
89,2018 Lexus NX 300,"12,257 mi.","$36,392"
90,2018 Lexus NX 300,"9,340 mi.","$36,890"
91,2018 Lexus NX 300 Base,"13,963 mi.","$35,995"
92,2018 Lexus NX 300 NAVIGATION PACKAGE 18 ALLOYS,"11,848 mi.","$36,507"
93,2019 Lexus NX 300 Base,"1,914 mi.","$41,888"
94,2018 Lexus NX 300 Base,"13,069 mi.","$36,000"
95,2018 Lexus NX 300 300,347 mi.,"$35,100"
96,2018 Lexus NX 300 Base,"6,542 mi.","$37,999"
97,2018 Lexus NX 300,"10,649 mi.","$37,950"
98,2018 Lexus NX 300,"10,703 mi.","$39,999"
99,2018 Lexus NX 300 Base,"14,318 mi.","$36,447"
100,2018 Lexus NX 300 300,"14,553 mi.","$32,981"
101,2018 Lexus NX 300,"5,313 mi.","$34,998"
102,2018 Lexus NX 300 F Sport,"7,242 mi.","$38,992"
103,2018 Lexus NX 300 300,347 mi.,"$35,100"
104,2018 Lexus NX 300 F Sport,"10,172 mi.","$39,250"
105,2018 Lexus NX 300 F Sport,"9,634 mi.","$36,250"
106,2018 Lexus NX 300 Base,"10,050 mi.","$33,988"
107,2019 Lexus NX 300 Base,100 mi.,"$39,977"
108,2018 Lexus NX 300 Base,"9,134 mi.","$31,988"
109,2018 Lexus NX 300 Base,"8,940 mi.","$30,988"
110,2018 Lexus NX 300 Base,"7,555 mi.","$32,988"
111,2019 Lexus NX 300 Base,21 mi.,"$34,991"
112,2019 Lexus NX 300 Base,"15,675 mi.","$36,981"
113,2018 Lexus NX 300 Base,"11,216 mi.","$35,995"
114,2018 Lexus NX 300 300,"11,400 mi.","$33,800"
115,2018 Lexus NX 300,"11,986 mi.","$41,995"
116,2018 Lexus NX 300 Base,"10,182 mi.","$37,031"
117,2018 Lexus NX 300 Base,"7,055 mi.","$37,987"
118,2018 Lexus NX 300 Base,"15,786 mi.","$38,000"
119,2018 Lexus NX 300,"21,928 mi.","$38,488"
120,2018 Lexus NX 300 Base,"19,288 mi.","$33,101"
121,2018 Lexus NX 300 F Sport,"3,162 mi.","$40,014"
122,2018 Lexus NX 300 Base,"8,592 mi.","$39,371"
123,2018 Lexus NX 300 300,347 mi.,"$35,100"
124,2018 Lexus NX 300 Base,"6,949 mi.","$33,950"
125,2018 Lexus NX 300 Base,"7,622 mi.","$33,790"
126,2018 Lexus NX 300 PRE-COLLISION/F SPORT/NAVIGATION,"12,995 mi.","$38,799"
127,2018 Lexus NX 300 PRE-COLLISION/NAVIGATION/BLIND SPOT,"14,911 mi.","$36,499"
128,2018 Lexus NX 300 300,347 mi.,"$35,100"
129,2018 Lexus NX 300 F Sport,"7,924 mi.","$41,972"
130,2018 Lexus NX 300,"10,523 mi.","$39,900"
131,2018 Lexus NX 300,"12,574 mi.","$39,900"
132,2018 Lexus NX 300 300,347 mi.,"$35,100"
133,2018 Lexus NX 300,"10,617 mi.","$36,889"
134,2018 Lexus NX 300 300,347 mi.,"$35,100"
135,2018 Lexus NX 300 Base,"17,242 mi.","$35,981"
136,2018 Lexus NX 300 Base,"7,203 mi.","$37,722"
137,2018 Lexus NX 300 300,347 mi.,"$35,100"
138,2018 Lexus NX 300 300,347 mi.,"$35,100"
139,2018 Lexus NX 300 F Sport,"10,145 mi.","$40,580"
140,2018 Lexus NX 300 300,347 mi.,"$35,100"
141,2018 Lexus NX 300 300,347 mi.,"$35,100"
142,2018 Lexus NX 300 Base,"12,269 mi.","$35,921"
143,2018 Lexus NX 300 300,347 mi.,"$35,100"
144,2018 Lexus NX 300 Base,"10,746 mi.","$37,950"
145,2018 Lexus NX 300 Base,"10,746 mi.","$37,950"
146,2018 Lexus NX 300 Base,"9,548 mi.","$37,950"
147,2018 Lexus NX 300 Base,"9,548 mi.","$37,950"
148,2018 Lexus NX 300 300,347 mi.,"$35,100"
149,2018 Lexus NX 300 300,347 mi.,"$35,100"
150,2018 Lexus NX 300 300,347 mi.,"$35,100"
151,2018 Lexus NX 300 300,347 mi.,"$35,100"
152,2018 Lexus NX 300 Base,"4,676 mi.","$30,100"
