,Name,Mileage,Price
0,2015 Lexus RC 350 Base,"34,746 mi.","$28,990"
1,2016 Lexus RC 350 Base,"21,467 mi.","$33,503"
2,2017 Lexus RC 350 Base,"9,450 mi.","$39,995"
3,2015 Lexus RC 350 Base,"29,384 mi.","$29,825"
4,2015 Lexus RC 350 Base,"23,791 mi.","$30,707"
5,2016 Lexus RC 350 Base,"35,578 mi.","$34,414"
6,2015 Lexus RC 350 Base,"17,922 mi.","$28,995"
7,2015 Lexus RC 350 Base,"21,088 mi.","$31,875"
8,2015 Lexus RC 350 Base,"33,084 mi.","$32,900"
9,2015 Lexus RC 350 Base,"11,720 mi.","$33,900"
10,2016 Lexus RC 350 Base,"14,831 mi.","$38,600"
11,2016 Lexus RC 350 Base,"27,498 mi.","$35,900"
12,2015 Lexus RC 350 Base,"21,290 mi.","$26,998"
13,2015 Lexus RC 350 Base,"19,642 mi.","$32,488"
14,2015 Lexus RC 350 Base,"51,437 mi.","$26,482"
15,2018 Lexus RC 350 Base,"5,330 mi.","$42,900"
16,2015 Lexus RC 350 Base,"18,923 mi.","$29,986"
17,2015 Lexus RC 350 Base,"54,794 mi.","$25,995"
18,2016 Lexus RC 350 Base,"16,339 mi.","$34,993"
19,2015 Lexus RC 350 Base,"27,058 mi.","$27,498"
20,2015 Lexus RC 350 Base,"26,156 mi.","$33,999"
21,2015 Lexus RC 350 Base,"52,810 mi.","$27,488"
22,2015 Lexus RC 350 Base,"13,845 mi.","$33,988"
23,2015 Lexus RC 350 Base,"13,495 mi.","$30,993"
24,2015 Lexus RC 350,"41,031 mi.","$31,281"
25,2015 Lexus RC 350,"53,944 mi.","$30,756"
26,2015 Lexus RC 350 Base,"30,481 mi.","$27,839"
27,2015 Lexus RC 350 Base,"36,426 mi.","$27,888"
28,2015 Lexus RC 350 Base,"38,093 mi.","$25,199"
29,2015 Lexus RC 350 Base,"10,452 mi.","$27,099"
30,2015 Lexus RC 350 Base,"26,366 mi.","$24,299"
31,2015 Lexus RC 350 Base,"10,452 mi.","$27,099"
32,2015 Lexus RC 350 Base,"38,093 mi.","$25,199"
33,2015 Lexus RC 350 Base,"26,884 mi.","$28,777"
34,2015 Lexus RC 350 Base,"13,405 mi.","$33,900"
35,2017 Lexus RC 350 Base,"44,596 mi.","$34,223"
36,2015 Lexus RC 350 350,"34,583 mi.","$28,997"
