,Name,Mileage,Price
0,2016 Lexus RX 350 Base,"27,462 mi.","$33,997"
1,2017 Lexus RX 350,"12,410 mi.","$39,971"
2,2015 Lexus RX 350 Base,"71,314 mi.","$23,913"
3,2017 Lexus RX 350,"11,490 mi.","$37,998"
4,2011 Lexus RX 350 Base,"162,327 mi.","$11,491"
5,2015 Lexus RX 350 Base,"41,272 mi.","$26,100"
6,2017 Lexus RX 350,"13,490 mi.","$39,481"
7,2017 Lexus RX 350 350,"13,396 mi.","$41,986"
8,2016 Lexus RX 350 350,"36,322 mi.","$38,999"
9,2017 Lexus RX 350 F Sport,"35,887 mi.","$45,453"
10,2015 Lexus RX 350 350,"53,392 mi.","$22,995"
11,2013 Lexus RX 350 Base,"73,761 mi.","$20,581"
12,2015 Lexus RX 350 COMFORT PKG,"31,928 mi.","$27,488"
13,2015 Lexus RX 350 PREMIUM/COMFORT PCKG/SUNROOF/AWD/WARRANTY,"32,579 mi.","$27,500"
14,2014 Lexus RX 350 Base,"85,831 mi.","$19,298"
15,2018 Lexus RX 350 F Sport,"3,819 mi.","$48,998"
16,2008 Lexus RX 350,"114,245 mi.","$9,495"
17,2017 Lexus RX 350 350,"13,205 mi.","$34,599"
18,2015 Lexus RX 350 Base,"51,122 mi.","$19,999"
19,2015 Lexus RX 350 350,"46,076 mi.","$20,299"
20,2015 Lexus RX 350 Base,"51,122 mi.","$19,999"
21,2017 Lexus RX 350 350,"18,317 mi.","$39,250"
22,2017 Lexus RX 350 Base,"8,186 mi.","$43,990"
23,2016 Lexus RX 350 Base,"24,358 mi.","$38,900"
24,2014 Lexus RX 350 Base,"55,716 mi.","$28,900"
25,2016 Lexus RX 350 F Sport,"32,320 mi.","$42,900"
26,2017 Lexus RX 350 350,"11,748 mi.","$42,996"
27,2017 Lexus RX 350 Base,"24,602 mi.","$38,994"
28,2014 Lexus RX 350 Base,"39,970 mi.","$24,563"
29,2014 Lexus RX 350 Base,"69,916 mi.","$20,995"
30,2015 Lexus RX 350 350,"52,360 mi.","$26,457"
31,2008 Lexus RX 350,"140,208 mi.","$9,950"
32,2017 Lexus RX 350 350,"18,406 mi.","$38,401"
33,2017 Lexus RX 350 Base,"23,567 mi.","$36,915"
34,2015 Lexus RX 350 Base,"29,166 mi.","$26,800"
35,2015 Lexus RX 350,"27,685 mi.","$28,695"
36,2015 Lexus RX 350 350,"36,960 mi.","$26,577"
37,2015 Lexus RX 350 350,"26,862 mi.","$28,729"
38,2016 Lexus RX 350 Base,"45,929 mi.","$34,750"
39,2017 Lexus RX 350 Base,"12,024 mi.","$39,584"
40,2017 Lexus RX 350 350,"13,205 mi.","$34,599"
41,2013 Lexus RX 350 Base,"72,699 mi.","$20,000"
42,2016 Lexus RX 350,"72,994 mi.","$35,000"
43,2017 Lexus RX 350 350,"17,350 mi.","$39,750"
44,2015 Lexus RX 350 350,"74,961 mi.","$20,999"
45,2017 Lexus RX 350 F Sport,"27,174 mi.","$45,797"
46,2013 Lexus RX 350 350,"70,997 mi.","$20,708"
47,2014 Lexus RX 350 Base,"81,474 mi.","$17,405"
48,2015 Lexus RX 350,"41,621 mi.","$25,000"
49,2015 Lexus RX 350,"59,339 mi.","$22,613"
50,2015 Lexus RX 350 350,"37,302 mi.","$21,299"
51,2015 Lexus RX 350 350,"47,893 mi.","$23,499"
52,2015 Lexus RX 350 Base,"36,729 mi.","$21,299"
53,2012 Lexus RX 350 Base,"114,445 mi.","$14,500"
54,2017 Lexus RX 350 350,"13,205 mi.","$34,599"
55,2015 Lexus RX 350 350,"44,655 mi.","$20,799"
56,2015 Lexus RX 350 F Sport,"32,016 mi.","$25,199"
57,2015 Lexus RX 350 350,"30,809 mi.","$23,999"
58,2015 Lexus RX 350 Base,"36,341 mi.","$20,999"
59,2015 Lexus RX 350 Base,"34,299 mi.","$21,299"
60,2015 Lexus RX 350 Base,"35,269 mi.","$22,799"
61,2015 Lexus RX 350 Base,"23,587 mi.","$21,999"
62,2015 Lexus RX 350 Base,"46,318 mi.","$20,799"
63,2014 Lexus RX 350 Base,"19,593 mi.","$25,492"
64,2017 Lexus RX 350 350,"16,524 mi.","$39,325"
65,2010 Lexus RX 350 Base,"74,428 mi.","$16,335"
66,2014 Lexus RX 350 Base,"55,488 mi.","$21,995"
67,2013 Lexus RX 350 F Sport,"63,966 mi.","$20,819"
68,2015 Lexus RX 350 Base,"40,874 mi.","$20,699"
69,2015 Lexus RX 350 Base,"51,122 mi.","$19,999"
70,2015 Lexus RX 350 Base,"36,341 mi.","$20,999"
71,2015 Lexus RX 350 350,"44,655 mi.","$20,799"
72,2014 Lexus RX 350 Base,"75,935 mi.","$20,695"
73,2014 Lexus RX 350 Base,"58,155 mi.","$22,014"
74,2015 Lexus RX 350 Base,"47,681 mi.","$20,995"
75,2015 Lexus RX 350 Base,"59,887 mi.","$19,895"
76,2015 Lexus RX 350,"44,196 mi.","$25,457"
77,2009 Lexus RX 350 Base,"145,828 mi.","$10,998"
78,2015 Lexus RX 350 350,"48,740 mi.","$25,990"
79,2016 Lexus RX 350 Base,"43,152 mi.","$34,585"
80,2015 Lexus RX 350 Base,"51,122 mi.","$19,999"
81,2015 Lexus RX 350 TECH,"70,895 mi.","$22,500"
82,2016 Lexus RX 350 Base,"15,577 mi.","$38,323"
83,2016 Lexus RX 350 F Sport,"20,972 mi.","$41,973"
84,2016 Lexus RX 350 350,"27,112 mi.","$36,893"
85,2016 Lexus RX 350 350,"37,518 mi.","$35,944"
86,2015 Lexus RX 350 Base,"67,779 mi.","$23,799"
87,2015 Lexus RX 350,"56,844 mi.","$23,995"
88,2017 Lexus RX 350 350,"13,205 mi.","$34,599"
89,2017 Lexus RX 350 350,"42,102 mi.","$38,595"
90,2016 Lexus RX 350 350,"53,368 mi.","$32,795"
91,2016 Lexus RX 350 350,"31,633 mi.","$36,995"
92,2010 Lexus RX 350 Base,"54,620 mi.","$15,588"
93,2013 Lexus RX 350 Base,"43,397 mi.","$23,788"
94,2015 Lexus RX 350 Base,"27,464 mi.","$29,995"
95,2016 Lexus RX 350 Base,"36,410 mi.","$32,999"
96,2013 Lexus RX 350 F Sport,"88,638 mi.","$20,990"
97,2016 Lexus RX 350,"32,400 mi.","$34,950"
98,2015 Lexus RX 350 Base,"65,133 mi.","$23,487"
99,2017 Lexus RX 350 350,"25,990 mi.","$36,190"
100,2013 Lexus RX 350 350,"56,894 mi.","$21,935"
101,2014 Lexus RX 350 Base,"40,001 mi.","$24,252"
102,2014 Lexus RX 350 Base,"24,593 mi.","$25,896"
103,2015 Lexus RX 350 Base,"50,861 mi.","$24,558"
104,2014 Lexus RX 350 Base,"30,190 mi.","$21,995"
105,2016 Lexus RX 350,"62,008 mi.","$30,498"
106,2016 Lexus RX 350 F Sport,"55,814 mi.","$39,999"
107,2014 Lexus RX 350 Base,"47,769 mi.","$21,543"
108,2016 Lexus RX 350 Base,"25,834 mi.","$33,962"
109,2010 Lexus RX 350 Base,"93,067 mi.","$13,500"
110,2014 Lexus RX 350 Base,"85,600 mi.","$21,950"
111,2015 Lexus RX 350 350,"28,698 mi.","$28,500"
112,2015 Lexus RX 350 Base,"50,068 mi.","$24,999"
113,2016 Lexus RX 350 Base,"16,196 mi.","$35,154"
114,2017 Lexus RX 350 Base,"7,671 mi.","$41,950"
115,2015 Lexus RX 350 Base,"27,899 mi.","$25,499"
116,2015 Lexus RX 350,"77,760 mi.","$21,849"
117,2019 Lexus RX 350 PREMIUM/NAVIGATION/360 CAMERA,"1,852 mi.","$47,888"
118,2007 Lexus RX 350 Base,"153,140 mi.","$6,995"
119,2014 Lexus RX 350 Base,"14,543 mi.","$24,485"
120,2015 Lexus RX 350 350,"46,076 mi.","$20,299"
121,2013 Lexus RX 350,"33,900 mi.","$24,578"
122,2015 Lexus RX 350,"41,703 mi.","$27,985"
123,2015 Lexus RX 350,"47,705 mi.","$27,888"
124,2016 Lexus RX 350,"76,700 mi.","$34,500"
125,2015 Lexus RX 350 350,"46,841 mi.","$26,000"
126,2017 Lexus RX 350,"13,219 mi.","$40,998"
127,2015 Lexus RX 350,"43,906 mi.","$27,000"
128,2008 Lexus RX 350 Base,"135,205 mi.","$8,995"
129,2013 Lexus RX 350 350,"40,322 mi.","$21,000"
130,2015 Lexus RX 350 Base,"22,257 mi.","$27,900"
131,2015 Lexus RX 350 350,"46,076 mi.","$20,299"
132,2008 Lexus RX 350,"186,010 mi.","$6,917"
133,2015 Lexus RX 350 350,"46,076 mi.","$20,299"
134,2015 Lexus RX 350 Base,"18,592 mi.","$25,990"
135,2015 Lexus RX 350 Base,"77,432 mi.","$24,719"
