,Name,Mileage,Price
0,2005 Lexus SC 430 Base,"89,546 mi.","$13,900"
1,2008 Lexus SC 430,"48,883 mi.","$28,880"
2,2005 Lexus SC 430,"98,662 mi.","$12,998"
3,2004 Lexus SC 430,"124,585 mi.","$9,998"
4,2004 Lexus SC 430,"38,285 mi.","$28,888"
5,2005 Lexus SC 430 Base,"117,318 mi.","$11,995"
6,2005 Lexus SC 430,"115,328 mi.","$12,500"
7,2003 Lexus SC 430 Base,"81,118 mi.","$12,999"
8,2003 Lexus SC 430 Base,"87,330 mi.","$12,895"
9,2002 Lexus SC 430,"110,752 mi.","$8,998"
10,2004 Lexus SC 430 Base,"91,645 mi.","$13,898"
11,2005 Lexus SC 430 Base,"36,659 mi.","$25,750"
12,2006 Lexus SC 430 Base,"85,084 mi.","$17,499"
13,2004 Lexus SC 430 Base,"76,478 mi.","$16,900"
14,2005 Lexus SC 430 L,"94,597 mi.","$14,664"
15,2002 Lexus SC 430 Base,"114,584 mi.","$9,998"
16,2007 Lexus SC 430 Base,"74,007 mi.","$20,500"
17,2002 Lexus SC 430,"106,268 mi.","$10,800"
18,2006 Lexus SC 430,"55,150 mi.","$22,995"
19,2005 Lexus SC 430,"44,096 mi.","$19,893"
20,2005 Lexus SC 430 430,"93,712 mi.","$14,988"
21,2003 Lexus SC 430,"148,615 mi.","$7,899"
22,2002 Lexus SC 430,"78,882 mi.","$13,998"
23,2002 Lexus SC 430 Base,"23,395 mi.","$21,770"
24,2005 Lexus SC 430 Base,"95,402 mi.","$12,991"
25,2002 Lexus SC 430 Base,"30,496 mi.","$17,999"
26,2003 Lexus SC 430,"56,456 mi.","$18,889"
27,2002 Lexus SC 430,"56,241 mi.","$17,498"
28,2008 Lexus SC 430,"66,451 mi.","$22,998"
29,2006 Lexus SC 430,"46,543 mi.","$19,998"
30,2005 Lexus SC 430 Base,"54,479 mi.","$17,000"
31,2006 Lexus SC 430,"91,745 mi.","$13,679"
32,2002 Lexus SC 430 Base,"92,084 mi.","$11,793"
33,2006 Lexus SC 430,"57,738 mi.","$19,910"
34,2002 Lexus SC 430,"123,028 mi.","$10,495"
35,2002 Lexus SC 430 Base,"142,783 mi.","$10,887"
36,2005 Lexus SC 430 Base,"57,070 mi.","$17,800"
37,2007 Lexus SC 430 Base,"111,908 mi.","$13,019"
38,2005 Lexus SC 430 Base,"73,529 mi.","$15,287"
39,2002 Lexus SC 430 Base,"36,165 mi.","$15,500"
40,2002 Lexus SC 430 Base,"58,038 mi.","$16,500"
41,2005 Lexus SC 430,"45,544 mi.","$16,995"
42,2002 Lexus SC 430 Base,"126,564 mi.","$9,900"
43,2004 Lexus SC 430 Base,"88,620 mi.","$15,495"
44,2003 Lexus SC 430 Base,"81,191 mi.","$11,795"
45,2003 Lexus SC 430 Base,"83,558 mi.","$13,744"
46,2006 Lexus SC 430 Base,"63,687 mi.","$15,998"
47,2002 Lexus SC 430 Base,"74,978 mi.","$12,944"
48,2004 Lexus SC 430 Base,"80,991 mi.","$14,586"
49,2005 Lexus SC 430 Base,"145,466 mi.","$9,700"
50,2004 Lexus SC 430,"88,335 mi.","$11,995"
51,2006 Lexus SC 430 Base,"111,452 mi.","$11,999"
52,2004 Lexus SC 430 430,"127,673 mi.","$10,900"
53,2002 Lexus SC 430 Base,"63,935 mi.","$11,888"
54,2002 Lexus SC 430 Base,"68,040 mi.","$13,995"
55,2003 Lexus SC 430 Base,"90,345 mi.","$10,555"
56,2006 Lexus SC 430 Base,"137,635 mi.","$10,830"
57,2004 Lexus SC 430,"109,304 mi.","$13,975"
58,2002 Lexus SC 430 430,"102,055 mi.","$11,978"
59,2004 Lexus SC 430 Base,"147,411 mi.","$11,700"
60,2002 Lexus SC 430 Base,"73,512 mi.","$13,500"
61,2002 Lexus SC 430,"142,399 mi.","$10,770"
62,2003 Lexus SC 430,"129,762 mi.","$10,492"
63,2008 Lexus SC 430 Base,"98,492 mi.","$18,500"
64,2007 Lexus SC 430,"86,070 mi.","$14,888"
65,2004 Lexus SC 430,"55,118 mi.","$17,779"
