,Name,Mileage,Price
0,2003 Lincoln Aviator Premium,"148,142 mi.","$5,995"
1,2003 Lincoln Aviator Premium,"132,482 mi.","$5,999"
2,2004 Lincoln Aviator Ultimate,"186,422 mi.","$3,995"
3,2004 Lincoln Aviator,"139,448 mi.","$4,999"
4,2004 Lincoln Aviator Ultimate,"104,278 mi.","$6,995"
5,2004 Lincoln Aviator Ultimate,"129,945 mi.","$5,499"
6,2004 Lincoln Aviator,"69,089 mi.","$9,888"
7,2004 Lincoln Aviator Base,"163,238 mi.","$2,518"
8,2004 Lincoln Aviator Luxury,"195,000 mi.","$4,495"
9,2004 Lincoln Aviator Luxury,"230,880 mi.","$4,299"
10,2004 Lincoln Aviator Ultimate,"139,361 mi.","$4,000"
11,2004 Lincoln Aviator Luxury,"177,341 mi.","$7,747"
12,2005 Lincoln Aviator Luxury,"121,000 mi.","$8,790"
13,2004 Lincoln Aviator Luxury,"144,965 mi.","$7,980"
14,2004 Lincoln Aviator Luxury,"107,730 mi.","$7,990"
15,2005 Lincoln Aviator Luxury,"241,690 mi.","$3,900"
16,2005 Lincoln Aviator Luxury,"215,542 mi.","$4,295"
17,2003 Lincoln Aviator Luxury,"98,660 mi.","$5,490"
18,2004 Lincoln Aviator Ultimate,"166,907 mi.","$6,995"
19,2005 Lincoln Aviator Luxury,"197,609 mi.","$4,980"
20,2003 Lincoln Aviator Base,"183,098 mi.","$3,995"
21,2004 Lincoln Aviator,"98,909 mi.","$4,500"
22,2004 Lincoln Aviator,"87,976 mi.","$8,000"
23,2004 Lincoln Aviator Luxury,"150,928 mi.","$3,988"
24,2003 Lincoln Aviator,"170,127 mi.","$5,111"
25,2004 Lincoln Aviator Luxury,"186,996 mi.","$1,995"
26,2003 Lincoln Aviator Base,"173,990 mi.","$3,995"
27,2005 Lincoln Aviator Luxury,"94,846 mi.","$6,990"
28,2004 Lincoln Aviator Ultimate,"120,000 mi.","$3,995"
29,2004 Lincoln Aviator Luxury,"126,184 mi.","$4,977"
30,2004 Lincoln Aviator Ultimate,"174,285 mi.","$2,499"
31,2005 Lincoln Aviator Luxury,"159,000 mi.","$3,999"
32,2004 Lincoln Aviator Ultimate,"139,361 mi.","$4,000"
33,2004 Lincoln Aviator Ultimate,"174,000 mi.","$3,200"
34,2003 Lincoln Aviator Premium,"115,000 mi.","$3,499"
35,2005 Lincoln Aviator,,"$8,500"
36,2005 Lincoln Aviator Luxury,"141,257 mi.","$6,999"
37,2003 Lincoln Aviator Base,"160,001 mi.",Not Priced
38,2005 Lincoln Aviator Luxury,"95,000 mi.",Not Priced
39,2003 Lincoln Aviator Luxury,"134,805 mi.",Not Priced
40,2004 Lincoln Aviator Ultimate,"133,174 mi.",Not Priced
41,2003 Lincoln Aviator Base,"123,519 mi.","$5,054"
42,2003 Lincoln Aviator Luxury,"156,873 mi.",Not Priced
43,2005 Lincoln Aviator 4dr AWD,"139,620 mi.",Not Priced
44,2003 Lincoln Aviator Base,"139,684 mi.",Not Priced
45,2003 Lincoln Aviator Base,"172,756 mi.","$4,477"
46,2005 Lincoln Aviator Luxury,"204,401 mi.",Not Priced
47,2003 Lincoln Aviator Premium,"138,198 mi.","$4,999"
48,2003 Lincoln Aviator Luxury,"173,046 mi.",Not Priced
49,2005 Lincoln Aviator Luxury,"150,436 mi.",Not Priced
50,2004 Lincoln Aviator Ultimate,"123,999 mi.","$4,995"
51,2003 Lincoln Aviator Premium,1 mi.,Not Priced
52,2004 Lincoln Aviator Luxury,"176,863 mi.",Not Priced
