,Name,Mileage,Price
0,2009 Lincoln MKS Base,"58,455 mi.","$10,694"
1,2013 Lincoln MKS EcoBoost,"54,130 mi.","$18,990"
2,2011 Lincoln MKS Base,"86,510 mi.","$11,517"
3,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
4,2015 Lincoln MKS Base,"35,381 mi.","$16,399"
5,2015 Lincoln MKS Base,"35,390 mi.","$16,699"
6,2015 Lincoln MKS Base,"35,381 mi.","$16,399"
7,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
8,2013 Lincoln MKS Base,"19,571 mi.","$19,500"
9,2013 Lincoln MKS Base,"60,012 mi.","$15,900"
10,2014 Lincoln MKS Base,"43,256 mi.","$17,391"
11,2015 Lincoln MKS EcoBoost,"71,225 mi.","$19,415"
12,2014 Lincoln MKS EcoBoost,"46,419 mi.","$18,227"
13,2016 Lincoln MKS Base,"24,898 mi.","$24,462"
14,2015 Lincoln MKS EcoBoost,"32,152 mi.","$24,084"
15,2011 Lincoln MKS Base,"70,302 mi.","$12,896"
16,2016 Lincoln MKS Base,"50,986 mi.","$24,870"
17,2009 Lincoln MKS Base,"102,374 mi.","$8,979"
18,2015 Lincoln MKS Base,"35,381 mi.","$16,399"
19,2015 Lincoln MKS Base,"35,390 mi.","$16,699"
20,2010 Lincoln MKS Base,"84,143 mi.","$11,590"
21,2014 Lincoln MKS,"68,146 mi.","$13,960"
22,2014 Lincoln MKS Base,"68,289 mi.","$15,599"
23,2015 Lincoln MKS Base,"72,975 mi.","$18,892"
24,2015 Lincoln MKS Base,"39,856 mi.","$22,995"
25,2015 Lincoln MKS Base,"35,381 mi.","$16,399"
26,2009 Lincoln MKS Base,"87,627 mi.","$10,500"
27,2015 Lincoln MKS Base,"35,390 mi.","$16,699"
28,2013 Lincoln MKS EcoBoost,"74,606 mi.","$14,044"
29,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
30,2009 Lincoln MKS Base,"69,163 mi.","$10,998"
31,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
32,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
33,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
34,2015 Lincoln MKS Base,"35,125 mi.","$16,799"
35,2013 Lincoln MKS EcoBoost,"82,761 mi.","$14,370"
36,2015 Lincoln MKS,"29,710 mi.","$22,992"
37,2014 Lincoln MKS Base,"27,722 mi.","$17,900"
38,2014 Lincoln MKS Base,"34,679 mi.","$18,599"
39,2016 Lincoln MKS EcoBoost,"9,290 mi.","$33,373"
40,2016 Lincoln MKS Base,"32,881 mi.","$28,995"
41,2015 Lincoln MKS Base,"15,763 mi.","$23,995"
42,2011 Lincoln MKS EcoBoost,"53,998 mi.","$14,491"
43,2013 Lincoln MKS Base,"60,829 mi.","$14,777"
44,2016 Lincoln MKS Base,"42,777 mi.","$17,500"
45,2015 Lincoln MKS Base,"35,439 mi.","$24,995"
46,2015 Lincoln MKS EcoBoost,"26,996 mi.","$23,995"
47,2011 Lincoln MKS EcoBoost,"104,565 mi.","$9,790"
48,2011 Lincoln MKS Base,"110,172 mi.","$10,498"
49,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
50,2015 Lincoln MKS Base,"37,597 mi.","$18,660"
51,2015 Lincoln MKS Base,"19,145 mi.","$22,998"
52,2012 Lincoln MKS Base,"116,429 mi.","$10,995"
53,2015 Lincoln MKS Base,"34,653 mi.","$23,500"
54,2015 Lincoln MKS Base,"30,093 mi.","$24,500"
55,2015 Lincoln MKS Base,"29,696 mi.","$25,000"
56,2015 Lincoln MKS Base,"36,637 mi.","$24,000"
57,2014 Lincoln MKS Base,"70,227 mi.","$15,972"
58,2016 Lincoln MKS Base,"44,800 mi.","$20,999"
59,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
60,2015 Lincoln MKS Base,"26,524 mi.","$22,808"
61,2011 Lincoln MKS,"84,335 mi.","$9,944"
62,2015 Lincoln MKS Base,"16,180 mi.","$17,299"
63,2016 Lincoln MKS Base,"10,148 mi.","$19,999"
64,2015 Lincoln MKS Base,"35,381 mi.","$16,399"
65,2013 Lincoln MKS Base,"41,916 mi.","$14,600"
66,2016 Lincoln MKS EcoBoost,"24,233 mi.","$30,919"
67,2009 Lincoln MKS Base,"54,000 mi.","$11,266"
68,2014 Lincoln MKS Base,"92,610 mi.","$12,800"
69,2014 Lincoln MKS EcoBoost,"69,432 mi.","$14,988"
70,2013 Lincoln MKS Base,"97,877 mi.","$11,400"
71,2011 Lincoln MKS Base,"62,876 mi.","$12,968"
72,2016 Lincoln MKS EcoBoost,"20,163 mi.","$30,300"
73,2014 Lincoln MKS Base,"28,138 mi.","$21,490"
74,2015 Lincoln MKS EcoBoost,"25,452 mi.","$22,999"
75,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
76,2015 Lincoln MKS Base,"35,381 mi.","$16,399"
77,2015 Lincoln MKS Base,"35,390 mi.","$16,699"
78,2015 Lincoln MKS Base,"35,381 mi.","$16,399"
79,2015 Lincoln MKS Base,"36,060 mi.","$17,899"
80,2015 Lincoln MKS Base,"35,390 mi.","$16,699"
81,2014 Lincoln MKS Base,"53,217 mi.","$13,999"
82,2016 Lincoln MKS EcoBoost,"38,685 mi.","$24,950"
83,2014 Lincoln MKS EcoBoost,"99,748 mi.","$13,990"
84,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
85,2015 Lincoln MKS Base,"35,381 mi.","$16,399"
86,2015 Lincoln MKS Base,"35,390 mi.","$16,699"
87,2010 Lincoln MKS Base,"129,716 mi.","$8,940"
88,2015 Lincoln MKS Base,"24,293 mi.","$25,940"
89,2009 Lincoln MKS Base,"60,547 mi.","$10,990"
90,2015 Lincoln MKS Base,"35,381 mi.","$16,399"
91,2015 Lincoln MKS Base,"35,390 mi.","$16,699"
92,2013 Lincoln MKS Base,"45,737 mi.","$16,400"
93,2014 Lincoln MKS Base,"25,134 mi.","$19,200"
94,2011 Lincoln MKS EcoBoost,"96,477 mi.","$10,995"
95,2014 Lincoln MKS Base,"65,869 mi.","$15,100"
96,2013 Lincoln MKS Base,"73,253 mi.","$14,738"
97,2012 Lincoln MKS EcoBoost,"64,088 mi.","$14,000"
98,2014 Lincoln MKS EcoBoost,"61,810 mi.","$18,998"
99,2013 Lincoln MKS EcoBoost,"30,872 mi.","$19,999"
100,2014 Lincoln MKS Base,"60,507 mi.","$14,984"
101,2015 Lincoln MKS EcoBoost,"24,066 mi.","$26,500"
102,2011 Lincoln MKS EcoBoost,"108,660 mi.","$11,999"
103,2010 Lincoln MKS EcoBoost,"105,009 mi.","$10,999"
104,2009 Lincoln MKS Base,"85,003 mi.","$11,998"
105,2014 Lincoln MKS Base,"27,345 mi.","$18,995"
