,Name,Mileage,Price
0,2016 Lincoln MKT Base,"21,990 mi.","$26,000"
1,2016 Lincoln MKT EcoBoost,"28,697 mi.","$27,700"
2,2013 Lincoln MKT EcoBoost,"89,864 mi.","$19,998"
3,2016 Lincoln MKT EcoBoost,"28,697 mi.","$27,700"
4,2014 Lincoln MKT EcoBoost,"44,896 mi.","$21,979"
5,2014 Lincoln MKT EcoBoost,"30,912 mi.","$23,984"
6,2017 Lincoln MKT,"41,152 mi.","$20,476"
7,2014 Lincoln MKT EcoBoost,"61,663 mi.","$19,654"
8,2015 Lincoln MKT EcoBoost,"19,362 mi.","$29,517"
9,2017 Lincoln MKT Elite,"26,266 mi.","$33,000"
10,2018 Lincoln MKT Premier,"19,856 mi.","$30,800"
11,2011 Lincoln MKT EcoBoost,"92,663 mi.","$12,900"
12,2012 Lincoln MKT EcoBoost,"43,911 mi.","$16,900"
13,2017 Lincoln MKT LIVE,"48,378 mi.","$19,495"
14,2014 Lincoln MKT EcoBoost,"70,366 mi.","$18,980"
15,2017 Lincoln MKT,"31,039 mi.","$23,998"
16,2016 Lincoln MKT EcoBoost,"53,593 mi.","$26,180"
17,2017 Lincoln MKT,"32,198 mi.","$20,999"
18,2017 Lincoln MKT,"46,254 mi.","$22,998"
19,2018 Lincoln MKT Premier,"15,042 mi.","$24,500"
20,2017 Lincoln MKT 3.7L AWD w/Livery Pkg,"34,562 mi.","$21,000"
21,2018 Lincoln MKT Premier,"9,340 mi.","$26,000"
22,2018 Lincoln MKT Premier,"7,309 mi.","$26,500"
23,2017 Lincoln MKT 3.7L FWD,"18,610 mi.","$25,000"
24,2010 Lincoln MKT EcoBoost,"198,981 mi.","$7,200"
25,2017 Lincoln MKT 3.7L FWD,"18,386 mi.","$27,900"
26,2017 Lincoln MKT 3.7L AWD w/Livery Pkg,"42,189 mi.","$21,900"
27,2017 Lincoln MKT 3.7L AWD w/Livery Pkg,"49,923 mi.","$20,900"
28,2017 Lincoln MKT 3.7L AWD w/Livery Pkg,"50,995 mi.","$21,988"
29,2017 Lincoln MKT 3.7L AWD w/Livery Pkg,"45,671 mi.","$20,995"
30,2017 Lincoln MKT 3.7L AWD w/Livery Pkg,"39,691 mi.","$21,995"
31,2016 Lincoln MKT EcoBoost,"27,337 mi.","$29,491"
32,2016 Lincoln MKT EcoBoost,"28,697 mi.","$27,700"
33,2014 Lincoln MKT Base,"72,189 mi.","$15,900"
34,2015 Lincoln MKT EcoBoost,"25,306 mi.","$26,988"
35,2014 Lincoln MKT EcoBoost,"78,785 mi.","$18,860"
36,2018 Lincoln MKT Reserve,"10,573 mi.","$37,462"
37,2016 Lincoln MKT EcoBoost,"28,881 mi.","$34,476"
38,2018 Lincoln MKT Reserve,"19,325 mi.","$38,795"
