,Name,Mileage,Price
0,2017 Lincoln MKZ Hybrid Reserve,"9,133 mi.","$28,469"
1,2014 Lincoln MKZ Hybrid Base,"40,912 mi.","$19,599"
2,2016 Lincoln MKZ Hybrid Base,"35,180 mi.","$20,998"
3,2016 Lincoln MKZ Hybrid Base,"31,665 mi.","$20,912"
4,2017 Lincoln MKZ Hybrid Reserve,"26,571 mi.","$24,981"
5,2015 Lincoln MKZ Hybrid Base,"37,933 mi.","$17,697"
6,2016 Lincoln MKZ Hybrid Base,"23,506 mi.","$18,995"
7,2016 Lincoln MKZ Hybrid Base,"48,268 mi.","$18,500"
8,2013 Lincoln MKZ Hybrid Base,"37,233 mi.","$16,988"
9,2015 Lincoln MKZ Hybrid Base,"41,748 mi.","$16,995"
10,2015 Lincoln MKZ Hybrid Base,"60,158 mi.","$15,753"
11,2016 Lincoln MKZ Hybrid,"18,423 mi.","$24,811"
12,2016 Lincoln MKZ Hybrid Black Label,"30,762 mi.","$20,709"
13,2016 Lincoln MKZ Hybrid Base,"32,221 mi.","$18,619"
14,2017 Lincoln MKZ Hybrid Premiere,"15,015 mi.","$24,000"
15,2015 Lincoln MKZ Hybrid Base,"43,509 mi.","$16,498"
16,2015 Lincoln MKZ Hybrid Base,"30,375 mi.","$18,398"
17,2015 Lincoln MKZ Hybrid Base,"34,622 mi.","$16,399"
18,2016 Lincoln MKZ Hybrid Base,"38,105 mi.","$16,999"
19,2017 Lincoln MKZ Hybrid Select,"10,478 mi.","$23,999"
20,2012 Lincoln MKZ Hybrid Base,"38,389 mi.","$12,792"
21,2017 Lincoln MKZ Hybrid Premier,"10,292 mi.","$27,891"
22,2015 Lincoln MKZ Hybrid Base,"23,822 mi.","$19,886"
23,2015 Lincoln MKZ Hybrid Base,"34,622 mi.","$16,399"
24,2016 Lincoln MKZ Hybrid Base,"38,105 mi.","$16,999"
25,2017 Lincoln MKZ Hybrid Select,"10,478 mi.","$23,999"
26,2017 Lincoln MKZ Hybrid Premier,"26,453 mi.","$22,500"
27,2013 Lincoln MKZ Hybrid Base,"65,802 mi.","$13,900"
28,2014 Lincoln MKZ Hybrid Base,"71,819 mi.","$16,995"
29,2017 Lincoln MKZ Hybrid Select,"23,819 mi.","$26,915"
30,2016 Lincoln MKZ Hybrid Base,"28,344 mi.","$22,949"
31,2017 Lincoln MKZ Hybrid Premiere,"9,543 mi.","$24,995"
32,2016 Lincoln MKZ Hybrid Base,"31,732 mi.","$18,328"
33,2016 Lincoln MKZ Hybrid Base,"32,741 mi.","$21,000"
34,2016 Lincoln MKZ Hybrid Base,"28,457 mi.","$20,898"
35,2015 Lincoln MKZ Hybrid Base,"30,889 mi.","$20,397"
36,2015 Lincoln MKZ Hybrid Base,"34,622 mi.","$16,399"
37,2016 Lincoln MKZ Hybrid Base,"38,105 mi.","$16,999"
38,2015 Lincoln MKZ Hybrid Base,"29,584 mi.","$19,643"
39,2015 Lincoln MKZ Hybrid Base,"34,622 mi.","$16,399"
40,2016 Lincoln MKZ Hybrid Base,"38,105 mi.","$16,999"
41,2017 Lincoln MKZ Hybrid Select,"10,478 mi.","$23,999"
42,2016 Lincoln MKZ Hybrid Base,"39,243 mi.","$19,998"
43,2016 Lincoln MKZ Hybrid Base,"40,582 mi.","$18,998"
44,2016 Lincoln MKZ Hybrid Base,"42,446 mi.","$16,994"
45,2017 Lincoln MKZ Hybrid Select,"11,027 mi.","$25,447"
46,2012 Lincoln MKZ Hybrid Base,"94,900 mi.","$10,647"
47,2012 Lincoln MKZ Hybrid Base,"89,811 mi.","$9,999"
48,2017 Lincoln MKZ Hybrid Reserve,"16,800 mi.","$24,731"
49,2015 Lincoln MKZ Hybrid Base,"31,460 mi.","$16,995"
50,2016 Lincoln MKZ Hybrid Base,"27,432 mi.","$17,995"
51,2016 Lincoln MKZ Hybrid Base,"45,125 mi.","$18,500"
52,2014 Lincoln MKZ Hybrid Base,"59,655 mi.","$14,995"
53,2016 Lincoln MKZ Hybrid Base,"22,794 mi.","$20,995"
54,2016 Lincoln MKZ Hybrid Base,"23,478 mi.","$20,995"
55,2017 Lincoln MKZ Hybrid Reserve,"26,681 mi.","$26,681"
56,2016 Lincoln MKZ Hybrid Base,"45,263 mi.","$17,991"
57,2016 Lincoln MKZ Hybrid Base,"40,566 mi.","$20,000"
58,2016 Lincoln MKZ Hybrid Base,"37,910 mi.","$17,995"
59,2016 Lincoln MKZ Hybrid Base,"12,127 mi.","$19,999"
60,2012 Lincoln MKZ Hybrid Base,"93,320 mi.","$7,981"
