,Name,Mileage,Price
0,2007 Lincoln Mark LT 4WD Supercrew,"102,530 mi.","$15,586"
1,"2006 Lincoln Mark LT 4WD Supercrew 139""","120,806 mi.","$12,950"
2,2006 Lincoln Mark LT,"123,001 mi.","$13,000"
3,2008 Lincoln Mark LT Base,"133,543 mi.","$13,675"
4,2008 Lincoln Mark LT,"135,372 mi.","$13,992"
5,"2006 Lincoln Mark LT 4WD Supercrew 139""","155,701 mi.","$11,994"
6,2006 Lincoln Mark LT,"154,176 mi.","$9,790"
7,2007 Lincoln Mark LT 4WD,"146,328 mi.","$11,998"
8,2007 Lincoln Mark LT Base,"172,170 mi.","$11,250"
9,"2006 Lincoln Mark LT 4WD Supercrew 139""","131,478 mi.","$14,500"
10,"2006 Lincoln Mark LT 4WD Supercrew 139""","146,843 mi.","$12,900"
11,2006 Lincoln Mark LT,"197,715 mi.","$9,978"
12,2008 Lincoln Mark LT Base 4dr SuperCrew 4WD 5.5 ft. SB,"188,970 mi.","$9,995"
13,"2007 Lincoln Mark LT 4WD Supercrew 139""""","133,274 mi.","$13,995"
14,2007 Lincoln Mark LT,"122,585 mi.","$13,995"
15,2007 Lincoln Mark LT 4WD Supercrew,"126,573 mi.","$13,998"
16,"2006 Lincoln Mark LT 2WD Supercrew 139""","139,104 mi.","$9,995"
17,2008 Lincoln Mark LT,"147,896 mi.","$13,999"
18,2007 Lincoln Mark LT,"88,145 mi.","$19,977"
19,"2006 Lincoln Mark LT 4WD Supercrew 139""","120,541 mi.","$12,000"
20,"2006 Lincoln Mark LT 4WD Supercrew 139""","166,652 mi.","$9,995"
21,2006 Lincoln Mark LT,"108,783 mi.","$13,888"
22,"2006 Lincoln Mark LT 2WD Supercrew 139""","127,478 mi.","$9,991"
23,2007 Lincoln Mark LT,"163,700 mi.","$10,495"
24,2006 Lincoln Mark LT,"145,454 mi.","$10,995"
25,"2006 Lincoln Mark LT 2WD Supercrew 139""","148,323 mi.","$10,991"
26,2006 Lincoln Mark LT,"166,282 mi.","$10,285"
27,2006 Lincoln Mark LT Base 4dr SuperCrew 4WD SB,"132,011 mi.","$10,744"
28,2006 Lincoln Mark LT,"117,237 mi.","$13,477"
29,"2006 Lincoln Mark LT 2WD Supercrew 139""","139,224 mi.","$11,499"
