,Name,Mileage,Price
0,2016 Lincoln Navigator L Reserve,"68,730 mi.","$37,500"
1,2019 Lincoln Navigator L Reserve,"1,589 mi.","$99,950"
2,2018 Lincoln Navigator L Select,"17,460 mi.","$72,950"
3,2017 Lincoln Navigator L Reserve,"20,532 mi.","$47,995"
4,2018 Lincoln Navigator L Select,"17,460 mi.","$72,950"
5,2017 Lincoln Navigator L Reserve,"15,899 mi.","$51,808"
6,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
7,2016 Lincoln Navigator L Select,"5,873 mi.","$42,984"
8,2018 Lincoln Navigator L Select,"16,652 mi.","$71,479"
9,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
10,2018 Lincoln Navigator L Select,"13,955 mi.","$69,971"
11,2017 Lincoln Navigator L Reserve,"29,154 mi.","$49,995"
12,2017 Lincoln Navigator L Reserve,"18,754 mi.","$52,995"
13,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
14,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
15,2017 Lincoln Navigator L Reserve,"19,645 mi.","$47,700"
16,2016 Lincoln Navigator L Select,"74,401 mi.","$31,971"
17,2017 Lincoln Navigator L Select,"36,430 mi.","$39,959"
18,2016 Lincoln Navigator L Select,"46,419 mi.","$31,990"
19,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
20,2017 Lincoln Navigator L Reserve,"27,791 mi.","$46,798"
21,2016 Lincoln Navigator L Select,"37,516 mi.","$34,999"
22,2016 Lincoln Navigator L Select,"53,932 mi.","$36,697"
23,2016 Lincoln Navigator L Select,"53,932 mi.","$36,697"
24,2016 Lincoln Navigator L Reserve,"21,084 mi.","$49,900"
25,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
26,2017 Lincoln Navigator L Reserve,"19,306 mi.","$52,595"
27,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
28,2018 Lincoln Navigator L Reserve,"1,493 mi.","$87,900"
29,2018 Lincoln Navigator L Select,"23,385 mi.","$68,900"
30,2016 Lincoln Navigator L Reserve,"70,064 mi.","$39,265"
31,2017 Lincoln Navigator L Reserve,"28,847 mi.","$49,969"
32,2017 Lincoln Navigator L Reserve,"26,650 mi.","$46,490"
33,2017 Lincoln Navigator L Select,"28,897 mi.","$48,395"
34,2016 Lincoln Navigator L Select,"74,628 mi.","$33,545"
35,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
36,2018 Lincoln Navigator L Select,"19,894 mi.","$70,995"
37,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
38,2016 Lincoln Navigator L Reserve,"61,256 mi.","$42,423"
39,2016 Lincoln Navigator L Reserve,"35,918 mi.","$47,987"
40,2017 Lincoln Navigator L Reserve,"19,000 mi.","$49,872"
41,2016 Lincoln Navigator L Select,"77,209 mi.","$36,995"
42,2018 Lincoln Navigator L Select,"20,624 mi.","$67,999"
43,2016 Lincoln Navigator L Reserve,"55,167 mi.","$44,666"
44,2018 Lincoln Navigator L Select,"12,451 mi.","$72,800"
45,2017 Lincoln Navigator L Select,"65,421 mi.","$39,995"
46,2017 Lincoln Navigator L Select,"44,210 mi.","$45,995"
47,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
48,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
49,2016 Lincoln Navigator L Select,"37,516 mi.","$34,999"
50,2016 Lincoln Navigator L Select,"38,492 mi.","$37,891"
51,2018 Lincoln Navigator L Select,"20,487 mi.","$68,163"
52,2016 Lincoln Navigator L Select,"44,753 mi.","$38,140"
53,2016 Lincoln Navigator L Reserve,"56,411 mi.","$38,986"
54,2016 Lincoln Navigator L Select,"60,150 mi.","$36,499"
55,2016 Lincoln Navigator L Select,"84,294 mi.","$29,795"
56,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
57,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
58,2016 Lincoln Navigator L Reserve,"53,045 mi.","$45,350"
59,2018 Lincoln Navigator L Select,"25,194 mi.","$74,995"
60,2018 Lincoln Navigator L Select,"26,740 mi.","$66,712"
61,2016 Lincoln Navigator L Reserve,"29,685 mi.","$47,500"
62,2016 Lincoln Navigator L Select,"22,840 mi.","$39,973"
63,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
64,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
65,2016 Lincoln Navigator L Select,"41,524 mi.","$36,923"
66,2017 Lincoln Navigator L Reserve,"20,601 mi.","$51,799"
67,2016 Lincoln Navigator L Reserve,"33,604 mi.","$49,839"
68,2016 Lincoln Navigator L Reserve,"30,467 mi.","$47,995"
69,2016 Lincoln Navigator L Select,"61,631 mi.","$38,995"
70,2018 Lincoln Navigator L Select,"17,830 mi.","$74,493"
71,2016 Lincoln Navigator L Reserve,"48,349 mi.","$39,995"
72,2016 Lincoln Navigator L Select,"47,990 mi.","$34,000"
73,2017 Lincoln Navigator L Select,"26,364 mi.","$45,988"
74,2018 Lincoln Navigator L Select,"22,782 mi.","$69,000"
75,2016 Lincoln Navigator L Select,"30,016 mi.","$41,350"
76,2018 Lincoln Navigator L Black Label,"3,984 mi.","$95,988"
77,2018 Lincoln Navigator L Select,"21,802 mi.","$69,940"
78,2016 Lincoln Navigator L Select,"40,530 mi.","$40,913"
79,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
80,2016 Lincoln Navigator L Select,"61,275 mi.","$30,740"
81,2016 Lincoln Navigator L Select,"66,612 mi.","$33,549"
82,2017 Lincoln Navigator L Select,"23,732 mi.","$46,598"
83,2017 Lincoln Navigator L Select,"35,238 mi.","$40,200"
84,2018 Lincoln Navigator L Select,"17,126 mi.","$73,000"
85,2016 Lincoln Navigator L Select,"40,530 mi.","$40,913"
86,2016 Lincoln Navigator L Select,"37,516 mi.","$34,999"
87,2016 Lincoln Navigator L Select,"37,516 mi.","$34,999"
88,2016 Lincoln Navigator L Select,"33,300 mi.","$43,995"
89,2017 Lincoln Navigator L Select,"20,404 mi.","$44,595"
90,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
91,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
92,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
93,2016 Lincoln Navigator L Reserve,"59,302 mi.","$39,425"
94,2016 Lincoln Navigator L Select,"37,516 mi.","$34,999"
95,2016 Lincoln Navigator L Reserve,"41,314 mi.","$45,494"
96,2016 Lincoln Navigator L Select,"37,516 mi.","$34,999"
97,2017 Lincoln Navigator L Select,"36,462 mi.","$43,998"
98,2016 Lincoln Navigator L Reserve,"49,453 mi.","$37,488"
99,2016 Lincoln Navigator L Select,"98,410 mi.","$28,334"
100,2016 Lincoln Navigator L Reserve,"34,652 mi.","$42,994"
101,2018 Lincoln Navigator L Select,"17,480 mi.","$68,995"
102,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
103,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
104,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
105,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
106,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
107,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
108,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
109,2016 Lincoln Navigator L Reserve,"37,088 mi.","$49,700"
110,2017 Lincoln Navigator L Select,"33,203 mi.","$43,800"
111,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
112,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
113,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
114,2016 Lincoln Navigator L Select,"37,516 mi.","$34,999"
115,2018 Lincoln Navigator L Select,"23,385 mi.","$68,900"
116,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
117,2017 Lincoln Navigator L Reserve,"40,635 mi.","$45,980"
118,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
119,2017 Lincoln Navigator L Select,"43,577 mi.","$42,895"
120,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
121,2018 Lincoln Navigator L Select,"14,828 mi.","$73,450"
122,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
123,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
124,2017 Lincoln Navigator L Reserve,"41,257 mi.","$47,895"
125,2017 Lincoln Navigator L Reserve,"27,000 mi.","$47,693"
126,2018 Lincoln Navigator L Reserve,"23,896 mi.","$78,995"
127,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
128,2017 Lincoln Navigator L Reserve,"29,162 mi.","$50,995"
129,2017 Lincoln Navigator L Select,"46,263 mi.","$44,995"
130,2017 Lincoln Navigator L Select,"26,026 mi.","$42,495"
131,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
132,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
133,2017 Lincoln Navigator L Select,"33,016 mi.","$44,851"
134,2016 Lincoln Navigator L Reserve,"38,938 mi.","$41,787"
135,2016 Lincoln Navigator L Select,"37,516 mi.","$34,999"
136,2017 Lincoln Navigator L Reserve,"22,393 mi.","$51,954"
137,2017 Lincoln Navigator L Select,"10,633 mi.","$45,998"
138,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
139,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
140,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
141,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
142,2017 Lincoln Navigator L Select,"31,122 mi.","$39,180"
143,2017 Lincoln Navigator L Reserve,"35,847 mi.","$48,734"
144,2017 Lincoln Navigator L Select,"27,003 mi.","$52,919"
145,2016 Lincoln Navigator L Select,"28,335 mi.","$45,919"
146,2016 Lincoln Navigator L Select,"46,965 mi.","$37,180"
147,2016 Lincoln Navigator L Select,"36,798 mi.","$40,025"
148,2018 Lincoln Navigator L Select,"25,368 mi.","$70,000"
