,Name,Mileage,Price
0,2017 Lotus Evora 400 Coupe,71 mi.,"$94,650"
1,2017 Lotus Evora 400 Coupe,237 mi.,"$93,975"
2,2006 Lotus Elise,"11,012 mi.","$48,000"
3,2005 Lotus Elise 2dr Convertible,"70,987 mi.","$29,995"
4,2017 Lotus Evora 400 Base,"1,882 mi.","$74,900"
5,2011 Lotus Evora,"14,000 mi.","$44,500"
6,2018 Lotus Evora 400 Base,"1,581 mi.","$77,990"
7,1995 Lotus Esprit S4,"30,305 mi.","$32,500"
8,2017 Lotus Evora 400,"3,481 mi.","$77,995"
9,2013 Lotus Evora S 2+2,"29,648 mi.","$49,900"
10,2017 Lotus Evora 400 Base,"12,467 mi.","$79,690"
11,2017 Lotus Evora 400 Base,"12,467 mi.","$79,690"
12,2017 Lotus Evora 400 Coupe,"1,031 mi.","$87,900"
13,2017 Lotus Evora 400 Coupe,49 mi.,"$85,911"
14,2017 Lotus Evora 400 Coupe,15 mi.,"$88,900"
15,2017 Lotus Evora 400 Coupe,"1,643 mi.","$79,995"
16,2017 Lotus Evora 400 Coupe,9 mi.,"$87,900"
17,2017 Lotus Evora 400 Base,408 mi.,"$79,900"
18,2017 Lotus Evora 400 Base,"6,589 mi.","$77,900"
19,1971 Lotus Elan,"33,413 mi.","$29,900"
20,2017 Lotus Evora 400 Coupe,"2,875 mi.","$72,894"
21,2010 Lotus Evora 2+2,"15,392 mi.","$52,900"
22,2007 Lotus Elise,"12,132 mi.","$38,900"
23,2010 Lotus Evora 2+2,"12,152 mi.","$52,995"
24,2017 Lotus Evora 400 Coupe,47 mi.,"$92,115"
25,2017 Lotus Evora 400,"4,377 mi.","$87,898"
26,2006 Lotus Elise,"34,552 mi.","$35,950"
27,2005 Lotus Elise 2dr Convertible,"16,003 mi.","$36,991"
28,2007 Lotus Elise,"19,092 mi.","$44,950"
29,2009 Lotus Elise TOURING,"5,407 mi.","$55,900"
30,2010 Lotus Elise TOURING PERFORMANCE,"7,713 mi.","$52,900"
31,2011 Lotus Exige S 260,"13,226 mi.","$82,900"
32,2017 Lotus Evora 400 Base,"3,507 mi.","$76,500"
33,2017 Lotus Evora 400 Base,"1,886 mi.","$74,639"
34,2011 Lotus Evora 2+2,"2,896 mi.","$46,900"
35,2011 Lotus Evora S 2+2,"18,046 mi.","$47,395"
36,2014 Lotus Evora S,"22,100 mi.","$55,987"
37,2006 Lotus Exige 2dr Coupe,"7,472 mi.","$64,999"
38,2013 Lotus Evora S 2+2,"11,670 mi.","$50,977"
39,2014 Lotus Evora S 2+2,"3,988 mi.","$64,900"
40,2011 Lotus Evora 2dr Coupe,"14,223 mi.","$49,999"
41,2017 Lotus Evora 400 Base,70 mi.,"$77,900"
42,2014 Lotus Evora S 2+2,"21,592 mi.","$54,498"
43,2005 Lotus Elise,"27,704 mi.","$37,950"
44,2011 Lotus Evora 2+2,"15,688 mi.","$40,150"
45,2017 Lotus Evora 400 Base,105 mi.,"$79,900"
46,2005 Lotus Elise,"30,500 mi.","$32,999"
47,2010 Lotus Elise 2dr Conv,"17,359 mi.","$45,900"
48,2013 Lotus Evora 2+2,"22,344 mi.","$44,900"
49,2014 Lotus Evora 2+2,206 mi.,"$64,990"
50,2006 Lotus Elise,"15,617 mi.","$39,900"
51,2005 Lotus Elise,"25,682 mi.","$32,500"
52,2011 Lotus Exige S,53 mi.,"$99,500"
53,2006 Lotus Elise 2dr Convertible,"14,492 mi.","$37,900"
54,2013 Lotus Evora 2+2,"11,900 mi.","$54,494"
