,Name,Mileage,Price
0,2019 MINI Convertible Cooper,185 mi.,"$35,745"
1,2019 MINI Convertible Cooper S,"2,164 mi.","$30,995"
2,2015 MINI Convertible Cooper,"23,633 mi.","$15,996"
3,2019 MINI Convertible Cooper S,"5,364 mi.","$31,199"
4,2015 MINI Convertible Cooper,"13,216 mi.","$15,990"
5,2013 MINI Convertible Cooper S,"47,940 mi.","$13,000"
6,2013 MINI Convertible Cooper S,"40,799 mi.","$14,500"
7,2015 MINI Convertible Cooper S,"18,028 mi.","$22,997"
8,2015 MINI Convertible Cooper,"11,213 mi.","$15,997"
9,2013 MINI Convertible Cooper S,"56,657 mi.","$12,997"
10,2016 MINI Convertible Cooper S,"26,763 mi.","$23,497"
11,2018 MINI Convertible Cooper S,"10,521 mi.","$26,997"
12,2018 MINI Convertible Cooper,"7,764 mi.","$23,997"
13,2015 MINI Convertible Cooper S,"36,600 mi.","$19,997"
14,2019 MINI Convertible Cooper,"12,255 mi.","$24,900"
15,2019 MINI Convertible Cooper,"12,687 mi.","$24,900"
16,2016 MINI Convertible Cooper S,"41,414 mi.","$21,180"
17,2015 MINI Convertible Cooper S,"18,595 mi.","$19,691"
18,2015 MINI Convertible Cooper S,"31,172 mi.","$15,984"
19,2013 MINI Convertible John Cooper Works,"21,266 mi.","$19,341"
20,2015 MINI Convertible Cooper S,"11,185 mi.","$20,995"
21,2016 MINI Convertible Cooper S,"26,530 mi.","$22,989"
22,2014 MINI Convertible Cooper S,"56,770 mi.","$14,450"
23,2015 MINI Convertible Cooper,"29,239 mi.","$14,999"
24,2017 MINI Convertible Cooper S,"17,055 mi.","$22,853"
25,2013 MINI Convertible Cooper S,"32,885 mi.","$14,995"
26,2015 MINI Convertible Cooper,"29,239 mi.","$14,999"
27,2015 MINI Convertible Cooper S,"26,237 mi.","$20,200"
28,2015 MINI Convertible Cooper,"17,541 mi.","$19,300"
29,2014 MINI Convertible Cooper,"43,184 mi.","$13,980"
30,2016 MINI Convertible Cooper,"12,399 mi.","$22,350"
31,2018 MINI Convertible Cooper S,"9,716 mi.","$29,300"
32,2018 MINI Convertible Cooper S,"3,057 mi.","$30,800"
33,2015 MINI Convertible Cooper,"29,239 mi.","$14,999"
34,2015 MINI Convertible Cooper,"32,827 mi.","$15,494"
35,2015 MINI Convertible Cooper,"29,239 mi.","$14,999"
36,2016 MINI Convertible Cooper,"12,005 mi.","$19,495"
