,Name,Mileage,Price
0,2010 MINI Cooper Clubman Base,"48,380 mi.","$6,995"
1,2011 MINI Cooper Clubman Base,"81,717 mi.","$8,995"
2,2008 MINI Cooper Clubman,"107,000 mi.","$6,995"
3,2012 MINI Cooper Clubman Base,"46,459 mi.","$9,125"
4,2010 MINI Cooper Clubman Base,"73,615 mi.","$7,499"
5,2012 MINI Cooper Clubman Base,"96,483 mi.","$7,700"
6,2011 MINI Cooper Clubman Base,"91,054 mi.","$8,492"
7,2009 MINI Cooper Clubman,"108,555 mi.","$5,999"
8,2010 MINI Cooper Clubman,"89,593 mi.","$8,445"
9,2011 MINI Cooper Clubman Base,"80,549 mi.","$9,991"
10,2009 MINI Cooper Clubman,"103,883 mi.","$5,993"
11,2010 MINI Cooper Clubman,"77,005 mi.","$10,599"
12,2008 MINI Cooper Clubman,"112,425 mi.","$6,980"
13,2008 MINI Cooper Clubman,"97,361 mi.","$6,994"
14,2009 MINI Cooper Clubman,"71,864 mi.","$7,995"
15,2009 MINI Cooper Clubman Base,"89,000 mi.","$6,400"
16,2011 MINI Cooper Clubman Base,"92,980 mi.","$6,995"
17,2012 MINI Cooper Clubman Base,"86,233 mi.","$8,990"
18,2008 MINI Cooper Clubman Base,"137,876 mi.","$5,455"
19,2010 MINI Cooper Clubman,"75,656 mi.","$8,250"
20,2009 MINI Cooper Clubman Base,"75,761 mi.","$6,500"
21,2010 MINI Cooper Clubman Base,"87,149 mi.","$7,999"
22,2012 MINI Cooper Clubman Base,"59,213 mi.","$8,937"
23,2009 MINI Cooper Clubman John Cooper Works,"116,371 mi.","$8,340"
24,2009 MINI Cooper Clubman Base,"95,172 mi.","$6,200"
25,2011 MINI Cooper Clubman Base,"75,907 mi.","$7,721"
26,2009 MINI Cooper Clubman Base,"112,658 mi.","$6,300"
27,2011 MINI Cooper Clubman Base,"73,117 mi.","$9,991"
28,2008 MINI Cooper Clubman,"46,902 mi.","$7,324"
29,2010 MINI Cooper Clubman,"82,133 mi.","$6,500"
30,2008 MINI Cooper Clubman,"88,425 mi.","$6,993"
31,2009 MINI Cooper Clubman Base,"63,379 mi.","$6,749"
32,2010 MINI Cooper Clubman Base,"82,837 mi.","$7,950"
33,2010 MINI Cooper Clubman Base,"88,430 mi.","$6,989"
34,2011 MINI Cooper Clubman Base,"52,478 mi.","$7,999"
35,2008 MINI Cooper Clubman Base,"121,187 mi.","$4,500"
36,2009 MINI Cooper Clubman,"105,525 mi.","$7,699"
37,2009 MINI Cooper Clubman Base,"96,309 mi.","$6,099"
38,2009 MINI Cooper Clubman,"54,073 mi.","$9,998"
39,2009 MINI Cooper Clubman Base,"84,975 mi.","$6,995"
40,2009 MINI Cooper Clubman Base,"97,717 mi.","$5,600"
41,2012 MINI Cooper Clubman Base,"53,000 mi.","$7,399"
42,2008 MINI Cooper Clubman Base,"67,606 mi.","$7,000"
43,2008 MINI Cooper Clubman Base,"97,313 mi.","$6,877"
44,2010 MINI Cooper Clubman Base,"46,871 mi.","$8,999"
45,2011 MINI Cooper Clubman,"50,500 mi.","$8,994"
46,2009 MINI Cooper Clubman,"69,113 mi.","$7,994"
47,2009 MINI Cooper Clubman,"51,753 mi.","$11,599"
48,2012 MINI Cooper Clubman Base,"8,699 mi.","$9,999"
49,2009 MINI Cooper Clubman Base,"97,269 mi.","$4,990"
50,2012 MINI Cooper Clubman Base,"48,058 mi.","$12,598"
51,2008 MINI Cooper Clubman Base,"114,906 mi.","$5,990"
52,2010 MINI Cooper Clubman Base,"108,386 mi.","$4,995"
