,Name,Mileage,Price
0,2012 MINI Cooper Countryman Base,"64,985 mi.","$11,995"
1,2012 MINI Cooper Countryman Base,"68,037 mi.","$11,875"
2,2011 MINI Cooper Countryman Base,"32,531 mi.","$13,891"
3,2011 MINI Cooper Countryman Base,"84,587 mi.","$7,291"
4,2012 MINI Cooper Countryman Base,"47,356 mi.","$9,999"
5,2012 MINI Cooper Countryman Base,"26,172 mi.","$11,791"
6,2012 MINI Cooper Countryman Base,"56,622 mi.","$10,950"
7,2012 MINI Cooper Countryman Base,"76,881 mi.","$8,995"
8,2012 MINI Cooper Countryman Base,"67,173 mi.","$11,599"
9,2012 MINI Cooper Countryman Base,"78,041 mi.","$11,495"
10,2011 MINI Cooper Countryman Base,"81,027 mi.","$9,901"
11,2012 MINI Cooper Countryman Base,"95,613 mi.","$9,052"
12,2011 MINI Cooper Countryman Base,"50,274 mi.","$12,998"
13,2012 MINI Cooper Countryman Base,"72,179 mi.","$11,210"
14,2012 MINI Cooper Countryman Base,"68,888 mi.","$11,998"
15,2011 MINI Cooper Countryman Base,"72,587 mi.","$9,158"
16,2011 MINI Cooper Countryman Base,"121,639 mi.","$7,995"
17,2012 MINI Cooper Countryman Base,"95,651 mi.","$9,699"
18,2012 MINI Cooper Countryman Base,"83,829 mi.","$12,599"
19,2012 MINI Cooper Countryman Base,"43,428 mi.","$10,996"
20,2012 MINI Cooper Countryman Base,"81,952 mi.","$11,998"
21,2011 MINI Cooper Countryman Base,"76,804 mi.","$8,998"
22,2011 MINI Cooper Countryman Base,"56,656 mi.","$12,599"
23,2012 MINI Cooper Countryman Base,"69,950 mi.","$10,998"
24,2011 MINI Cooper Countryman Base,"81,592 mi.","$8,499"
25,2012 MINI Cooper Countryman Base,"100,918 mi.","$8,950"
26,2011 MINI Cooper Countryman Base,"86,279 mi.","$9,495"
27,2011 MINI Cooper Countryman Base,"75,600 mi.","$9,995"
28,2012 MINI Cooper Countryman Base,"105,256 mi.","$8,995"
29,2012 MINI Cooper Countryman Base,"51,453 mi.","$10,340"
30,2012 MINI Cooper Countryman Base,"83,152 mi.","$9,995"
31,2012 MINI Cooper Countryman Base,"94,920 mi.","$8,590"
32,2012 MINI Cooper Countryman Base,"43,240 mi.","$13,646"
33,2011 MINI Cooper Countryman Base,"120,691 mi.","$6,977"
34,2011 MINI Cooper Countryman Base,"65,365 mi.","$11,995"
35,2012 MINI Cooper Countryman Base,"49,368 mi.","$12,990"
36,2012 MINI Cooper Countryman Base,"58,428 mi.","$10,999"
37,2011 MINI Cooper Countryman Base,"106,100 mi.","$8,999"
38,2011 MINI Cooper Countryman Base,"60,756 mi.","$9,995"
39,2012 MINI Cooper Countryman Base,"73,472 mi.","$10,500"
40,2012 MINI Cooper Countryman Base,"83,066 mi.","$9,995"
41,2012 MINI Cooper Countryman Base,"64,285 mi.","$11,995"
42,2012 MINI Cooper Countryman Base,"53,000 mi.","$11,999"
43,2011 MINI Cooper Countryman Base,"72,750 mi.","$8,950"
44,2012 MINI Cooper Countryman Base,"42,956 mi.","$13,495"
45,2012 MINI Cooper Countryman Base,"105,368 mi.","$8,977"
46,2011 MINI Cooper Countryman Base,"122,839 mi.","$9,381"
47,2012 MINI Cooper Countryman Base,"80,262 mi.","$9,999"
48,2012 MINI Cooper Countryman Base,"53,087 mi.","$13,995"
49,2012 MINI Cooper Countryman Base,"95,581 mi.","$10,995"
50,2012 MINI Cooper Countryman Base,"139,000 mi.","$7,850"
51,2012 MINI Cooper Countryman Base,"67,891 mi.","$9,995"
52,2012 MINI Cooper Countryman Base,"92,187 mi.","$9,995"
53,2011 MINI Cooper Countryman Base,"114,249 mi.","$9,920"
54,2012 MINI Cooper Countryman Base,"158,449 mi.","$5,200"
55,2012 MINI Cooper Countryman Base,"125,000 mi.","$6,000"
56,2011 MINI Cooper Countryman Base,"66,451 mi.","$5,900"
57,2012 MINI Cooper Countryman Base,"44,225 mi.","$10,995"
58,2012 MINI Cooper Countryman Base,"62,000 mi.","$9,500"
59,2012 MINI Cooper Countryman Base,"45,400 mi.","$12,499"
60,2011 MINI Cooper Countryman Base,"33,900 mi.","$9,995"
61,2011 MINI Cooper Countryman Base,"63,000 mi.","$9,600"
62,2012 MINI Cooper Countryman Base,"57,479 mi.","$10,998"
63,2011 MINI Cooper Countryman Base,"67,112 mi.","$11,599"
64,2011 MINI Cooper Countryman Base,"64,963 mi.","$9,795"
65,2012 MINI Cooper Countryman Base,"45,700 mi.","$11,254"
66,2012 MINI Cooper Countryman Base,"92,843 mi.",Not Priced
67,2012 MINI Cooper Countryman Base,"131,847 mi.","$6,600"
68,2012 MINI Cooper Countryman Base,"87,372 mi.",Not Priced
69,2011 MINI Cooper Countryman Base,"98,111 mi.","$6,950"
70,2012 MINI Cooper Countryman Base,"45,655 mi.","$13,599"
