,Name,Mileage,Price
0,2005 MINI Cooper S,"93,374 mi.","$4,889"
1,2011 MINI Cooper S Base,"58,052 mi.","$8,000"
2,2007 MINI Cooper S Base,"73,881 mi.","$7,588"
3,2010 MINI Cooper S,"49,990 mi.","$10,599"
4,2012 MINI Cooper S Base,"32,681 mi.","$10,900"
5,2011 MINI Cooper S Base,"55,296 mi.","$8,988"
6,2008 MINI Cooper S Base,"93,176 mi.","$6,500"
7,2012 MINI Cooper S Base,"56,286 mi.","$12,042"
8,2012 MINI Cooper S Base,"40,725 mi.","$12,488"
9,2008 MINI Cooper S,"82,800 mi.","$6,991"
10,2011 MINI Cooper S Base,"69,018 mi.","$8,791"
11,2005 MINI Cooper S Base,"56,731 mi.","$7,700"
12,2012 MINI Cooper S Base,"24,225 mi.","$14,460"
13,2012 MINI Cooper S Base,"59,717 mi.","$10,692"
14,2006 MINI Cooper S Base,"104,054 mi.","$5,980"
15,2011 MINI Cooper S Base,"85,017 mi.","$7,999"
16,2009 MINI Cooper S Base,"83,535 mi.","$8,988"
17,2007 MINI Cooper S,"74,680 mi.","$6,995"
18,2011 MINI Cooper S Base,"88,707 mi.","$9,500"
19,2010 MINI Cooper S Base,"83,961 mi.","$7,950"
20,2007 MINI Cooper S Base,"93,876 mi.","$4,995"
21,2008 MINI Cooper S,"96,419 mi.","$6,710"
22,2012 MINI Cooper S Base,"69,856 mi.","$8,977"
23,2011 MINI Cooper S Base,"55,967 mi.","$12,599"
24,2009 MINI Cooper S,"74,066 mi.","$7,488"
25,2012 MINI Cooper S Base,"59,953 mi.","$10,988"
26,2012 MINI Cooper S Base,"79,688 mi.","$10,999"
27,2006 MINI Cooper S Base,"72,209 mi.","$6,899"
28,2007 MINI Cooper S,"123,662 mi.","$7,495"
29,2012 MINI Cooper S Base,"73,614 mi.","$10,000"
30,2012 MINI Cooper S Base,"71,017 mi.","$9,995"
31,2011 MINI Cooper S Base,"48,181 mi.","$9,492"
32,2011 MINI Cooper S Base,"117,761 mi.","$7,499"
33,2008 MINI Cooper S Base,"101,076 mi.","$6,500"
34,2003 MINI Cooper S,"109,625 mi.","$5,001"
35,2010 MINI Cooper S,"99,632 mi.","$8,800"
36,2005 MINI Cooper S,"150,464 mi.","$4,577"
37,2009 MINI Cooper S Base,"128,231 mi.","$8,500"
38,2009 MINI Cooper S,"79,990 mi.","$9,500"
39,2012 MINI Cooper S Base,"61,460 mi.","$11,993"
40,2012 MINI Cooper S Base,"64,298 mi.","$10,495"
41,2008 MINI Cooper S,"50,715 mi.","$10,998"
42,2009 MINI Cooper S,"90,763 mi.","$8,404"
43,2010 MINI Cooper S Base,"62,200 mi.","$9,944"
44,2010 MINI Cooper S Base,"67,833 mi.","$8,745"
45,2006 MINI Cooper S,"120,860 mi.","$6,000"
46,2010 MINI Cooper S Base,"76,724 mi.","$8,800"
47,2007 MINI Cooper S Base,"55,567 mi.","$8,995"
48,2008 MINI Cooper S,"116,166 mi.","$6,367"
49,2012 MINI Cooper S Base,"51,010 mi.","$12,990"
50,2008 MINI Cooper S,"114,034 mi.","$6,584"
51,2011 MINI Cooper S Base,"67,360 mi.","$7,981"
52,2010 MINI Cooper S,"116,555 mi.","$6,901"
53,2010 MINI Cooper S,"47,880 mi.","$10,350"
54,2006 MINI Cooper S,"87,999 mi.","$6,450"
55,2011 MINI Cooper S Base,"92,349 mi.","$8,950"
56,2009 MINI Cooper S,"49,769 mi.","$8,995"
57,2010 MINI Cooper S,"71,625 mi.","$8,744"
58,2010 MINI Cooper S,"101,845 mi.","$5,599"
59,2012 MINI Cooper S Base,"70,234 mi.","$11,991"
