,Name,Mileage,Price
0,2011 MINI Cooper Base,"56,981 mi.","$9,995"
1,2011 MINI Cooper Base,"64,888 mi.","$8,750"
2,2011 MINI Cooper Base,"87,479 mi.","$7,801"
3,2011 MINI Cooper Base,"71,205 mi.","$6,499"
4,2012 MINI Cooper Base,"37,685 mi.","$10,595"
5,2011 MINI Cooper Base,"107,874 mi.","$8,500"
6,2010 MINI Cooper,"54,437 mi.","$9,950"
7,2003 MINI Cooper Base,"19,260 mi.","$7,999"
8,2011 MINI Cooper Base,"42,027 mi.","$11,599"
9,2012 MINI Cooper Base,"86,598 mi.","$7,988"
10,2010 MINI Cooper,"43,320 mi.","$8,500"
11,2012 MINI Cooper Base,"83,125 mi.","$8,750"
12,2012 MINI Cooper Base,"89,956 mi.","$7,500"
13,2012 MINI Cooper Base,"51,958 mi.","$11,995"
14,2012 MINI Cooper Base,"53,442 mi.","$16,000"
15,2012 MINI Cooper Base,"44,317 mi.","$14,809"
16,2008 MINI Cooper Base,"30,690 mi.","$8,989"
17,2011 MINI Cooper Base,"83,007 mi.","$7,999"
18,2012 MINI Cooper Base,"88,832 mi.","$8,287"
19,2007 MINI Cooper Base,"69,671 mi.","$7,496"
20,2012 MINI Cooper S,"28,294 mi.","$13,000"
21,2011 MINI Cooper Base,"81,468 mi.","$7,445"
22,2012 MINI Cooper Base,"62,768 mi.","$9,000"
23,2010 MINI Cooper Base,"103,530 mi.","$6,999"
24,2004 MINI Cooper Base,"157,067 mi.","$4,499"
25,2012 MINI Cooper Base,"92,805 mi.","$9,378"
26,2011 MINI Cooper Base,"81,676 mi.","$9,445"
27,2012 MINI Cooper Base,"80,159 mi.","$8,612"
28,2012 MINI Cooper Base,"88,000 mi.","$9,491"
29,2004 MINI Cooper,"64,000 mi.","$6,500"
30,2011 MINI Cooper Base,"55,321 mi.","$9,998"
31,2005 MINI Cooper Base,"98,078 mi.","$5,994"
32,2011 MINI Cooper Base,"78,395 mi.","$7,850"
33,2007 MINI Cooper,"71,070 mi.","$5,580"
34,2012 MINI Cooper Base,"23,522 mi.","$12,500"
35,2009 MINI Cooper,"103,195 mi.","$6,491"
36,2008 MINI Cooper,"75,173 mi.","$5,999"
37,2010 MINI Cooper Base,"59,810 mi.","$5,900"
38,2008 MINI Cooper STANDARD,"67,075 mi.","$6,820"
39,2009 MINI Cooper,"134,570 mi.","$5,911"
40,2012 MINI Cooper Base,"72,725 mi.","$7,990"
41,2012 MINI Cooper Base,"97,785 mi.","$8,699"
42,2012 MINI Cooper Base,"45,024 mi.","$10,935"
43,2005 MINI Cooper Base,"128,930 mi.","$3,483"
44,2011 MINI Cooper Base,"99,665 mi.","$7,942"
45,2006 MINI Cooper Base,"67,291 mi.","$6,170"
46,2011 MINI Cooper Base,"50,628 mi.","$10,496"
47,2012 MINI Cooper Base,"68,510 mi.","$8,699"
48,2011 MINI Cooper Base,"73,375 mi.","$10,490"
49,2009 MINI Cooper Base,"84,304 mi.","$6,990"
50,2009 MINI Cooper,"109,694 mi.","$4,950"
51,2005 MINI Cooper Base,"62,973 mi.","$5,995"
52,2005 MINI Cooper,"142,543 mi.","$4,200"
53,2010 MINI Cooper Base,"70,546 mi.","$8,980"
54,2011 MINI Cooper Base,"109,655 mi.","$9,267"
55,2009 MINI Cooper Base,"110,528 mi.","$6,495"
56,2007 MINI Cooper Base,"82,157 mi.","$7,495"
57,2006 MINI Cooper,"106,805 mi.","$4,200"
58,2011 MINI Cooper Base,"58,135 mi.","$9,995"
59,2012 MINI Cooper Base,"33,347 mi.","$11,990"
60,2012 MINI Cooper Base,"33,347 mi.","$11,990"
61,2012 MINI Cooper Base,"48,792 mi.","$13,000"
62,2012 MINI Cooper Base,"60,311 mi.","$11,804"
63,2012 MINI Cooper Base,"43,270 mi.","$8,985"
64,2010 MINI Cooper,"53,113 mi.","$9,110"
65,2006 MINI Cooper,"144,301 mi.","$4,900"
66,2012 MINI Cooper Base,"34,961 mi.","$12,500"
67,2011 MINI Cooper Base,"93,982 mi.","$6,765"
68,2009 MINI Cooper,"40,463 mi.","$6,890"
69,2012 MINI Cooper Base,"50,459 mi.","$10,895"
70,2009 MINI Cooper Base,"80,786 mi.","$6,866"
71,2012 MINI Cooper Base,"74,882 mi.","$7,495"
72,2010 MINI Cooper,"86,253 mi.","$6,750"
73,2012 MINI Cooper Base,"84,591 mi.","$8,600"
74,2003 MINI Cooper,"113,843 mi.","$4,077"
75,2012 MINI Cooper Base,"58,871 mi.","$9,880"
76,2008 MINI Cooper Base,"132,600 mi.","$3,993"
77,2012 MINI Cooper Base,"99,983 mi.","$7,000"
78,2012 MINI Cooper Base,"38,130 mi.","$9,620"
79,2011 MINI Cooper Base,"68,086 mi.","$8,320"
80,2012 MINI Cooper Base,"58,199 mi.","$12,800"
81,2011 MINI Cooper Base,"98,634 mi.","$7,987"
82,2009 MINI Cooper,"50,649 mi.","$6,450"
83,2007 MINI Cooper,"72,952 mi.","$2,991"
84,2011 MINI Cooper Base,"82,140 mi.","$9,878"
85,2008 MINI Cooper,"48,778 mi.","$8,477"
86,2008 MINI Cooper,"96,892 mi.","$5,495"
87,2011 MINI Cooper Base,"62,942 mi.","$12,900"
88,2011 MINI Cooper Base,"35,573 mi.","$8,500"
89,2012 MINI Cooper Base,"71,493 mi.","$7,900"
90,2011 MINI Cooper Base,"64,372 mi.","$7,849"
91,2011 MINI Cooper Base,"102,914 mi.","$6,290"
92,2011 MINI Cooper Base,"73,144 mi.","$7,995"
93,2009 MINI Cooper Base,"77,143 mi.","$6,995"
94,2012 MINI Cooper Base,"46,448 mi.","$9,500"
95,2012 MINI Cooper Base,"70,422 mi.","$6,900"
96,2012 MINI Cooper Base,"48,257 mi.","$10,733"
97,2010 MINI Cooper,"81,110 mi.","$6,850"
98,2011 MINI Cooper Base,"77,192 mi.","$8,999"
99,2005 MINI Cooper Base,"54,125 mi.","$5,627"
100,2010 MINI Cooper Base,"78,000 mi.","$5,995"
101,2012 MINI Cooper Base,"74,147 mi.","$8,699"
102,2012 MINI Cooper Base,"74,846 mi.","$9,998"
103,2010 MINI Cooper,"80,643 mi.","$8,998"
104,2010 MINI Cooper,"76,190 mi.","$9,998"
105,2010 MINI Cooper,"49,502 mi.","$11,599"
106,2012 MINI Cooper Base,"78,125 mi.","$8,989"
107,2008 MINI Cooper,"71,297 mi.","$8,998"
108,2008 MINI Cooper,"124,000 mi.","$4,750"
109,2012 MINI Cooper John Cooper Works,"79,418 mi.","$8,995"
110,2010 MINI Cooper,"85,248 mi.","$9,599"
111,2009 MINI Cooper Base,"61,538 mi.","$8,995"
112,2012 MINI Cooper Base,"46,626 mi.","$10,295"
113,2010 MINI Cooper,"21,967 mi.","$11,998"
114,2012 MINI Cooper Base,"74,386 mi.","$10,599"
115,2012 MINI Cooper Base,"105,233 mi.","$11,653"
116,2012 MINI Cooper Base,"24,242 mi.","$14,998"
117,2009 MINI Cooper,"44,590 mi.","$7,075"
118,2008 MINI Cooper,"149,742 mi.","$4,995"
119,2008 MINI Cooper,"66,462 mi.","$9,998"
120,2007 MINI Cooper Base,"69,921 mi.","$6,999"
121,2003 MINI Cooper Base,"68,091 mi.","$6,500"
122,2010 MINI Cooper,"82,015 mi.","$9,599"
123,2009 MINI Cooper,"108,013 mi.","$6,952"
124,2011 MINI Cooper Base,"69,771 mi.","$11,094"
125,2010 MINI Cooper,"46,091 mi.","$10,998"
126,2011 MINI Cooper Base,"65,715 mi.","$10,599"
127,2007 MINI Cooper Base,"53,629 mi.","$7,995"
128,2009 MINI Cooper,"76,459 mi.","$6,875"
129,2012 MINI Cooper Base,"98,800 mi.","$10,987"
130,2012 MINI Cooper Base,"111,439 mi.","$11,781"
131,2012 MINI Cooper Base,"50,670 mi.","$9,888"
132,2006 MINI Cooper Base,"64,355 mi.","$7,000"
133,2007 MINI Cooper Base,"71,762 mi.","$7,500"
134,2005 MINI Cooper,"95,002 mi.","$5,998"
135,2012 MINI Cooper Base,"88,000 mi.","$9,491"
136,2009 MINI Cooper Base,"82,000 mi.","$6,995"
137,2008 MINI Cooper Base,"84,189 mi.","$4,995"
138,2011 MINI Cooper John Cooper Works,"68,090 mi.","$12,998"
139,2011 MINI Cooper Base,"68,548 mi.","$7,988"
140,2012 MINI Cooper Base,"75,557 mi.","$10,166"
141,2011 MINI Cooper,"60,679 mi.","$10,000"
142,2012 MINI Cooper Base,"75,892 mi.","$10,595"
143,2009 MINI Cooper Base,"68,947 mi.","$5,995"
144,2012 MINI Cooper Base,"62,900 mi.","$10,497"
145,2005 MINI Cooper Base,"89,120 mi.","$4,285"
146,2012 MINI Cooper Base,"50,411 mi.","$8,990"
147,2004 MINI Cooper Base,"126,053 mi.","$3,995"
148,2011 MINI Cooper Base,"58,727 mi.","$7,791"
149,2012 MINI Cooper Base,"75,507 mi.","$10,998"
150,2009 MINI Cooper,"75,543 mi.","$9,599"
151,2006 MINI Cooper Base,"108,822 mi.","$5,988"
152,2012 MINI Cooper Base,"132,291 mi.","$4,995"
153,2009 MINI Cooper,"82,637 mi.","$8,998"
154,2012 MINI Cooper Base,"60,551 mi.","$8,995"
155,2012 MINI Cooper Base,"68,512 mi.","$8,988"
156,2012 MINI Cooper Base,"57,813 mi.","$10,900"
157,2011 MINI Cooper Base,"49,322 mi.","$10,991"
158,2012 MINI Cooper Base,"55,065 mi.","$10,500"
159,2012 MINI Cooper Base,"68,154 mi.","$6,455"
160,2012 MINI Cooper Base,"46,642 mi.","$13,995"
161,2009 MINI Cooper Base,"101,139 mi.","$4,990"
162,2003 MINI Cooper,"55,711 mi.","$8,000"
163,2005 MINI Cooper Base,"75,433 mi.","$9,988"
164,2012 MINI Cooper Base,"58,981 mi.","$7,899"
165,2010 MINI Cooper,"86,623 mi.","$6,998"
