,Name,Mileage,Price
0,2018 MINI E Countryman Cooper S ALL4,"10,256 mi.","$29,999"
1,2018 MINI E Countryman Cooper S ALL4,"7,171 mi.","$30,798"
2,2018 MINI E Countryman Cooper S ALL4,"8,382 mi.","$31,999"
3,2018 MINI E Countryman Cooper S ALL4,27 mi.,"$35,900"
4,2019 MINI E Countryman Cooper S ALL4,"2,728 mi.","$42,250"
5,2018 MINI E Countryman Cooper S ALL4,"31,038 mi.","$28,986"
6,2019 MINI E Countryman Cooper S ALL4,"1,929 mi.","$32,700"
7,2019 MINI E Countryman Cooper S ALL4,"2,493 mi.","$45,195"
8,2018 MINI E Countryman Cooper S ALL4,"1,830 mi.","$35,900"
9,2018 MINI E Countryman Cooper S ALL4,"4,247 mi.","$35,900"
10,2019 MINI E Countryman Cooper S ALL4,"8,170 mi.","$36,687"
11,2018 MINI E Countryman Cooper S ALL4,"12,426 mi.","$33,999"
12,2018 MINI E Countryman Cooper S ALL4,"4,709 mi.","$36,900"
13,2018 MINI E Countryman Cooper S ALL4,"3,137 mi.","$30,977"
14,2019 MINI E Countryman Cooper S ALL4,"4,660 mi.","$37,670"
15,2018 MINI E Countryman Cooper S ALL4,95 mi.,"$36,984"
16,2019 MINI E Countryman Cooper S ALL4,146 mi.,"$42,384"
17,2018 MINI E Countryman Cooper S ALL4,"2,451 mi.","$27,299"
18,2019 MINI E Countryman Cooper S ALL4,"1,012 mi.","$39,880"
19,2019 MINI E Countryman Cooper S ALL4,"4,262 mi.","$38,995"
20,2019 MINI E Countryman Cooper S ALL4,"2,697 mi.","$41,000"
21,2018 MINI E Countryman Cooper S ALL4,"2,369 mi.","$32,485"
22,2019 MINI E Countryman Cooper S ALL4,"5,151 mi.","$38,991"
23,2019 MINI E Countryman Cooper S ALL4,"2,342 mi.","$35,998"
24,2019 MINI E Countryman Cooper S ALL4,"1,845 mi.","$41,000"
25,2018 MINI E Countryman Cooper S ALL4,"9,125 mi.","$30,895"
26,2019 MINI E Countryman Cooper S ALL4,"1,592 mi.","$42,550"
27,2019 MINI E Countryman Cooper S ALL4,"1,071 mi.","$45,195"
28,2019 MINI E Countryman Cooper S ALL4,"1,126 mi.","$46,640"
29,2019 MINI E Countryman Cooper S ALL4,"1,404 mi.","$46,700"
30,2019 MINI E Countryman Cooper S ALL4,"4,181 mi.","$45,750"
31,2019 MINI E Countryman Cooper S,"9,465 mi.","$37,981"
32,2019 MINI E Countryman Cooper S ALL4,"5,220 mi.","$37,988"
33,2019 MINI E Countryman Cooper S ALL4,"3,645 mi.","$40,448"
34,2019 MINI E Countryman Cooper S ALL4,"3,210 mi.","$44,549"
35,2019 MINI E Countryman Cooper S ALL4,"3,375 mi.","$99,999"
36,2019 MINI E Countryman Cooper S ALL4,0 mi.,"$39,402"
37,2019 MINI E Countryman Cooper S ALL4,0 mi.,"$43,393"
38,2019 MINI E Countryman Cooper S ALL4,0 mi.,"$44,440"
39,2019 MINI E Countryman Cooper S ALL4,"2,665 mi.","$41,995"
