,Name,Mileage,Price
0,2015 MINI Hardtop Cooper S,"28,273 mi.","$17,995"
1,2019 MINI Hardtop Cooper,"1,115 mi.","$27,215"
2,2019 MINI Hardtop Cooper,"2,846 mi.","$27,770"
3,2015 MINI Hardtop Cooper,"18,202 mi.","$12,995"
4,2015 MINI Hardtop Cooper,"26,292 mi.","$13,250"
5,2015 MINI Hardtop Cooper,"35,061 mi.","$13,721"
6,2018 MINI Hardtop Cooper S,"17,564 mi.","$22,289"
7,2015 MINI Hardtop Cooper,"23,001 mi.","$13,899"
8,2016 MINI Hardtop Cooper S,"31,706 mi.","$15,982"
9,2015 MINI Hardtop Cooper,"9,846 mi.","$15,994"
10,2019 MINI Hardtop Cooper,"4,649 mi.","$22,588"
11,2016 MINI Hardtop Cooper S,"24,153 mi.","$20,699"
12,2015 MINI Hardtop Cooper,"31,453 mi.","$13,577"
13,2015 MINI Hardtop Cooper,"32,810 mi.","$12,975"
14,2018 MINI Hardtop Cooper,"4,669 mi.","$19,498"
15,2015 MINI Hardtop Cooper S,"19,765 mi.","$15,990"
16,2016 MINI Hardtop Cooper,"24,726 mi.","$14,237"
17,2016 MINI Hardtop Cooper S,"25,144 mi.","$22,900"
18,2016 MINI Hardtop Cooper,"23,473 mi.","$12,997"
19,2015 MINI Hardtop Cooper S,"35,119 mi.","$14,997"
20,2015 MINI Hardtop Cooper,"6,379 mi.","$12,997"
21,2015 MINI Hardtop Cooper S,"43,687 mi.","$13,997"
22,2015 MINI Hardtop Cooper,"17,980 mi.","$14,997"
23,2015 MINI Hardtop Cooper,"29,974 mi.","$11,997"
24,2015 MINI Hardtop Cooper,"46,626 mi.","$13,497"
25,2016 MINI Hardtop Cooper,"34,786 mi.","$14,997"
26,2016 MINI Hardtop Cooper,"35,483 mi.","$14,997"
27,2017 MINI Hardtop Cooper,"9,149 mi.","$17,900"
28,2015 MINI Hardtop Cooper,"23,377 mi.","$13,988"
29,2015 MINI Hardtop Cooper S,"23,447 mi.","$15,888"
30,2015 MINI Hardtop Cooper S,"37,270 mi.","$16,388"
31,2015 MINI Hardtop Cooper S,"23,276 mi.","$17,250"
32,2015 MINI Hardtop Cooper,"25,984 mi.","$13,682"
33,2015 MINI Hardtop Cooper S,"31,875 mi.","$15,507"
