,Name,Mileage,Price
0,2005 Mazda MPV LX,"143,258 mi.","$1,995"
1,2005 Mazda MPV LX-SV,"100,586 mi.","$6,000"
2,2006 Mazda MPV LX,"144,680 mi.","$3,991"
3,2000 Mazda MPV DX/LX/ES,"175,598 mi.","$2,999"
4,2003 Mazda MPV LX-SV,"109,656 mi.","$3,999"
5,2002 Mazda MPV ES,"187,675 mi.","$3,378"
6,2005 Mazda MPV LX,"147,231 mi.","$4,995"
7,2004 Mazda MPV LX,"183,884 mi.","$3,200"
8,2004 Mazda MPV LX,"57,769 mi.","$7,788"
9,2003 Mazda MPV ES,"115,239 mi.","$4,500"
10,2003 Mazda MPV ES,"104,603 mi.","$7,692"
11,2003 Mazda MPV LX,"191,226 mi.","$1,900"
12,2006 Mazda MPV LX,"95,000 mi.","$2,999"
13,2001 Mazda MPV DX/LX/ES,"180,823 mi.","$2,999"
14,2005 Mazda MPV LX,"101,710 mi.","$4,995"
15,2006 Mazda MPV LX-SV,"174,157 mi.","$3,495"
16,2006 Mazda MPV LX,"89,750 mi.","$4,995"
17,2003 Mazda MPV LX,"249,700 mi.","$1,500"
18,2000 Mazda MPV,"123,735 mi.","$4,395"
19,2002 Mazda MPV ES,"119,303 mi.","$4,990"
20,2001 Mazda MPV DX/LX/ES,"199,092 mi.","$2,495"
21,2001 Mazda MPV DX/LX/ES,"126,188 mi.","$3,900"
22,2004 Mazda MPV LX,"105,315 mi.","$6,490"
23,2004 Mazda MPV LX,"149,255 mi.","$3,498"
24,2005 Mazda MPV LX,"134,000 mi.","$3,000"
25,2003 Mazda MPV LX,"139,709 mi.","$2,992"
26,2006 Mazda MPV LX,"143,370 mi.","$3,791"
27,2004 Mazda MPV LX,"94,165 mi.","$4,250"
28,2005 Mazda MPV LX,"94,276 mi.","$3,789"
29,2004 Mazda MPV LX,"152,475 mi.","$3,888"
30,2006 Mazda MPV LX,"201,729 mi.","$3,950"
31,2004 Mazda MPV LX,"142,574 mi.","$3,995"
32,2004 Mazda MPV LX,"148,216 mi.","$4,250"
33,2006 Mazda MPV LX,"164,922 mi.","$2,995"
34,2006 Mazda MPV LX,"169,327 mi.","$3,495"
35,2002 Mazda MPV LX,"124,045 mi.","$2,999"
36,2003 Mazda MPV ES Wagon,"100,685 mi.","$6,980"
37,2002 Mazda MPV LX,"126,258 mi.","$2,000"
38,2003 Mazda MPV LX,"169,113 mi.","$1,999"
39,2004 Mazda MPV LX,"118,538 mi.","$3,695"
40,2003 Mazda MPV LX,"130,373 mi.","$3,994"
41,2000 Mazda MPV LX,"141,815 mi.","$3,995"
42,2001 Mazda MPV DX,"202,100 mi.","$1,595"
43,1998 Mazda MPV LX,"137,464 mi.","$2,499"
44,2002 Mazda MPV ES,"115,000 mi.","$1,500"
45,1997 Mazda MPV LX,"116,000 mi.","$1,900"
46,2001 Mazda MPV ES,"81,760 mi.","$2,650"
47,2002 Mazda MPV ES,"206,472 mi.",Not Priced
48,2003 Mazda MPV LX/ES/LX-SV,0 mi.,Not Priced
49,2002 Mazda MPV LX/ES,"158,000 mi.","$4,990"
50,2005 Mazda MPV LX,"171,926 mi.",Not Priced
51,2000 Mazda MPV DX,"222,838 mi.",Not Priced
52,2005 Mazda MPV LX-SV,0 mi.,"$3,995"
53,2000 Mazda MPV LX,0 mi.,"$1,988"
54,2000 Mazda MPV,"198,646 mi.",Not Priced
55,2004 Mazda MPV ES,"156,562 mi.","$4,366"
56,2001 Mazda MPV ES,,Not Priced
57,2003 Mazda MPV LX,"228,502 mi.","$3,995"
