,Name,Mileage,Price
0,2017 Mazda MX-5 Miata RF Grand Touring,"20,811 mi.","$25,955"
1,2017 Mazda MX-5 Miata RF Club,"5,927 mi.","$27,653"
2,2017 Mazda MX-5 Miata RF Club,"4,597 mi.","$26,592"
3,2017 Mazda MX-5 Miata RF Grand Touring,"3,243 mi.","$27,100"
4,2018 Mazda MX-5 Miata RF Grand Touring,"5,047 mi.","$28,888"
5,2017 Mazda MX-5 Miata RF Grand Touring,"1,356 mi.","$25,894"
6,2017 Mazda MX-5 Miata RF Grand Touring,"12,695 mi.","$22,883"
7,2017 Mazda MX-5 Miata RF Grand Touring,89 mi.,"$27,688"
8,2017 Mazda MX-5 Miata RF Grand Touring,"9,002 mi.","$25,877"
9,2017 Mazda MX-5 Miata RF Grand Touring,"3,243 mi.","$27,100"
10,2017 Mazda MX-5 Miata RF Grand Touring,"12,372 mi.","$25,991"
11,2017 Mazda MX-5 Miata RF Grand Touring,"16,628 mi.","$24,999"
12,2017 Mazda MX-5 Miata RF Club,"11,051 mi.","$25,881"
13,2017 Mazda MX-5 Miata RF Grand Touring,"34,900 mi.","$22,950"
14,2018 Mazda MX-5 Miata RF Grand Touring,"2,553 mi.","$22,888"
15,2017 Mazda MX-5 Miata RF Grand Touring,"3,243 mi.","$27,100"
16,2017 Mazda MX-5 Miata RF Grand Touring,"3,243 mi.","$27,100"
17,2018 Mazda MX-5 Miata RF Grand Touring,"1,214 mi.","$27,592"
18,2017 Mazda MX-5 Miata RF Grand Touring,"22,769 mi.","$23,320"
19,2017 Mazda MX-5 Miata RF Grand Touring,"3,243 mi.","$27,100"
20,2018 Mazda MX-5 Miata RF Grand Touring,"7,279 mi.","$26,679"
21,2017 Mazda MX-5 Miata RF Grand Touring,"3,243 mi.","$27,100"
22,2017 Mazda MX-5 Miata RF Grand Touring,"9,210 mi.","$25,100"
23,2017 Mazda MX-5 Miata RF Club,"10,896 mi.","$25,487"
24,2017 Mazda MX-5 Miata RF Club,6 mi.,"$25,999"
