,Name,Mileage,Price
0,2015 Mazda Mazda3 i Grand Touring,"54,336 mi.","$14,365"
1,2007 Mazda Mazda3 i Touring,"122,395 mi.","$3,999"
2,2018 Mazda Mazda3 Sport,"1,759 mi.","$17,495"
3,2016 Mazda Mazda3 s Touring,"34,093 mi.","$17,495"
4,2018 Mazda Mazda3 Sport,"1,365 mi.","$17,495"
5,2018 Mazda Mazda3 Sport,"4,051 mi.","$16,495"
6,2016 Mazda Mazda3 s Touring,"32,723 mi.","$17,995"
7,2016 Mazda Mazda3 s Touring,"18,276 mi.","$17,495"
8,2018 Mazda Mazda3 Sport,"3,938 mi.","$16,495"
9,2016 Mazda Mazda3 i Touring,"21,525 mi.","$16,495"
10,2017 Mazda Mazda3 Touring,"23,025 mi.","$16,200"
11,2015 Mazda Mazda3 i Sport,"41,611 mi.","$12,800"
12,2015 Mazda Mazda3 i Sport,"63,608 mi.","$10,995"
13,2016 Mazda Mazda3 i Touring,"47,462 mi.","$12,998"
14,2015 Mazda Mazda3 s Grand Touring,"70,689 mi.","$12,905"
15,2015 Mazda Mazda3 i Touring,"52,987 mi.","$13,995"
16,2017 Mazda Mazda3 Touring 2.5,"33,664 mi.","$26,888"
17,2015 Mazda Mazda3 s Grand Touring,"23,454 mi.","$16,900"
18,2017 Mazda Mazda3 Sport,"25,774 mi.","$15,995"
19,2015 Mazda Mazda3 i Sport,"34,903 mi.","$13,499"
20,2015 Mazda Mazda3 i Sport,"17,860 mi.","$14,488"
21,2017 Mazda Mazda3 Grand Touring,"23,776 mi.","$17,545"
22,2016 Mazda Mazda3 s Grand Touring,"31,024 mi.","$18,691"
23,2016 Mazda Mazda3 i Grand Touring,"24,414 mi.","$15,985"
24,2016 Mazda Mazda3 i Sport,"27,576 mi.","$12,999"
25,2014 Mazda Mazda3 i Touring,"68,585 mi.","$11,699"
26,2014 Mazda Mazda3 i Touring,"83,391 mi.","$10,790"
27,2017 Mazda Mazda3 Touring,"55,964 mi.","$12,898"
28,2016 Mazda Mazda3 i Sport,"82,910 mi.","$10,098"
29,2016 Mazda Mazda3 i Sport,"31,130 mi.","$13,998"
30,2018 Mazda Mazda3 Grand Touring,"4,170 mi.","$19,498"
31,2014 Mazda Mazda3 i Touring,"33,023 mi.","$11,599"
32,2017 Mazda Mazda3 Touring,"40,796 mi.","$13,998"
33,2015 Mazda Mazda3 i Touring,"20,913 mi.","$13,299"
34,2015 Mazda Mazda3 i Grand Touring,"54,961 mi.","$12,799"
35,2015 Mazda Mazda3 i Sport,"48,294 mi.","$12,600"
36,2017 Mazda Mazda3 Touring,"40,611 mi.","$14,006"
37,2015 Mazda Mazda3 s Grand Touring,"26,428 mi.","$15,888"
38,2018 Mazda Mazda3 Grand Touring,"6,104 mi.","$21,490"
39,2012 Mazda Mazda3 i Touring,"116,284 mi.","$7,990"
40,2017 Mazda Mazda3 Sport,"31,824 mi.","$12,299"
41,2011 Mazda Mazda3 i Touring,"144,418 mi.","$5,343"
42,2012 Mazda Mazda3 i Touring,"71,313 mi.","$8,800"
43,2015 Mazda Mazda3 i Sport,"27,920 mi.","$13,141"
44,2015 Mazda Mazda3 i Sport,"42,993 mi.","$11,693"
45,2015 Mazda Mazda3 i Touring,"188,688 mi.","$8,875"
46,2016 Mazda Mazda3 i Sport,"28,743 mi.","$13,372"
47,2014 Mazda Mazda3 i Sport,"41,473 mi.","$12,979"
48,2018 Mazda Mazda3 Grand Touring,"7,131 mi.","$20,995"
49,2013 Mazda Mazda3 i Grand Touring,"66,736 mi.","$8,995"
50,2018 Mazda Mazda3 Touring,"4,781 mi.","$19,995"
51,2009 Mazda Mazda3 s Sport,"88,837 mi.","$6,481"
52,2018 Mazda Mazda3 Grand Touring,"5,421 mi.","$20,750"
53,2018 Mazda Mazda3 Grand Touring,"6,072 mi.","$20,750"
54,2010 Mazda Mazda3 i Touring,"65,575 mi.","$8,500"
55,2016 Mazda Mazda3 i Grand Touring,"43,807 mi.","$14,599"
56,2007 Mazda Mazda3 s Sport,"118,811 mi.","$3,990"
57,2015 Mazda Mazda3 i Sport,"64,287 mi.","$10,997"
58,2013 Mazda Mazda3 i SV,"55,373 mi.","$7,995"
