,Name,Mileage,Price
0,2012 Mazda MazdaSpeed3 Touring,"64,978 mi.","$13,988"
1,2012 Mazda MazdaSpeed3 Touring,"96,737 mi.","$13,865"
2,2008 Mazda MazdaSpeed3 Grand Touring,"83,000 mi.","$9,350"
3,2013 Mazda MazdaSpeed3 Touring,"72,602 mi.","$15,998"
4,2010 Mazda MazdaSpeed3 Sport,"86,692 mi.","$13,998"
5,2011 Mazda MazdaSpeed3 Touring,"71,191 mi.","$12,995"
6,2013 Mazda MazdaSpeed3 Touring,"43,217 mi.","$14,995"
7,2010 Mazda MazdaSpeed3 Sport,"128,139 mi.","$8,995"
8,2012 Mazda MazdaSpeed3 Touring,"39,255 mi.","$19,400"
9,2012 Mazda MazdaSpeed3 Touring,"99,036 mi.","$11,998"
10,2012 Mazda MazdaSpeed3 Touring,"99,684 mi.","$11,499"
11,2011 Mazda MazdaSpeed3 Touring,"88,682 mi.","$11,494"
12,2012 Mazda MazdaSpeed3 Touring,"77,916 mi.","$13,450"
13,2012 Mazda MazdaSpeed3 Touring,"70,145 mi.","$12,885"
14,2013 Mazda MazdaSpeed3 Touring,"91,240 mi.","$14,457"
15,2013 Mazda MazdaSpeed3 Touring,"42,533 mi.","$15,999"
16,2010 Mazda MazdaSpeed3 Touring,"88,130 mi.","$11,995"
17,2013 Mazda MazdaSpeed3 Touring,"38,300 mi.","$19,987"
18,2008 Mazda MazdaSpeed3 Touring,"134,540 mi.","$8,388"
19,2012 Mazda MazdaSpeed3 Touring,"50,279 mi.","$13,999"
20,2007 Mazda MazdaSpeed3 Touring,"114,401 mi.","$6,995"
21,2013 Mazda MazdaSpeed3 Touring,"59,786 mi.","$13,971"
22,2013 Mazda MazdaSpeed3 Touring,"63,839 mi.","$13,985"
23,2013 Mazda MazdaSpeed3 Touring,"47,594 mi.","$13,998"
24,2008 Mazda MazdaSpeed3 Grand Touring,"98,401 mi.","$9,396"
25,2013 Mazda MazdaSpeed3 Touring,"67,668 mi.","$13,985"
26,2013 Mazda MazdaSpeed3 Touring,"58,152 mi.","$16,998"
27,2013 Mazda MazdaSpeed3 Touring,"13,996 mi.","$17,945"
28,2008 Mazda MazdaSpeed3 Touring,"169,787 mi.","$4,995"
29,2010 Mazda MazdaSpeed3 Touring,"95,160 mi.","$9,933"
30,2010 Mazda MazdaSpeed3 Touring,"73,836 mi.","$11,495"
31,2013 Mazda MazdaSpeed3 Touring,"98,212 mi.","$12,460"
32,2012 Mazda MazdaSpeed3 Touring,"79,922 mi.","$12,500"
33,2008 Mazda MazdaSpeed3 Grand Touring,"114,875 mi.","$7,994"
34,2010 Mazda MazdaSpeed3 Touring,"106,004 mi.","$8,999"
35,2011 Mazda MazdaSpeed3 Touring,"117,290 mi.","$8,999"
36,2010 Mazda MazdaSpeed3 Sport,"133,084 mi.","$8,000"
37,2007 Mazda MazdaSpeed3 Touring,"169,571 mi.","$5,450"
38,2011 Mazda MazdaSpeed3 Sport,"92,818 mi.","$9,250"
39,2009 Mazda MazdaSpeed3 Touring,"161,566 mi.","$4,995"
40,2013 Mazda MazdaSpeed3 Touring,"60,699 mi.","$15,990"
41,2013 Mazda MazdaSpeed3 Touring,"62,585 mi.","$15,990"
42,2007 Mazda MazdaSpeed3 Base,"102,697 mi.","$7,995"
43,2013 Mazda MazdaSpeed3 Touring,"70,281 mi.","$13,999"
44,2008 Mazda MazdaSpeed3 Touring,"67,310 mi.","$9,999"
45,2010 Mazda MazdaSpeed3 Sport,"111,362 mi.","$9,995"
46,2010 Mazda MazdaSpeed3 Sport,"95,756 mi.","$10,888"
47,2009 Mazda MazdaSpeed3 Touring,"120,632 mi.","$8,400"
48,2013 Mazda MazdaSpeed3 Touring,"79,696 mi.","$14,820"
49,2012 Mazda MazdaSpeed3 Touring,"120,214 mi.","$10,900"
50,2010 Mazda MazdaSpeed3 Touring,"71,182 mi.","$11,995"
51,2011 Mazda MazdaSpeed3 Touring,"82,554 mi.","$10,950"
52,2013 Mazda MazdaSpeed3 Touring,"95,618 mi.","$10,950"
53,2011 Mazda MazdaSpeed3 Touring,"77,217 mi.","$9,995"
54,2008 Mazda MazdaSpeed3 Grand Touring,"79,619 mi.","$8,995"
55,2008 Mazda MazdaSpeed3 Base,"72,519 mi.","$8,995"
56,2008 Mazda MazdaSpeed3 Touring,"129,000 mi.","$5,450"
57,2010 Mazda MazdaSpeed3 Touring,"59,752 mi.","$8,998"
58,2008 Mazda MazdaSpeed3 Touring,"173,255 mi.","$5,500"
59,2013 Mazda MazdaSpeed3 Touring,"101,201 mi.","$11,995"
60,2012 Mazda MazdaSpeed3 Touring,"84,181 mi.","$12,999"
61,2012 Mazda MazdaSpeed3 Touring,"65,850 mi.","$11,900"
62,2012 Mazda MazdaSpeed3 Touring,"79,655 mi.","$12,900"
63,2008 Mazda MazdaSpeed3 Touring,"136,931 mi.","$8,490"
64,2008 Mazda MazdaSpeed3 Touring,"159,990 mi.","$5,500"
65,2009 Mazda MazdaSpeed3 Grand Touring,"106,142 mi.","$8,990"
66,2013 Mazda MazdaSpeed3 Touring,"60,459 mi.","$13,998"
67,2013 Mazda MazdaSpeed3 Touring,"117,177 mi.","$9,995"
68,2009 Mazda MazdaSpeed3 Sport,"103,536 mi.","$8,950"
69,2013 Mazda MazdaSpeed3 Touring,"77,276 mi.","$13,999"
