,Name,Mileage,Price
0,1990 Mazda RX-7,"63,377 mi.","$13,000"
1,1980 Mazda RX-7,"71,693 mi.","$6,700"
2,1993 Mazda RX-7 2dr Coupe,"52,578 mi.","$32,200"
3,1993 Mazda RX-7 2dr Coupe,"64,796 mi.","$23,000"
4,1993 Mazda RX-7 2dr Coupe,"73,968 mi.","$29,977"
5,1993 Mazda RX-7,"9,315 mi.","$36,500"
6,1993 Mazda RX-7,"92,214 mi.","$29,498"
7,1985 Mazda RX-7 S,"2,400 mi.","$32,500"
8,1993 Mazda RX-7,"32,222 mi.","$52,995"
9,1994 Mazda RX-7 2dr Coupe,"77,783 mi.","$29,950"
10,1987 Mazda RX-7 2dr Coupe 2 Seater Turbo 5-Spd,"23,621 mi.","$28,900"
11,1989 Mazda RX-7,"110,129 mi.","$1,995"
12,1985 Mazda RX-7 GSL,"113,338 mi.","$10,500"
13,1987 Mazda RX-7,"68,500 mi.","$9,800"
14,1988 Mazda RX-7,"139,000 mi.","$2,250"
15,1994 Mazda RX-7,"95,000 mi.","$45,000"
16,1987 Mazda RX-7 Turbo,"53,181 mi.","$12,995"
17,1998 Mazda RX-7,"58,000 mi.","$28,995"
18,1990 Mazda RX-7,"67,900 mi.","$8,500"
19,1988 Mazda RX-7,"92,600 mi.","$4,500"
20,1988 Mazda RX-7 GTU,"87,700 mi.","$5,000"
21,1993 Mazda RX-7 2dr Coupe,"73,968 mi.",Not Priced
