,Name,Mileage,Price
0,2000 Mazda SE/Troy Lee,"204,282 mi.","$4,422"
1,2000 Mazda SX/SE,"127,282 mi.","$5,000"
2,2004 Mazda SE,"123,765 mi.","$7,000"
3,"2005 Mazda Reg Cab 112"" WB 2.3L Auto","117,024 mi.","$3,990"
4,2008 Mazda SE,"65,486 mi.","$8,497"
5,2015 Mazda,"12,071 mi.","$14,942"
6,2008 Mazda SE,"58,873 mi.","$13,450"
7,2010 Mazda B4000,"88,050 mi.","$11,387"
8,2002 Mazda SE,"163,120 mi.","$8,995"
9,1996 Mazda M-Edition,"84,952 mi.","$6,995"
10,1996 Mazda M-Edition/Popular Equio Pkg/Leather Pkg,"99,574 mi.","$6,500"
11,2010 Mazda SE,"57,695 mi.","$11,995"
12,2001 Mazda DS/SE,"69,000 mi.","$6,995"
13,2001 Mazda SE,"157,020 mi.","$6,599"
14,2002 Mazda DS,"183,266 mi.","$3,995"
15,1996 Mazda M-Edition,"125,857 mi.","$3,895"
16,2002 Mazda B2300 2dr Standard Cab 2WD SB,"176,896 mi.","$3,450"
17,2003 Mazda SX,"105,135 mi.","$5,952"
18,2004 Mazda DS,"136,438 mi.","$5,995"
19,1999 Mazda SX/SE/Troy Lee,"68,418 mi.","$3,997"
20,2004 Mazda B3000 Dual Sport,"165,327 mi.","$3,995"
21,2002 Mazda DS,"171,370 mi.","$4,997"
22,2003 Mazda SE,"180,753 mi.","$3,995"
23,2007 Mazda SE,"87,927 mi.","$8,495"
24,2008 Mazda 2WD Reg Cab Man,"165,685 mi.","$3,899"
25,1999 Mazda SE/Troy Lee,"226,646 mi.","$5,990"
26,2002 Mazda SE,"237,329 mi.","$2,600"
27,1999 Mazda SE,"208,295 mi.","$4,300"
28,2001 Mazda DS/SE,"115,860 mi.","$5,995"
29,"2005 Mazda Reg Cab 112"" WB 2.3L Man","196,130 mi.","$3,950"
30,2001 Mazda SE,"204,415 mi.","$5,977"
31,2004 Mazda SE,"125,225 mi.","$6,995"
32,1998 Mazda SX/SE,"175,000 mi.","$3,995"
33,2001 Mazda SX/SE,"192,369 mi.","$2,995"
34,2018 Mazda MX-5 RF CLUB,"2,490 mi.","$27,490"
35,2018 Mazda MX-5 RF CLUB,"2,459 mi.","$27,490"
36,2019 Mazda MX-5 RF G-TOURING,528 mi.,"$35,998"
37,2017 Mazda MX-5 RF SPECIAL VERS,"20,128 mi.",Not Priced
38,2000 Mazda SE,"107,633 mi.","$4,855"
39,2018 Mazda MX-5 RF G-TOURING,"4,438 mi.",Not Priced
40,2018 Mazda MX-5 RF CLUB,"1,816 mi.","$27,641"
41,2017 Mazda MX-5 RF G-TOURING,"8,721 mi.",Not Priced
42,2017 Mazda MX-5 RF G-TOURING,"10,631 mi.",Not Priced
43,2017 Mazda MX-5 RF SPECIAL VERS,"25,594 mi.","$24,990"
44,2015 Mazda,0 mi.,Not Priced
45,2018 Mazda MX-5 RF CLUB,"2,900 mi.",Not Priced
46,1998 Mazda SE,"153,000 mi.",Not Priced
47,2017 Mazda MX-5 RF CLUB,"3,930 mi.",Not Priced
48,2017 Mazda MX-5 RF SPECIAL VERS,"5,258 mi.",Not Priced
49,2017 Mazda MX-5 RF G-TOURING,"6,447 mi.",Not Priced
50,2017 Mazda MX-5 RF G-TOURING,"25,878 mi.",Not Priced
51,"1995 Mazda Reg Cab 114"" WB 2.3L I4 Auto","204,123 mi.",Not Priced
52,1993 Mazda Cab Plus 2.6L,"171,000 mi.",Not Priced
53,2017 Mazda MX-5 RF CLUB,"9,440 mi.","$27,999"
54,2017 Mazda MX-5 RF CLUB,"8,034 mi.",Not Priced
55,2000 Mazda,"176,042 mi.",Not Priced
56,1994 Mazda Short Bed 2.3L Base 5-Spd,"162,069 mi.","$4,950"
57,1992 Mazda Short Bed 2.2L,"205,241 mi.","$2,990"
58,2002 Mazda SE,"147,001 mi.",Not Priced
59,2011 Mazda,"75,536 mi.","$10,999"
60,2017 Mazda MX-5 RF CLUB,"7,736 mi.","$27,980"
61,1998 Mazda SE,"97,701 mi.","$6,000"
62,2003 Mazda DS,0 mi.,Not Priced
63,2019 Mazda MX-5 RF CLUB,"1,074 mi.",Not Priced
64,2019 Mazda MX-5 RF G-TOURING,"1,358 mi.",Not Priced
65,2017 Mazda MX-5 RF G-TOURING,"4,783 mi.","$26,950"
66,2017 Mazda MX-5 RF G-TOURING,"6,410 mi.","$27,950"
67,2017 Mazda MX-5 RF G-TOURING,"9,488 mi.","$26,188"
68,2017 Mazda MX-5 RF CLUB,"6,908 mi.",Not Priced
69,2018 Mazda MX-5 RF G-TOURING,"15,079 mi.","$27,974"
70,2017 Mazda MX-5 RF G-TOURING,"4,456 mi.","$27,771"
